n_nodes,influence,communities,nodes
0.8791208791208793,2.12,6,"[456, 414, 54, 152]"
0.2197802197802199,0.69,1,[152]
0.43956043956044,1.28,3,"[376, 152]"
2.197802197802198,4.96,11,"[376, 33, 12, 54, 285, 161, 365, 456, 152, 342]"
1.9780219780219783,4.55,10,"[376, 285, 127, 342, 33, 161, 456, 12, 152]"
2.197802197802198,4.91,12,"[376, 285, 62, 79, 54, 152, 33, 456, 161, 342]"
1.0989010989010992,2.8,6,"[376, 342, 285, 152, 38]"
1.7582417582417587,4.08,10,"[376, 54, 285, 456, 62, 33, 152, 161]"
1.5384615384615388,3.41,10,"[376, 285, 62, 54, 504, 456, 152]"
1.7582417582417587,3.99,11,"[376, 81, 285, 12, 38, 456, 54, 152]"
1.5384615384615388,3.66,8,"[376, 33, 285, 62, 161, 342, 152]"
2.197802197802198,4.86,13,"[376, 62, 115, 12, 342, 152, 54, 285, 33, 456]"
1.3186813186813189,3.18,7,"[376, 342, 285, 38, 152, 399]"
1.3186813186813189,3.17,8,"[376, 81, 285, 324, 38, 152]"
1.9780219780219783,4.43,12,"[376, 62, 38, 54, 342, 285, 456, 12, 152]"
1.7582417582417587,4.14,9,"[376, 456, 342, 12, 33, 285, 161, 152]"
1.7582417582417587,4.08,10,"[376, 54, 33, 62, 285, 161, 456, 152]"
2.417582417582418,5.2,14,"[376, 285, 62, 81, 174, 456, 342, 54, 33, 152, 12]"
1.5384615384615388,3.62,9,"[376, 152, 33, 456, 285, 62, 12]"
2.197802197802198,4.91,12,"[376, 12, 152, 54, 285, 173, 33, 456, 161, 342]"
1.0989010989010992,2.76,7,"[376, 285, 38, 152, 62]"
1.5384615384615388,3.62,9,"[376, 12, 152, 33, 285, 62, 456]"
0.6593406593406597,1.72,4,"[456, 12, 152]"
1.9780219780219783,4.53,11,"[376, 342, 79, 285, 62, 12, 152, 33, 456]"
2.417582417582418,5.35,13,"[376, 285, 174, 152, 12, 79, 54, 342, 33, 161, 456]"
0.6593406593406597,1.78,3,"[148, 152, 376]"
0.8791208791208793,2.29,5,"[22, 38, 376, 152]"
