n_nodes,influence,nodes
0.13110455588331726,2.01,"[1126, 1199, 840, 836]"
0.42608980662078055,3.91,"[836, 2145, 372, 817, 2757, 1126, 1351, 1161, 1208, 921, 285, 1199, 1466]"
0.3277613897082925,3.47,"[1296, 1718, 2145, 817, 2757, 1126, 840, 1199, 921, 1466]"
0.5244182235332682,4.4,"[836, 2145, 1126, 2018, 2757, 817, 1351, 840, 372, 1161, 2222, 1199, 135, 921, 1466, 285]"
0.8194034742707312,5.42,"[836, 335, 1972, 2066, 1126, 932, 389, 1670, 840, 921, 285, 931, 2016, 1068, 2222, 1199, 1200, 817, 372, 1464, 1466, 2108, 2752, 2757, 1351]"
0.45886594559160976,4.18,"[836, 2145, 1126, 2018, 2757, 1715, 1351, 840, 372, 1161, 1199, 921, 1466, 285]"
0.09832841691248806,1.54,"[836, 1161, 1199]"
0.03277613897082965,0.84,[1199]
0.3605375286791217,3.61,"[840, 1703, 1296, 1199, 921, 1351, 372, 2145, 2757, 1126, 817]"
0.9505080301540481,5.84,"[836, 1123, 280, 1658, 2108, 389, 1161, 2701, 921, 840, 285, 2207, 1126, 2081, 931, 932, 2222, 1199, 817, 1718, 1464, 1070, 2752, 372, 2757, 1351, 1608, 2016, 2018]"
0.2949852507374633,3.25,"[742, 2145, 2757, 1126, 1351, 840, 1161, 1199, 817]"
0.19665683382497567,2.6,"[753, 2145, 2757, 1126, 840, 1199]"
0.5571943625040972,4.56,"[836, 2145, 1718, 2701, 2018, 2757, 389, 1126, 1351, 921, 840, 1466, 1161, 203, 2222, 1199, 372]"
0.22943297279580488,2.84,"[1466, 2145, 2757, 1126, 840, 1199, 817]"
0.8849557522123894,5.64,"[1296, 1718, 2145, 389, 817, 2018, 2757, 1126, 921, 1466, 840, 1199, 1670, 1161, 1854, 2701, 280, 285, 2207, 2108, 932, 2222, 2752, 372, 1347, 1608, 2016]"
