n_nodes,influence,time,nodes
23.0,29.12,18,"[606, 3283, 352, 1414, 4564, 5425, 2717, 2278, 1161, 1532, 4048, 992, 624, 2822, 1076, 4679, 3395, 5063, 2789, 2010, 2685, 11, 3164]"
16.0,20.21,9,"[2053, 1877, 223, 2757, 2976, 2183, 4234, 3091, 1158, 4169, 4360, 2850, 5437, 275, 2796, 3560]"
15.0,18.95,13,"[2234, 2458, 4025, 4024, 2796, 1076, 2545, 5118, 2278, 504, 3, 2872, 388, 369, 644]"
58.0,72.84,29,"[2652, 5159, 5191, 4919, 363, 4389, 3274, 4873, 4897, 1407, 4399, 920, 2943, 4644, 1009, 1998, 485, 1421, 1193, 352, 5788, 3641, 3560, 3375, 4284, 4124, 2431, 4937, 3906, 1300, 1985, 4260, 3162, 1130, 2951, 3591, 4303, 3032, 359, 2452, 476, 285, 1357, 3190, 3258, 3823, 1398, 4781, 3417, 4171, 1238, 2548, 1991, 4272, 2786, 2545, 4600, 3158]"
69.0,86.01,33,"[1213, 1096, 316, 4901, 3076, 1158, 3657, 5118, 4174, 4300, 2082, 5258, 3876, 3829, 4317, 1737, 339, 4306, 5301, 2045, 4272, 2779, 264, 2930, 3260, 1964, 1017, 5564, 2936, 3921, 188, 5363, 1445, 2789, 2378, 2470, 3973, 1269, 4193, 5147, 4686, 4782, 2887, 5435, 2794, 4799, 3579, 3533, 5674, 3120, 1522, 3030, 1372, 2234, 5401, 1233, 2458, 1084, 2275, 1309, 4404, 3456, 3158, 3164, 3439, 4721, 4564, 4679, 4249]"
87.0,109.83,47,"[4272, 3648, 3321, 1641, 3165, 3338, 4024, 5437, 5435, 4503, 3633, 3714, 5001, 1888, 4900, 4706, 4554, 3885, 1462, 5391, 1165, 2378, 4135, 2321, 5213, 293, 133, 5286, 1270, 1559, 3136, 3974, 5041, 5262, 2069, 3671, 5071, 4790, 3357, 3984, 4327, 4468, 2512, 697, 2194, 2951, 46, 5321, 2374, 2776, 367, 205, 3327, 1297, 1584, 4303, 351, 3859, 4455, 3853, 4985, 315, 2720, 3607, 2234, 2864, 4249, 3352, 2031, 2976, 3190, 1964, 180, 1174, 5692, 1562, 2091, 5059, 699, 1523, 2123, 2772, 2485, 1679, 1229, 3978, 1076]"
92.99999999999999,115.01,47,"[151, 3439, 3274, 2045, 5407, 1560, 4494, 3102, 5016, 315, 3262, 1180, 2871, 3819, 275, 1814, 5033, 3252, 1924, 4715, 432, 4679, 3336, 3895, 4869, 3272, 1582, 5330, 4087, 3352, 1270, 5113, 258, 3767, 4985, 2091, 4317, 133, 2029, 3231, 4946, 5181, 3947, 2335, 4509, 4554, 2776, 996, 4996, 3321, 2250, 1940, 2526, 2063, 369, 4922, 2648, 1503, 3845, 1539, 3641, 560, 4745, 3338, 2069, 1016, 3760, 4429, 3829, 1372, 273, 4360, 1589, 135, 3545, 5153, 207, 3978, 2823, 4327, 2943, 1584, 4260, 3345, 4568, 1861, 4877, 111, 5064, 935, 4901, 5159, 4079]"
75.0,94.22,44,"[4799, 2239, 3170, 4538, 70, 4842, 3556, 1076, 4257, 1532, 1589, 3151, 3160, 2490, 2063, 1084, 4554, 4025, 4792, 3423, 305, 885, 871, 1559, 3237, 2796, 3196, 3457, 2207, 151, 1678, 2968, 4877, 1535, 3252, 72, 960, 3648, 2954, 5033, 2258, 4721, 4079, 1975, 4736, 2817, 5372, 1707, 4653, 3060, 315, 264, 2039, 2690, 606, 4386, 4215, 4244, 4901, 5391, 982, 226, 1630, 2478, 351, 3917, 1831, 3990, 258, 5147, 1991, 3865, 4048, 5140, 1741]"
113.0,140.05,62,"[1357, 2470, 2902, 0, 1309, 264, 5088, 3859, 4946, 3088, 4823, 2112, 3727, 2778, 1921, 1576, 5430, 337, 1990, 1928, 3018, 5333, 4249, 4987, 1637, 3579, 3286, 126, 4877, 4988, 72, 1684, 4726, 4281, 4182, 5204, 2490, 4937, 2879, 4849, 2378, 3837, 3895, 5405, 3815, 3314, 1485, 4740, 2082, 2069, 3162, 3329, 5702, 2278, 5074, 2756, 1067, 5181, 3091, 1737, 2976, 2648, 46, 359, 2330, 3146, 1257, 4873, 1985, 644, 1233, 5435, 3556, 3066, 275, 3023, 125, 1115, 432, 3723, 4683, 1297, 5692, 2878, 3872, 1017, 3319, 3866, 254, 3274, 3452, 2151, 1679, 484, 4818, 1740, 1630, 2759, 928, 3805, 1910, 1722, 2671, 2736, 2536, 1174, 3252, 3697, 2912, 3192, 3673, 1407, 4234]"
18.0,22.72,10,"[1928, 2378, 103, 4257, 3245, 1013, 5062, 3282, 1522, 3158, 1180, 1631, 3032, 4937, 852, 3375, 3283, 4024]"
