n_nodes,influence,nodes
0.2527805864509607,11.02,"[1063, 172, 526, 1520, 421]"
0.05055611729019205,3.21,[244]
1.6177957532861478,31.66,"[1850, 1605, 584, 635, 1225, 1449, 599, 988, 1661, 1285, 1339, 1779, 1033, 526, 892, 701, 1682, 788, 1428, 1063, 244, 1245, 297, 172, 185, 1084, 834, 327, 1096, 1379, 870, 1520]"
0.8088978766430739,23.88,"[1850, 635, 1084, 1335, 834, 1379, 870, 1063, 327, 297, 988, 172, 526, 1520, 244, 185]"
0.5055611729019212,18.25,"[1063, 701, 988, 526, 834, 327, 172, 1520, 1850, 244]"
1.0616784630940344,27.37,"[1063, 599, 1428, 635, 327, 808, 584, 1252, 988, 834, 1379, 1096, 1033, 297, 172, 244, 1520, 1850, 870, 185, 526]"
0.9100101112234582,25.41,"[1063, 599, 1625, 988, 1033, 1428, 834, 1379, 244, 327, 1850, 870, 172, 297, 526, 1520, 185, 1096]"
1.6683518705763396,32.0,"[1850, 1605, 584, 635, 1225, 988, 1653, 1558, 1779, 892, 1339, 701, 1285, 905, 1245, 1033, 244, 526, 1682, 788, 1428, 1379, 1063, 297, 172, 1520, 185, 1084, 834, 327, 1096, 870, 599]"
0.30333670374115274,13.07,"[1063, 1096, 327, 635, 1520, 172]"
0.9605662285136503,26.13,"[1063, 599, 1734, 988, 1033, 1084, 834, 1428, 1379, 870, 244, 1850, 327, 297, 1096, 172, 526, 1520, 185]"
0.556117290192113,19.36,"[1063, 1096, 327, 988, 244, 1603, 1520, 834, 172, 1379, 297]"
0.8594539939332657,24.79,"[830, 1096, 1428, 834, 1379, 172, 526, 1520, 244, 870, 327, 1063, 1850, 297, 599, 185, 988]"
0.3538928210313448,14.56,"[1063, 1096, 327, 1559, 244, 172, 1520]"
1.2639029322548028,29.15,"[1850, 501, 584, 1285, 1033, 526, 988, 1682, 1428, 1558, 1779, 1063, 297, 172, 185, 1084, 701, 834, 244, 1245, 327, 1096, 1379, 870, 1520]"
1.1627906976744184,28.27,"[1850, 635, 843, 1627, 1084, 1285, 1959, 526, 1428, 1063, 297, 172, 185, 834, 327, 584, 1096, 599, 988, 1379, 870, 244, 1520]"
0.40444893832153683,15.85,"[1063, 327, 1184, 834, 1096, 244, 172, 1520]"
1.4155712841253791,30.26,"[1850, 1605, 635, 905, 1682, 1285, 1252, 584, 988, 788, 701, 1084, 954, 834, 1379, 870, 1428, 1063, 327, 1033, 526, 297, 185, 172, 1096, 1779, 1520, 244]"
0.7583417593528818,23.16,"[1850, 543, 834, 1379, 988, 870, 327, 1063, 297, 1096, 172, 526, 1520, 244, 185]"
1.5672396359959555,31.17,"[1850, 1605, 584, 635, 1252, 1554, 701, 1063, 988, 1285, 1779, 892, 1033, 526, 1682, 788, 1428, 297, 1895, 172, 244, 185, 1339, 1379, 1084, 834, 327, 1096, 599, 1520, 870]"
1.1122345803842264,27.82,"[1850, 1605, 635, 1694, 584, 599, 834, 988, 1379, 870, 1063, 327, 1428, 1033, 297, 526, 172, 1084, 185, 1096, 1520, 244]"
0.6572295247724975,21.29,"[1063, 1033, 834, 719, 1084, 244, 870, 327, 1096, 297, 172, 1850, 1520]"
0.15166835187057615,8.06,"[172, 1033, 327]"
0.6066734074823055,20.4,"[1063, 701, 870, 526, 297, 1084, 834, 1520, 1850, 172, 244, 1428]"
1.011122345803842,26.74,"[584, 1096, 1084, 843, 834, 172, 526, 1520, 244, 1379, 1428, 870, 1850, 1063, 327, 1033, 185, 297, 988, 599]"
0.4550050556117289,17.28,"[1063, 327, 1779, 834, 1096, 172, 526, 1520, 244]"
1.9211324570273003,33.21,"[1850, 635, 1335, 905, 1084, 1262, 1596, 834, 1379, 870, 988, 1063, 1836, 297, 327, 172, 1520, 244, 185, 526, 892, 1747, 1285, 788, 1245, 1779, 272, 1033, 1554, 1682, 1963, 1959, 1096, 584, 1632, 1326, 701, 1428]"
1.769464105156724,32.56,"[1063, 988, 1575, 635, 1947, 1661, 1779, 1558, 701, 1285, 905, 892, 1033, 856, 526, 1682, 1245, 1596, 1428, 599, 244, 788, 297, 172, 1379, 185, 1850, 1084, 834, 327, 584, 1096, 870, 1520, 1262]"
0.7077856420626893,22.4,"[1063, 1033, 526, 834, 922, 1379, 244, 870, 1096, 327, 297, 172, 1850, 1520]"
2.1739130434782608,34.24,"[1850, 635, 1661, 843, 1252, 756, 1235, 1580, 453, 1084, 1262, 1245, 1557, 1752, 1558, 809, 1193, 1836, 450, 905, 599, 892, 1033, 526, 1285, 1682, 1779, 788, 244, 1063, 701, 834, 297, 1428, 172, 185, 327, 584, 1096, 1520, 870, 1379, 988]"
0.2022244691607682,9.34,"[1063, 704, 244, 327]"
2.0222446916076846,33.74,"[1850, 635, 1335, 1596, 1747, 1084, 1262, 905, 1765, 834, 1379, 870, 1963, 1632, 988, 1193, 450, 1520, 244, 1285, 892, 1033, 327, 1063, 1836, 526, 297, 172, 1779, 1554, 1682, 185, 1245, 788, 1428, 1959, 1326, 701, 1096, 584]"
1.365015166835187,29.95,"[1850, 1581, 635, 1694, 1285, 599, 584, 788, 1245, 988, 1779, 1084, 1235, 834, 1033, 1379, 870, 1428, 327, 1063, 1096, 297, 172, 185, 526, 1520, 244]"
1.9716885743174923,33.54,"[1850, 1605, 635, 1694, 1235, 599, 1554, 1751, 584, 1245, 1285, 988, 1779, 1959, 1379, 870, 788, 1632, 834, 1823, 905, 1193, 1262, 892, 327, 1428, 244, 1063, 1084, 1520, 1033, 526, 917, 297, 172, 185, 1326, 1096, 701]"
2.224469160768453,34.52,"[1063, 599, 892, 692, 1959, 1621, 453, 1285, 988, 635, 1235, 905, 1033, 756, 526, 1580, 1682, 788, 1557, 1262, 1558, 1428, 809, 536, 244, 1245, 1193, 1836, 450, 297, 1326, 701, 1520, 172, 185, 1850, 1779, 327, 1084, 834, 1096, 584, 1379, 870]"
1.3144590495449948,29.42,"[1063, 327, 599, 589, 526, 1428, 1084, 584, 635, 988, 1339, 1779, 244, 1520, 1245, 1096, 1627, 185, 1850, 1379, 1285, 1394, 172, 834, 870, 297]"
2.275025278058645,34.84,"[1850, 635, 1660, 1252, 561, 1164, 1779, 1084, 892, 834, 1063, 1379, 1262, 1747, 917, 870, 453, 1554, 1908, 450, 756, 327, 1193, 1596, 599, 1520, 1285, 244, 1245, 1033, 1235, 905, 1836, 526, 1682, 788, 1428, 297, 172, 1326, 988, 185, 701, 1096, 584]"
2.0728008088978767,33.8,"[1850, 1581, 635, 1596, 1836, 1262, 599, 1285, 584, 1245, 905, 1779, 988, 892, 788, 1747, 272, 1379, 870, 1084, 1554, 834, 1963, 1959, 1193, 453, 327, 244, 1520, 1096, 1033, 1480, 1428, 1682, 1063, 1326, 297, 172, 185, 701, 526]"
2.1233569261880687,34.11,"[1850, 568, 635, 599, 1596, 272, 1262, 1823, 1836, 1235, 584, 1245, 1779, 892, 917, 1632, 1285, 988, 905, 1033, 526, 1379, 870, 1747, 1554, 1682, 788, 1428, 1959, 244, 1063, 1084, 1520, 834, 297, 172, 1326, 453, 327, 185, 1096, 701]"
1.4661274014155712,30.56,"[1063, 1033, 584, 185, 1084, 834, 635, 244, 1252, 1285, 870, 988, 1850, 297, 172, 1428, 327, 526, 1520, 1779, 1682, 892, 788, 1096, 1554, 1144, 1379, 1339, 599]"
1.820020222446916,32.72,"[1850, 1605, 635, 1694, 1262, 1765, 584, 599, 1963, 1229, 988, 834, 905, 1379, 870, 1428, 1063, 1084, 327, 1339, 1033, 185, 526, 297, 172, 1285, 244, 1520, 892, 1096, 1682, 788, 1193, 1779, 701, 1245]"
1.870576339737108,33.06,"[1063, 599, 892, 1627, 1244, 988, 635, 1963, 1779, 1632, 1285, 1033, 526, 297, 327, 1245, 1428, 172, 1193, 244, 185, 1850, 834, 1520, 584, 1379, 870, 1096, 450, 1554, 1959, 1326, 905, 701, 1682, 788, 1084]"
1.2133468149646107,28.52,"[1850, 635, 1660, 1252, 1285, 1033, 526, 1428, 892, 1063, 297, 834, 172, 1379, 185, 327, 584, 870, 1096, 909, 988, 1245, 1520, 244]"
1.5166835187057632,31.0,"[1850, 635, 1335, 1596, 701, 1654, 1084, 1285, 1033, 526, 834, 1379, 870, 1682, 1428, 1063, 297, 172, 1520, 244, 1628, 1339, 599, 185, 327, 584, 1096, 988, 1245, 1779]"
0.1011122345803841,4.75,"[1520, 172]"
