n_nodes,influence,nodes
0.20533880903490775,7.34,[251]
0.4106776180698155,13.01,"[251, 216]"
0.8213552361396304,23.79,"[198, 108, 251, 54]"
1.8480492813141685,40.14,"[356, 198, 216, 146, 271, 329, 108, 251, 54]"
0.6160164271047228,18.63,"[271, 54, 108]"
1.4373716632443534,36.05,"[356, 147, 108, 216, 271, 251, 54]"
1.6427104722792607,38.46,"[356, 198, 216, 251, 308, 108, 54, 271]"
2.053388090349076,42.87,"[356, 198, 216, 329, 146, 228, 271, 251, 108, 54]"
1.026694045174538,27.78,"[376, 271, 251, 54, 108]"
2.2587268993839835,44.43,"[356, 198, 216, 329, 123, 146, 455, 251, 108, 271, 54]"
2.4640657084188913,46.11,"[356, 198, 216, 251, 304, 420, 147, 455, 108, 146, 54, 271]"
1.2320328542094456,32.01,"[376, 216, 329, 54, 108, 271]"
