n_nodes,influence,time,nodes
7.0,1276.0,5,"[935, 572, 135, 265, 1418, 11, 523]"
6.0,1183.52,6,"[1921, 897, 135, 773, 247, 1446]"
69.0,1409.08,7,"[133, 134, 715, 356, 1950, 1924, 1418, 266, 14, 1247, 1042, 146, 148, 22, 279, 922, 654, 1533, 177, 1889, 1813, 1510, 1722, 1953, 778, 523, 596, 55, 697, 47, 703, 1730, 1746, 228, 1765, 745, 640, 750, 1262, 1265, 1794, 258, 271, 272, 787, 284, 1825, 292, 1843, 1644, 1848, 370, 122, 317, 1854, 1861, 327, 1003, 1912, 107, 1518, 367, 754, 243, 371, 1524, 1911, 1272, 2017]"
18.0,1321.88,6,"[640, 1991, 1858, 1002, 22, 1932, 1806, 147, 150, 1814, 803, 1412, 279, 1510, 554, 1966, 1230, 1813]"
10.0,1302.72,6,"[133, 134, 716, 356, 1950, 1924, 1418, 523, 190, 1958]"
13.0,1283.26,7,"[1921, 897, 135, 265, 1418, 606, 186, 668, 1187, 244, 1722, 632, 1211]"
23.0,1345.58,6,"[1412, 440, 173, 1294, 1950, 1800, 1825, 1932, 1032, 1801, 1806, 943, 77, 1345, 1814, 1993, 1924, 554, 1966, 308, 1198, 150, 188]"
23.0,1325.3,7,"[889, 173, 1921, 265, 1538, 11, 150, 1806, 1814, 803, 554, 1412, 1966, 1198, 943, 308, 1824, 188, 300, 155, 1722, 668, 443]"
65.0,1407.12,7,"[889, 135, 173, 14, 1921, 265, 1418, 11, 1953, 1897, 694, 1806, 1459, 654, 1042, 146, 148, 1533, 22, 279, 177, 922, 1972, 55, 1574, 1722, 1701, 596, 523, 703, 47, 1730, 1746, 228, 1765, 745, 746, 750, 1262, 1265, 1794, 258, 271, 272, 787, 284, 1825, 292, 1843, 248, 1848, 370, 122, 317, 1854, 1861, 327, 1003, 1912, 107, 1518, 367, 1413, 243, 371]"
6.0,1267.48,5,"[133, 134, 932, 356, 1950, 1446]"
97.0,1427.1,7,"[889, 173, 1950, 265, 272, 1825, 1932, 1032, 1806, 135, 1801, 943, 111, 1567, 1814, 918, 552, 1966, 308, 554, 147, 1897, 150, 1374, 926, 694, 927, 24, 1685, 1176, 1956, 934, 188, 803, 155, 162, 164, 1211, 1198, 190, 1190, 679, 288, 1191, 459, 166, 683, 1854, 186, 1486, 703, 1730, 1746, 228, 1765, 745, 746, 750, 1262, 1363, 1265, 1876, 1365, 1891, 368, 1392, 881, 886, 1911, 893, 1843, 898, 1411, 1924, 1011, 1861, 327, 391, 1794, 1848, 292, 284, 271, 258, 396, 405, 1949, 929, 1443, 1457, 950, 455, 974, 983, 985, 489, 496]"
10.0,1276.36,7,"[1921, 384, 135, 356, 247, 489, 1721, 668, 1395, 443]"
7.0,1264.88,6,"[1921, 173, 1124, 337, 1418, 536, 135]"
19.0,1322.6,7,"[1921, 173, 1854, 265, 1992, 1953, 11, 1806, 14, 1722, 24, 943, 308, 1824, 1966, 1412, 188, 1685, 443]"
38.0,1373.22,7,"[889, 173, 1921, 265, 135, 1418, 11, 1042, 1806, 14, 1533, 1953, 146, 148, 22, 279, 922, 654, 177, 1897, 55, 697, 1722, 47, 694, 1459, 1972, 1876, 1882, 1883, 1701, 862, 1868, 895, 504, 272, 320, 1856]"
56.0,1394.24,7,"[889, 173, 1950, 265, 272, 1825, 1932, 1032, 1806, 135, 1801, 943, 111, 1567, 1814, 918, 552, 1966, 308, 554, 147, 1897, 150, 1374, 926, 694, 927, 24, 1685, 1176, 1956, 934, 188, 803, 155, 162, 164, 1211, 1198, 190, 1190, 679, 288, 1191, 1269, 166, 683, 1854, 186, 1486, 703, 1730, 1746, 228, 1765, 745]"
9.0,1271.12,7,"[1921, 173, 1294, 1350, 1992, 418, 1722, 11, 443]"
21.0,1334.7,6,"[889, 279, 1992, 787, 173, 1921, 1953, 265, 1042, 1701, 1533, 135, 1897, 11, 14, 177, 654, 146, 148, 22, 605]"
24.0,1337.9,7,"[1921, 173, 1991, 1858, 1339, 1932, 147, 150, 1814, 1806, 1198, 943, 308, 1824, 1966, 188, 1725, 155, 1570, 554, 803, 64, 1722, 443]"
15.0,1310.52,7,"[889, 1994, 1731, 1921, 135, 265, 1418, 1042, 523, 1806, 14, 654, 146, 148, 22]"
45.0,1384.26,7,"[598, 1771, 173, 1524, 1921, 265, 1418, 11, 1953, 1003, 1042, 1272, 279, 1806, 107, 654, 146, 1533, 148, 22, 922, 14, 1897, 1701, 55, 697, 1722, 1854, 1861, 327, 47, 694, 1843, 1459, 1972, 1719, 787, 1825, 292, 284, 272, 135, 1312, 1912, 7]"
81.0,1426.22,7,"[1081, 173, 135, 177, 1312, 1265, 1921, 265, 1897, 1418, 11, 228, 1806, 14, 654, 1042, 146, 148, 1533, 22, 279, 55, 697, 922, 1722, 1765, 745, 1685, 1953, 58, 1911, 694, 47, 1701, 1593, 750, 1459, 1719, 1972, 1262, 190, 2017, 459, 1211, 1746, 1522, 1917, 1730, 703, 1486, 371, 370, 122, 1644, 637, 1150, 640, 7, 1794, 258, 271, 1848, 317, 93, 754, 243, 367, 1524, 1003, 1272, 1942, 1854, 1861, 327, 1843, 787, 1825, 292, 284, 272, 1912]"
63.0,1401.56,7,"[1921, 299, 203, 265, 1418, 670, 523, 1806, 14, 654, 1042, 146, 148, 22, 162, 164, 11, 279, 1007, 962, 144, 1195, 1722, 1533, 922, 694, 1972, 24, 1719, 1715, 190, 186, 1211, 177, 703, 1730, 1746, 228, 1765, 745, 746, 750, 1262, 1265, 1794, 1067, 258, 271, 272, 166, 284, 1825, 292, 1843, 1848, 317, 1861, 335, 1363, 1876, 1365, 1891, 1897]"
77.0,1420.12,7,"[889, 173, 1921, 265, 135, 1418, 11, 1042, 1953, 1806, 1533, 14, 55, 146, 148, 22, 279, 922, 697, 47, 1459, 1882, 177, 1883, 1701, 654, 694, 862, 1876, 1868, 1972, 895, 514, 1897, 1211, 703, 1730, 1746, 228, 1765, 1722, 745, 746, 750, 1262, 1265, 272, 1794, 1067, 258, 271, 166, 284, 1825, 292, 1843, 1848, 317, 1861, 1155, 1363, 1365, 1891, 368, 1392, 1644, 1952, 886, 893, 1804, 1911, 1411, 1924, 1414, 391, 396, 405]"
9.0,1281.54,5,"[889, 1470, 411, 127, 1950, 1446, 980, 86, 2011]"
