n_nodes,influence,time,nodes
1.0,9.68,3,[258]
19.0,120.26,6,"[617, 458, 208, 596, 524, 619, 575, 239, 582, 189, 283, 498, 235, 217, 163, 254, 149, 187, 719]"
5.0,42.78,5,"[261, 262, 80, 663, 219]"
1.0,11.22,2,[235]
7.0,54.6,7,"[166, 6, 722, 338, 117, 317, 607]"
6.0,42.82,6,"[481, 683, 688, 308, 247, 24]"
5.0,35.82,6,"[646, 211, 312, 210, 786]"
3.0,21.96,3,"[277, 240, 131]"
2.0,15.26,3,"[543, 367]"
20.0,126.02,7,"[355, 772, 773, 620, 719, 400, 50, 340, 20, 534, 369, 184, 215, 554, 507, 308, 465, 659, 406, 574]"
3.0,14.92,4,"[617, 420, 208]"
4.0,26.06,4,"[572, 124, 682, 115]"
7.0,54.72,6,"[120, 231, 391, 460, 789, 796, 158]"
18.0,115.38,7,"[355, 772, 581, 746, 11, 249, 456, 414, 531, 231, 164, 175, 688, 159, 550, 584, 389, 464]"
8.0,57.18,7,"[194, 197, 581, 746, 11, 639, 127, 414]"
2.0,12.48,4,"[73, 444]"
17.0,111.32,6,"[122, 401, 773, 620, 719, 400, 582, 498, 189, 551, 235, 254, 283, 149, 424, 163, 187]"
17.0,109.42,7,"[803, 251, 773, 620, 400, 461, 665, 20, 582, 235, 283, 498, 217, 638, 254, 719, 187]"
8.0,58.56,6,"[120, 568, 231, 761, 165, 424, 213, 551]"
16.0,106.9,7,"[504, 714, 792, 568, 639, 235, 582, 335, 226, 217, 169, 20, 283, 377, 82, 351]"
12.0,93.34,6,"[617, 458, 401, 196, 719, 463, 400, 624, 633, 217, 226, 366]"
11.0,91.48,7,"[639, 401, 773, 18, 620, 582, 335, 235, 666, 226, 217]"
13.0,98.4,6,"[387, 458, 401, 146, 590, 719, 335, 196, 374, 283, 463, 226, 217]"
14.0,106.8,7,"[122, 458, 484, 196, 719, 596, 335, 208, 18, 645, 330, 421, 283, 163]"
12.0,93.0,7,"[639, 458, 401, 10, 719, 18, 461, 599, 374, 235, 72, 226]"
9.0,78.94,7,"[639, 458, 730, 18, 185, 719, 327, 226, 104]"
10.0,85.42,7,"[639, 458, 730, 18, 185, 719, 327, 296, 11, 226]"
