n_nodes,influence,nodes
0.15785319652722984,14.66,"[2304, 1528, 605, 957]"
0.1183898973954225,14.41,"[239, 952, 605]"
0.27624309392265234,15.16,"[2304, 1528, 605, 875, 1316, 2305, 1535]"
1.0655090765588004,17.37,"[2304, 682, 2651, 2428, 1635, 2302, 1780, 2056, 567, 2052, 1871, 1535, 1760, 2182, 1035, 1557, 2583, 1705, 1965, 1710, 717, 1072, 314, 2250, 2128, 723, 1903]"
1.5390686661404893,18.21,"[2304, 1528, 605, 2428, 1261, 2305, 2309, 505, 1729, 1535, 2167, 2651, 1792, 2302, 1582, 1965, 1760, 2264, 2052, 1936, 314, 717, 1710, 1903, 1050, 1557, 2182, 1072, 1702, 723, 2738, 2238, 580, 2128, 2041, 1035, 1705, 946, 2250]"
0.9471191791633782,17.02,"[2304, 1182, 222, 2583, 2428, 1233, 1871, 1780, 2173, 1760, 1535, 2052, 314, 1582, 1903, 1705, 894, 2250, 723, 1710, 1557, 2264, 1050, 2651]"
0.1973164956590372,14.74,"[2304, 1528, 605, 957, 865]"
0.8681925808997635,16.88,"[2304, 1528, 2815, 1535, 2302, 1871, 1780, 2583, 2428, 2250, 2182, 1072, 2242, 1936, 2305, 1050, 1760, 2052, 717, 1710, 1903, 1557]"
1.026045777426993,17.18,"[2304, 1528, 1871, 1535, 1780, 222, 2302, 157, 1582, 2182, 2128, 1072, 2428, 1760, 2052, 2250, 1918, 1035, 946, 1050, 314, 1965, 1710, 148, 1557, 2651]"
0.9865824782951855,17.07,"[2304, 1528, 2651, 1635, 2343, 2428, 1050, 2182, 2398, 2302, 1642, 1402, 2052, 1323, 2264, 1705, 2250, 1918, 1871, 855, 717, 1710, 1903, 723, 2583]"
0.8287292817679559,16.79,"[2304, 1528, 605, 1535, 2302, 2182, 1871, 2428, 1072, 1932, 2583, 2128, 1035, 1965, 2250, 541, 1050, 2651, 1760, 2052, 1705]"
0.7103393843725339,16.71,"[2304, 1115, 605, 1535, 1780, 2302, 1542, 1705, 1871, 2428, 2583, 1035, 2223, 723, 1557, 1760, 1903, 2264]"
1.1838989739542227,17.5,"[2304, 1528, 605, 1535, 2056, 2302, 314, 2375, 2428, 1871, 2264, 1780, 811, 2052, 2583, 2250, 2182, 2128, 1760, 1035, 1072, 1557, 1705, 1965, 1710, 567, 717, 1963, 1903, 2651]"
1.420678768745067,17.97,"[2304, 1528, 605, 2428, 1261, 2305, 2309, 505, 1729, 1535, 2167, 1792, 2264, 2651, 2302, 1936, 717, 1903, 289, 1582, 723, 1965, 2738, 1760, 2238, 2052, 2182, 1710, 1050, 314, 2250, 1557, 1035, 1072, 2128, 946]"
1.8547750591949488,18.68,"[2304, 1528, 605, 1535, 1871, 1780, 2302, 2583, 1574, 272, 2428, 2243, 1299, 1729, 2555, 2375, 1323, 2295, 2167, 1072, 2398, 1760, 2008, 2182, 2041, 1918, 2128, 2724, 2415, 1050, 1792, 1903, 822, 2052, 1035, 2651, 1936, 1710, 1557, 2264, 1705, 2738, 1965, 314, 2238, 717, 723]"
1.22336227308603,17.65,"[2304, 1528, 605, 1535, 1871, 2302, 1780, 2583, 2428, 1299, 1729, 1574, 1503, 2182, 1072, 2167, 2398, 1792, 1760, 1050, 2128, 2052, 1582, 1035, 272, 1710, 1557, 2651, 1903, 723, 2264]"
1.6969218626677192,18.45,"[2304, 1528, 1045, 1918, 1790, 375, 2805, 2428, 1936, 2724, 1582, 1535, 1729, 2375, 2167, 1792, 2302, 604, 717, 946, 2250, 2128, 1903, 2008, 2376, 2052, 2264, 2182, 1035, 1557, 1050, 1885, 1705, 1323, 1965, 1710, 1072, 2738, 1760, 314, 2238, 723, 2651]"
2.2888713496448303,19.28,"[2304, 1528, 222, 2583, 2428, 1465, 1233, 2115, 1871, 1635, 74, 1535, 1307, 2173, 1035, 2445, 1335, 1792, 2264, 1729, 1885, 1918, 1760, 1050, 717, 636, 630, 2468, 1072, 386, 2052, 18, 2724, 1705, 2182, 1903, 2128, 2651, 723, 1323, 2250, 1582, 1965, 1557, 1702, 1710, 2738, 2238, 2041, 2243, 580, 1350, 1114, 657, 2375, 1522, 2008, 1642]"
2.3677979479084454,19.42,"[2304, 1528, 222, 1535, 2302, 1871, 1299, 2398, 2115, 2173, 1582, 2428, 2128, 1635, 2807, 240, 636, 235, 723, 1729, 2555, 1059, 2243, 1936, 1072, 18, 717, 2250, 78, 1918, 2264, 1522, 1323, 1335, 386, 1243, 1760, 2724, 2295, 1792, 1903, 2738, 2152, 2052, 2182, 580, 2375, 2651, 2238, 1035, 1114, 1557, 1050, 1702, 2008, 1705, 1965, 1710, 1885, 314]"
2.249408050513023,19.22,"[2304, 1528, 605, 1080, 2182, 1299, 1050, 2428, 2398, 2115, 2173, 2264, 2052, 1796, 2807, 1323, 1535, 73, 1885, 1792, 1871, 1965, 1642, 148, 2253, 2250, 1350, 1035, 1903, 2128, 1369, 2651, 1918, 636, 1710, 1729, 1760, 630, 717, 2738, 314, 1557, 386, 2555, 1702, 18, 2243, 2041, 2724, 1705, 1522, 1114, 723, 1243, 2238, 580, 2375]"
1.1444356748224151,17.4,"[2304, 1528, 1321, 2428, 1851, 1233, 717, 2583, 2300, 2173, 1792, 1323, 1350, 2264, 1535, 1871, 2314, 2302, 1918, 723, 1557, 1582, 2052, 2182, 1705, 2250, 1035, 2128, 314]"
1.9337016574585637,18.9,"[2304, 1528, 1045, 1790, 1918, 375, 2805, 2428, 2724, 2167, 604, 1535, 1936, 2848, 1582, 1729, 2375, 2302, 946, 2376, 580, 1702, 2041, 1114, 2250, 2128, 1903, 1792, 2008, 1350, 602, 2264, 2052, 2182, 1035, 1557, 1885, 1050, 1705, 1323, 1965, 1710, 1072, 1760, 2738, 314, 2238, 723, 2651]"
0.6314127861089187,16.26,"[2304, 1528, 2398, 1915, 979, 1760, 1178, 1705, 717, 1582, 1871, 2128, 1557, 314, 2651, 2238]"
