n_nodes,influence,nodes
0.03946329913180735,5.66,[234]
0.43409629044988174,29.58,"[366, 922, 1588, 886, 1871, 123, 605, 161, 234, 460, 563]"
0.15785319652722984,14.2,"[234, 161, 563, 2199]"
1.3417521704814523,51.29,"[1535, 1931, 2302, 2043, 1115, 2790, 1510, 2154, 1588, 310, 2264, 769, 1574, 1089, 2167, 979, 820, 386, 782, 20, 922, 161, 1323, 563, 1760, 312, 1083, 366, 460, 1871, 594, 605, 1373, 234]"
0.7103393843725339,39.53,"[1760, 1115, 594, 922, 820, 1510, 161, 234, 460, 605, 1496, 1089, 312, 1323, 1008, 563, 1588, 1083]"
0.9865824782951855,45.47,"[922, 1705, 1115, 310, 1008, 1089, 340, 886, 1496, 782, 20, 1469, 1373, 1588, 1323, 820, 161, 2043, 460, 312, 1760, 234, 563, 1871, 605]"
0.6708760852407263,37.74,"[1760, 1115, 594, 922, 820, 524, 161, 234, 460, 605, 1496, 1089, 312, 1323, 1008, 1588, 563]"
0.6314127861089187,36.99,"[952, 922, 234, 563, 2667, 605, 1760, 1089, 161, 460, 1323, 1115, 366, 1588, 312, 1083]"
0.552486187845304,34.0,"[1760, 1023, 1115, 2514, 1089, 161, 234, 460, 366, 1871, 563, 820, 1588, 605]"
1.1838989739542227,48.8,"[1760, 1023, 922, 1469, 1115, 886, 2302, 594, 2043, 93, 2445, 234, 782, 366, 20, 161, 1574, 1323, 563, 1588, 312, 1083, 605, 1089, 460, 1871, 1528, 1496, 1373, 2402]"
1.026045777426993,46.25,"[1760, 1023, 723, 1115, 1528, 1469, 782, 20, 2043, 161, 1323, 563, 1588, 820, 310, 312, 605, 1083, 1089, 460, 1871, 1496, 1373, 234, 366, 1008]"
1.7758484609313339,56.2,"[1760, 1115, 1023, 691, 922, 594, 886, 782, 161, 234, 605, 366, 460, 312, 2302, 2043, 2167, 1574, 521, 563, 1083, 20, 1588, 1323, 1089, 310, 909, 1012, 1528, 1510, 1871, 1373, 1496, 2445, 823, 1903, 3, 581, 1054, 278, 227, 1437, 952, 1091, 2402]"
0.5130228887134964,32.99,"[234, 868, 161, 1373, 460, 605, 1760, 1089, 1115, 1323, 563, 1353, 312]"
0.9076558800315706,44.15,"[366, 1672, 1501, 1089, 1760, 782, 20, 161, 1496, 1115, 1323, 460, 1588, 820, 310, 312, 952, 1083, 563, 234, 1871, 1008, 605]"
1.499605367008682,53.06,"[1760, 1023, 1008, 1469, 54, 1115, 2318, 691, 925, 820, 2264, 234, 75, 366, 20, 922, 1918, 2043, 161, 1437, 563, 1012, 1323, 1588, 605, 310, 823, 312, 1528, 1139, 1083, 1089, 1091, 460, 1871, 1496, 1373, 2402]"
1.2628255722178374,50.5,"[366, 1535, 2302, 2570, 1903, 886, 691, 1373, 1008, 782, 2043, 20, 925, 161, 1323, 563, 1588, 823, 312, 1083, 1469, 1089, 460, 1871, 1292, 1496, 1115, 605, 1760, 2402, 1510, 234]"
1.4601420678768746,52.88,"[1760, 1023, 723, 1535, 782, 1528, 1115, 1931, 1178, 1469, 2043, 1574, 521, 75, 20, 1918, 1373, 922, 925, 161, 1588, 1323, 605, 820, 563, 310, 312, 823, 1083, 1089, 649, 460, 1871, 1496, 2264, 234, 2402]"
1.420678768745067,52.06,"[952, 922, 1023, 234, 563, 605, 886, 2445, 1215, 823, 782, 594, 1903, 521, 909, 460, 1588, 1083, 312, 1760, 1089, 2302, 1115, 366, 2167, 1373, 310, 161, 1113, 1574, 1323, 1871, 1012, 2043, 1510, 1496]"
1.6969218626677192,55.55,"[1760, 1023, 1008, 691, 54, 2376, 1469, 1115, 2018, 2445, 1510, 1965, 234, 20, 2149, 1264, 819, 2167, 2043, 979, 521, 782, 909, 2302, 922, 161, 1574, 1323, 563, 1588, 310, 605, 823, 312, 952, 886, 1083, 1089, 460, 1871, 594, 1496, 1373]"
0.8681925808997635,43.0,"[366, 2150, 1023, 1760, 1008, 161, 1089, 691, 1496, 1115, 1323, 460, 234, 1871, 594, 20, 563, 1588, 820, 312, 1083, 605]"
1.302288871349645,50.91,"[1760, 1023, 1535, 992, 2570, 1089, 886, 2302, 1115, 234, 161, 827, 1012, 605, 460, 521, 782, 20, 563, 922, 2043, 1574, 1323, 1588, 310, 312, 1083, 1469, 1871, 1510, 594, 1496, 1373]"
