n_nodes,influence,communities,nodes
0.7309941520467838,17.2,11,"[398, 214, 636, 593, 237]"
1.7543859649122808,25.72,13,"[673, 436, 62, 613, 619, 255, 193, 530, 601, 398, 593, 237]"
1.608187134502924,26.26,12,"[398, 117, 530, 513, 237, 62, 614, 413, 255, 593, 436]"
1.169590643274854,21.77,12,"[673, 436, 62, 657, 237, 398, 530, 601]"
0.7309941520467838,18.18,10,"[593, 436, 62, 237, 398]"
1.169590643274854,21.77,12,"[398, 673, 62, 530, 657, 601, 436, 237]"
2.4853801169590644,31.13,12,"[398, 255, 518, 530, 62, 593, 513, 168, 586, 436, 38, 237, 363, 649, 639, 245, 619]"
1.0233918128654973,19.95,12,"[398, 673, 168, 657, 530, 237, 436]"
1.3157894736842106,21.89,13,"[673, 436, 613, 193, 614, 530, 62, 237, 398]"
1.4619883040935673,23.45,13,"[673, 436, 657, 62, 530, 613, 237, 398, 168, 193]"
0.7309941520467838,18.18,10,"[398, 62, 593, 436, 237]"
1.3157894736842106,24.23,11,"[593, 436, 62, 168, 214, 421, 237, 398, 530]"
1.608187134502924,24.82,13,"[398, 450, 633, 601, 62, 530, 614, 168, 237, 611, 436]"
0.8771929824561404,17.68,12,"[673, 436, 650, 593, 237, 398]"
0.4385964912280702,13.39,9,"[436, 586, 398]"
0.5847953216374271,15.02,10,"[398, 518, 436, 237]"
2.3391812865497075,30.95,12,"[398, 62, 518, 168, 586, 649, 601, 255, 436, 237, 173, 593, 530, 214, 38, 614]"
0.5847953216374271,15.12,9,"[398, 593, 436, 38]"
2.192982456140351,29.18,13,"[627, 436, 62, 214, 610, 513, 168, 255, 193, 237, 530, 398, 601, 614, 38]"
1.0233918128654973,21.28,11,"[398, 626, 530, 518, 62, 436, 237]"
0.29239766081871377,10.0,8,"[398, 237]"
1.608187134502924,26.26,12,"[398, 255, 117, 62, 513, 614, 530, 413, 593, 237, 436]"
1.169590643274854,20.08,13,"[673, 530, 613, 193, 614, 62, 237, 398]"
2.046783625730994,29.25,12,"[398, 62, 310, 255, 657, 601, 421, 118, 168, 593, 76, 530, 436, 237]"
1.9005847953216375,27.42,13,"[673, 436, 62, 619, 193, 255, 613, 168, 237, 398, 601, 530, 593]"
1.169590643274854,22.65,11,"[518, 436, 62, 657, 168, 530, 237, 398]"
1.7543859649122808,27.28,12,"[398, 255, 518, 530, 62, 593, 513, 168, 614, 38, 436, 237]"
1.9005847953216375,28.23,12,"[398, 62, 168, 255, 117, 601, 413, 614, 32, 593, 237, 530, 436]"
0.8771929824561404,19.76,11,"[398, 255, 658, 530, 436, 237]"
0.8771929824561404,19.91,10,"[398, 117, 593, 530, 436, 237]"
1.4619883040935673,25.27,11,"[398, 255, 593, 214, 62, 518, 601, 168, 237, 436]"
1.4619883040935673,25.15,12,"[398, 658, 530, 518, 168, 62, 255, 237, 436, 429]"
1.3157894736842106,23.64,12,"[673, 436, 62, 593, 237, 398, 614, 255, 530]"
2.046783625730994,28.34,13,"[398, 62, 117, 625, 593, 255, 436, 601, 610, 38, 513, 193, 614, 237]"
2.3391812865497075,30.4,13,"[398, 62, 117, 255, 610, 168, 38, 601, 413, 513, 193, 614, 237, 593, 506, 436]"
1.3157894736842106,21.89,13,"[398, 673, 530, 613, 193, 62, 614, 237, 436]"
1.0233918128654973,19.95,12,"[673, 436, 168, 657, 530, 237, 398]"
2.192982456140351,29.82,12,"[398, 76, 310, 255, 106, 614, 38, 601, 421, 168, 118, 237, 593, 530, 436]"
