n_nodes,influence,nodes
0.5150846210448858,14.92,"[197, 571, 228, 970, 395, 465, 53]"
0.4415011037527592,13.22,"[290, 228, 632, 571, 53, 465]"
1.177336276674025,23.27,"[290, 228, 970, 789, 1112, 633, 887, 1059, 197, 75, 395, 1135, 465, 265, 571, 53]"
0.7358351729212655,18.08,"[290, 228, 970, 789, 395, 53, 887, 197, 465, 571]"
0.8830022075055186,20.29,"[290, 228, 970, 789, 821, 197, 887, 395, 75, 465, 53, 571]"
0.6622516556291391,16.98,"[197, 571, 290, 887, 891, 395, 465, 53, 228]"
0.3679175864606328,11.83,"[290, 228, 926, 465, 53]"
2.060338484179544,30.52,"[197, 1112, 306, 1017, 1143, 265, 633, 947, 1173, 518, 520, 887, 648, 395, 789, 891, 228, 1059, 417, 290, 53, 826, 571, 970, 75, 1211, 465, 751]"
1.692420897718911,28.07,"[290, 228, 970, 789, 821, 1107, 504, 1135, 887, 1059, 53, 571, 395, 826, 75, 197, 891, 465, 417, 947, 1017, 648, 265]"
0.809418690213392,19.28,"[290, 228, 970, 789, 1311, 887, 75, 395, 465, 53, 571]"
0.22075055187637949,8.62,"[417, 53, 197]"
0.5886681383370125,16.22,"[290, 228, 970, 789, 887, 571, 465, 53]"
0.14716703458425284,5.66,"[395, 53]"
0.9565857247976453,21.24,"[290, 228, 970, 789, 633, 887, 197, 1112, 395, 75, 571, 465, 53]"
1.0301692420897717,21.89,"[290, 228, 970, 789, 617, 1059, 887, 265, 197, 395, 75, 571, 53, 465]"
1.839587932303164,28.99,"[197, 1112, 306, 1017, 1143, 633, 1173, 518, 265, 947, 417, 290, 1059, 228, 887, 891, 526, 970, 826, 395, 789, 75, 571, 465, 53]"
1.9867549668874172,30.05,"[290, 228, 970, 789, 587, 1085, 826, 1112, 648, 926, 887, 571, 891, 395, 265, 465, 53, 520, 515, 417, 1059, 751, 75, 224, 1017, 1135, 197]"
1.9131714495952905,29.54,"[197, 1112, 1173, 1017, 518, 663, 1143, 633, 520, 826, 648, 265, 947, 887, 395, 789, 891, 417, 290, 1059, 228, 53, 571, 970, 75, 465]"
1.5452538631346577,26.97,"[290, 228, 970, 789, 887, 1143, 417, 826, 1059, 571, 75, 891, 53, 648, 197, 465, 265, 395, 1287, 1112, 1017]"
1.1037527593818983,22.55,"[290, 228, 789, 1112, 1059, 841, 197, 265, 970, 75, 395, 887, 465, 53, 571]"
0.07358351729212664,3.45,[53]
2.2810890360559233,31.68,"[197, 1112, 306, 1017, 633, 518, 1143, 526, 751, 926, 1173, 113, 520, 947, 228, 891, 887, 265, 417, 290, 1059, 1135, 648, 970, 395, 789, 826, 75, 53, 465, 571]"
0.29433406916850613,9.83,"[395, 53, 1017, 465]"
1.2509197939661516,24.17,"[197, 1112, 826, 290, 1059, 633, 228, 265, 1135, 970, 75, 395, 465, 789, 53, 887, 571]"
2.1339220014716704,30.82,"[197, 1112, 947, 1017, 526, 306, 633, 1143, 1135, 926, 224, 518, 1230, 826, 648, 891, 417, 228, 290, 887, 265, 395, 1059, 970, 789, 53, 571, 75, 465]"
1.324503311258278,24.82,"[290, 228, 970, 891, 1112, 633, 265, 617, 395, 75, 465, 53, 571, 887, 197, 789, 1017, 826]"
2.35467255334805,32.19,"[290, 228, 970, 789, 1112, 633, 1287, 1017, 826, 887, 1047, 1143, 560, 571, 587, 751, 1173, 75, 265, 925, 395, 53, 465, 520, 197, 947, 891, 417, 1059, 224, 648, 1135]"
1.471670345842531,26.31,"[197, 1112, 826, 633, 891, 947, 290, 1059, 1017, 1218, 1135, 228, 970, 75, 465, 789, 571, 53, 887, 395]"
1.7660044150110374,28.38,"[290, 228, 1159, 970, 1112, 1188, 75, 520, 465, 891, 1135, 417, 1059, 571, 53, 197, 887, 648, 395, 265, 826, 751, 947, 1103]"
1.3980868285504047,25.31,"[290, 228, 789, 1112, 841, 891, 648, 1059, 197, 265, 970, 75, 887, 395, 571, 911, 53, 465, 1017]"
2.207505518763797,31.45,"[197, 1112, 306, 1017, 1211, 1143, 926, 633, 649, 1135, 265, 518, 947, 520, 887, 1173, 891, 648, 395, 789, 417, 228, 290, 1059, 53, 826, 571, 970, 75, 465]"
1.6188373804267844,27.45,"[290, 228, 970, 789, 1112, 633, 1047, 732, 826, 417, 891, 1287, 887, 571, 197, 648, 265, 395, 75, 1135, 465, 53]"
