n_nodes,influence,nodes
0.1557632398753892,1.32,[288]
2.4922118380062304,10.2,"[220, 141, 294, 134, 303, 56, 464, 601, 379, 539, 172, 277, 280, 420, 107, 215]"
1.4018691588785046,7.28,"[261, 328, 215, 182, 408, 107, 220, 55, 280]"
0.9345794392523363,5.54,"[220, 268, 328, 172, 215, 280]"
2.336448598130841,9.8,"[291, 220, 541, 420, 215, 464, 539, 601, 56, 328, 268, 280, 107, 134, 172]"
1.2461059190031152,6.79,"[294, 172, 56, 328, 412, 220, 215, 280]"
0.7788161993769471,4.93,"[220, 281, 328, 280, 215]"
2.1806853582554515,9.45,"[294, 134, 322, 215, 408, 220, 605, 356, 55, 107, 303, 420, 172, 280]"
0.31152647975077885,2.53,"[294, 328]"
0.46728971962616805,3.45,"[268, 328, 220]"
0.6230529595015577,4.24,"[291, 220, 280, 328]"
2.0249221183800623,9.03,"[220, 328, 294, 55, 408, 601, 539, 420, 107, 215, 280, 134, 172]"
1.8691588785046727,8.69,"[220, 328, 303, 294, 345, 420, 215, 601, 107, 56, 141, 280]"
1.7133956386292835,8.16,"[291, 220, 454, 420, 408, 215, 107, 172, 303, 55, 280]"
1.7133956386292835,8.16,"[220, 329, 294, 551, 172, 215, 420, 408, 55, 107, 280]"
1.0903426791277258,6.28,"[220, 141, 408, 294, 328, 280, 134]"
1.557632398753894,7.72,"[294, 539, 107, 215, 408, 220, 172, 303, 55, 280]"
