n_nodes,influence,nodes
1.4981273408239701,31.55,"[1308, 5767, 452, 3244, 2913, 2124, 451, 1273, 170, 2313, 1711, 476, 523, 218, 2572, 1215, 390, 2510, 1563, 843, 879, 3636, 1217, 3, 3936, 1144, 1736, 1714, 408, 753, 1095, 1998, 2119, 1623, 89, 1119, 3136, 3167, 1311, 2134, 309, 1114, 1949, 2945, 1467, 901, 3183, 1158, 417, 1143, 5731, 125, 649, 1150, 1763, 123, 1825, 959, 1473, 1153, 1833, 1296, 131, 3715, 3204, 1307, 907, 1159, 151, 2503, 775, 1176, 427, 1688, 668, 1314, 3236, 165, 524, 1706, 847, 530, 3246, 1168, 2348, 1219, 154, 696, 1506, 2249, 841, 337, 1209, 4918, 3776, 890, 716, 6968, 3239, 2270, 1263, 754, 2292, 3325, 1580, 1271, 1200, 25, 1788, 1079, 1268, 1717, 5486, 30, 1347, 254, 371, 1229, 228, 258, 1801, 1570, 1239, 252, 760, 587, 778, 767, 1293, 193, 1243, 1818, 1598, 1274, 249, 1250, 1309, 40, 1312, 607, 2355, 239, 1337, 1351, 2234, 2888, 1362, 563, 1885, 368, 917, 1620, 409, 4798, 1977, 56, 104, 58, 62, 577]"
1.2640449438202248,29.4,"[1308, 5767, 452, 3244, 2913, 1273, 2313, 451, 2124, 1711, 523, 476, 4661, 218, 843, 3636, 3, 3936, 2510, 1736, 390, 1215, 753, 2572, 1095, 879, 524, 530, 1563, 1217, 25, 30, 408, 1998, 1570, 40, 1580, 1144, 1714, 563, 1079, 56, 58, 1598, 62, 3136, 1311, 1949, 577, 1467, 309, 1623, 2945, 89, 417, 901, 2119, 587, 3167, 1620, 2134, 1114, 959, 1473, 5731, 104, 1143, 123, 125, 1158, 1150, 3715, 2503, 1825, 3204, 131, 649, 1833, 1168, 151, 1176, 427, 1688, 1296, 154, 668, 3236, 1307, 1506, 165, 3239, 1200, 1717, 1209, 2234, 1314, 775, 4798, 847, 193, 2249, 716, 1229, 1239, 2348, 1243, 1250, 228, 239, 337, 841, 1268, 890, 2292, 1271, 4918, 760, 249, 1274, 252, 3325, 254, 767, 1801, 1309, 2355, 1347, 2888, 1885, 5486, 368, 371, 917, 409, 1977]"
0.5524344569288391,20.18,"[1308, 1570, 1158, 427, 452, 879, 5731, 767, 1347, 3285, 1934, 30, 959, 1250, 193, 228, 1473, 4918, 2348, 1714, 1144, 1243, 760, 530, 901, 1801, 524, 3433, 408, 25, 2503, 249, 1314, 1311, 40, 1833, 1580, 1200, 2355, 563, 1079, 56, 58, 3325, 1467, 62, 841, 950, 371, 1268, 1229, 1598, 337, 577, 2888, 587, 1620, 2124, 1239]"
1.6385767790262173,32.6,"[1308, 427, 170, 451, 2313, 254, 1347, 607, 452, 879, 5731, 628, 476, 1714, 1706, 1510, 2355, 1461, 309, 1159, 523, 447, 2572, 767, 1942, 890, 315, 1045, 2904, 1311, 1314, 2357, 535, 29, 3136, 2119, 530, 2134, 1506, 34, 1209, 417, 1168, 1293, 1949, 1788, 901, 2248, 2348, 760, 408, 676, 1467, 3636, 959, 1453, 1219, 2503, 847, 1623, 228, 3325, 89, 1114, 6198, 3167, 1144, 9382, 3654, 1095, 1611, 1473, 7762, 2136, 1119, 249, 2270, 3183, 1934, 720, 3776, 1801, 371, 2498, 123, 1143, 1243, 841, 409, 1639, 1263, 2955, 1818, 337, 1643, 4220, 1153, 3246, 368, 753, 1271, 125, 144, 1539, 3715, 1265, 524, 154, 25, 1250, 1563, 1150, 30, 3236, 1570, 40, 1998, 917, 252, 1580, 100, 165, 390, 563, 104, 2945, 131, 3204, 1200, 1268, 1215, 2292, 193, 2249, 5486, 2771, 1079, 1312, 775, 778, 56, 58, 2888, 1825, 2510, 1598, 577, 62, 587, 1229, 1977, 2124, 1239, 1351, 1833, 1620, 1158, 649, 151, 1688, 1176, 1309, 1296, 3936, 2913, 668, 843, 1307, 3239, 2234, 4798, 1217, 716, 239, 1274]"
0.4494382022471912,17.91,"[1308, 1570, 1347, 1158, 2467, 767, 1714, 1801, 901, 40, 879, 193, 524, 1168, 530, 427, 3325, 228, 408, 959, 371, 1250, 1144, 1311, 25, 1473, 249, 10290, 1580, 2348, 1229, 337, 1314, 2355, 1200, 1467, 4918, 58, 1239, 841, 1620, 1243, 563, 56, 62, 252, 760, 30]"
1.357677902621723,30.29,"[1308, 427, 3285, 452, 1334, 4756, 1341, 1347, 879, 476, 5731, 3465, 607, 277, 59, 451, 2572, 2945, 622, 767, 390, 2288, 2503, 676, 1337, 218, 228, 8676, 1309, 1314, 4918, 1506, 1243, 2348, 1150, 1467, 254, 1977, 1119, 841, 959, 901, 1144, 3167, 258, 628, 123, 1158, 125, 3715, 772, 1473, 3239, 2771, 1510, 1539, 249, 890, 523, 2242, 2292, 1351, 524, 2904, 2913, 337, 530, 1250, 2479, 417, 25, 3717, 30, 1570, 193, 40, 1580, 3325, 563, 1079, 56, 58, 1598, 1268, 62, 3136, 917, 577, 408, 2119, 587, 2124, 1620, 89, 1114, 100, 104, 3183, 1143, 252, 2510, 131, 1998, 3204, 1801, 1159, 1229, 1239, 649, 1168, 151, 1176, 1688, 154, 668, 3236, 165, 1296, 1825, 1200, 1714, 1717, 1209, 2234, 4798, 1215, 1217, 2249, 716, 239, 1271, 760, 1274, 775, 1307, 1311, 1833, 1949, 843, 3936, 368, 371, 5486, 847, 2888]"
0.758426966292135,23.36,"[1308, 427, 5731, 530, 1714, 2355, 879, 767, 309, 1539, 1311, 1347, 901, 390, 1158, 2249, 3882, 1144, 607, 524, 1168, 1296, 917, 1274, 720, 154, 1801, 1307, 408, 1570, 40, 563, 56, 249, 58, 959, 1200, 193, 1473, 587, 1243, 2503, 2124, 1229, 337, 252, 239, 371, 1268, 1620, 1250, 1239, 30, 25, 1563, 1309, 228, 417, 890, 1833, 2348, 1580, 1079, 1467, 62, 1598, 1217, 452, 577, 2888, 841, 104, 2510, 1998, 847, 476, 1885, 3325, 100, 5486, 368]"
1.8820224719101124,34.39,"[1308, 427, 2572, 8676, 3285, 452, 1885, 4756, 476, 1412, 1334, 607, 879, 2443, 5731, 1341, 3465, 451, 1347, 1510, 315, 144, 622, 1407, 277, 1337, 1177, 3227, 218, 907, 2292, 767, 3776, 258, 2248, 368, 1736, 5909, 2288, 2945, 9433, 2242, 59, 390, 417, 2254, 254, 890, 1467, 228, 720, 131, 1159, 959, 523, 1241, 151, 4918, 1150, 447, 778, 1314, 1243, 3636, 1453, 841, 1473, 221, 917, 224, 226, 1144, 4889, 1623, 753, 901, 1539, 2955, 754, 524, 409, 530, 309, 1119, 513, 2119, 249, 25, 2503, 1033, 1563, 1045, 30, 1570, 40, 1580, 1158, 2510, 337, 1998, 535, 563, 1688, 1079, 56, 1598, 58, 1977, 62, 1506, 1250, 3325, 668, 3136, 577, 1949, 676, 3236, 587, 2124, 1620, 649, 100, 1176, 408, 1268, 154, 1200, 1714, 1717, 371, 193, 2888, 847, 775, 1801, 1309, 1311, 1833, 1825, 1307, 1296, 760, 1274, 1168, 252, 239, 3204, 2234, 1217, 1239, 1229, 3183, 4798, 104, 1143, 89, 1114, 843, 3936, 5486, 165, 2348, 29, 34, 2088, 1639, 1271, 1209, 2249, 716, 1215, 319, 6198, 2270, 1095, 4670, 3654, 1312, 1362, 1611, 7762, 1818, 1293, 2134, 1788, 3167, 1643, 123, 1706, 1263, 4220, 125, 3715, 3239, 3246, 696, 2771, 1281, 2904, 2355]"
0.9644194756554307,26.1,"[1308, 427, 5731, 309, 1539, 1714, 879, 767, 2355, 390, 530, 1158, 3882, 607, 1347, 2119, 89, 1311, 1144, 2249, 1114, 3183, 131, 3204, 1274, 901, 1159, 649, 151, 1176, 1688, 668, 524, 1168, 917, 249, 1296, 3236, 154, 563, 56, 165, 58, 959, 1570, 587, 252, 1243, 193, 1473, 2124, 239, 371, 1268, 1229, 337, 40, 2503, 1307, 890, 1717, 1250, 1620, 1209, 1239, 408, 1200, 2234, 4798, 1215, 1801, 1825, 716, 1271, 760, 775, 1314, 4918, 843, 3325, 3936, 1949, 104, 25, 30, 1833, 2348, 1580, 1079, 368, 1217, 5486, 100, 2510, 7313, 847, 452, 841, 2888, 577, 1467, 62, 1598]"
0.8988764044943822,25.26,"[1308, 1532, 3453, 4756, 452, 3654, 3136, 1539, 1158, 524, 760, 879, 767, 530, 25, 104, 2234, 1314, 30, 1570, 2503, 193, 1563, 1274, 1825, 40, 1580, 563, 1506, 309, 1079, 959, 4918, 1337, 56, 1473, 58, 1598, 1351, 587, 2124, 607, 1144, 100, 252, 62, 1217, 917, 1833, 577, 2888, 2945, 901, 1467, 775, 390, 649, 2313, 1250, 1801, 1168, 1296, 1176, 154, 1268, 1229, 720, 1239, 249, 228, 3325, 239, 1307, 371, 1243, 1309, 1311, 408, 417, 3239, 427, 2348, 4798, 1200, 1714, 337, 890, 1717, 2355, 1347, 841, 2510, 847, 1998, 5486, 368]"
