n_nodes,influence,nodes
0.2906976744186047,6.93,"[116, 184, 1249, 537, 407, 218]"
0.43604651162790686,9.93,"[116, 870, 996, 921, 184, 1031, 462, 407, 537]"
0.5329457364341086,11.58,"[116, 1526, 921, 1249, 996, 1809, 275, 1670, 1031, 537, 407]"
0.09689922480620128,2.48,"[116, 433]"
1.5503875968992247,24.88,"[116, 1046, 1526, 587, 655, 1583, 1809, 433, 218, 2284, 789, 921, 676, 751, 316, 148, 1440, 275, 1249, 184, 870, 48, 996, 1670, 1031, 407, 537, 1309, 1230, 1103, 1006, 462]"
1.4534883720930232,24.12,"[116, 316, 1526, 587, 184, 1932, 1809, 433, 218, 659, 789, 921, 1440, 751, 41, 1046, 1670, 48, 1249, 275, 870, 1031, 996, 407, 537, 1309, 1230, 1103, 462, 1006]"
0.6782945736434107,13.93,"[116, 1526, 751, 1249, 996, 870, 1670, 1031, 462, 1230, 48, 275, 407, 537]"
0.5813953488372094,12.5,"[116, 1526, 316, 1249, 996, 921, 1670, 275, 1031, 1809, 407, 537]"
0.193798449612403,4.82,"[116, 1220, 462, 407]"
0.7751937984496124,15.53,"[1526, 407, 996, 275, 218, 48, 1249, 356, 1670, 1031, 587, 537, 462, 1230, 1006, 655]"
1.065891472868217,19.53,"[116, 1526, 659, 1249, 1286, 751, 921, 275, 1031, 1309, 48, 870, 1006, 1670, 789, 218, 537, 587, 1230, 1103, 407, 462]"
0.8236434108527129,16.12,"[116, 1526, 659, 996, 1249, 1809, 1670, 870, 275, 1031, 462, 1230, 538, 1103, 407, 218, 537]"
0.04844961240310042,1.66,[462]
1.1143410852713178,20.02,"[116, 1526, 659, 184, 1809, 996, 921, 275, 1006, 870, 48, 1249, 1670, 1031, 789, 751, 2436, 218, 462, 587, 1230, 407, 1103]"
1.25968992248062,21.91,"[116, 316, 1526, 184, 48, 789, 587, 1230, 1670, 1031, 1809, 218, 275, 659, 1752, 407, 751, 537, 921, 1309, 462, 1103, 1249, 996, 870, 1006]"
