n_nodes,influence,nodes
0.19588638589618013,0.74,"[246, 75]"
0.09794319294809029,0.41,[229]
0.09794319294809029,0.41,[214]
0.881488736532811,2.64,"[624, 268, 704, 227, 589, 61, 246, 122, 860]"
0.6856023506366307,2.14,"[641, 174, 63, 860, 246, 224, 122]"
0.9794319294809011,2.91,"[620, 558, 246, 63, 227, 268, 589, 704, 174, 122]"
1.1753183153770812,3.39,"[20, 704, 227, 63, 405, 122, 860, 466, 268, 558, 174, 246]"
0.3917727717923607,1.31,"[641, 704, 246, 63]"
0.7835455435847207,2.38,"[268, 61, 704, 227, 304, 246, 122, 860]"
1.9588638589618022,5.05,"[624, 250, 63, 241, 509, 110, 704, 61, 410, 227, 860, 246, 268, 122, 476, 597, 589, 304, 174, 466]"
1.5670910871694417,4.29,"[20, 704, 227, 268, 122, 304, 589, 860, 246, 466, 558, 63, 476, 174, 641, 597]"
1.4691478942213516,4.05,"[624, 405, 476, 63, 268, 558, 174, 17, 304, 227, 704, 466, 246, 122, 860]"
2.3506366307541624,5.84,"[624, 405, 341, 589, 346, 17, 63, 56, 476, 704, 227, 597, 509, 645, 122, 860, 61, 268, 558, 110, 174, 304, 466, 246]"
2.4485798237022527,6.02,"[624, 405, 250, 63, 704, 409, 229, 346, 509, 371, 589, 476, 227, 61, 645, 597, 268, 174, 558, 304, 860, 110, 466, 246, 122]"
1.0773751224289911,3.19,"[589, 122, 61, 641, 227, 704, 268, 558, 174, 246, 63]"
1.2732615083251715,3.63,"[61, 558, 246, 63, 641, 304, 704, 268, 589, 227, 174, 122, 466]"
2.2526934378060726,5.69,"[624, 405, 476, 63, 346, 126, 268, 558, 174, 250, 304, 589, 61, 246, 122, 860, 466, 509, 645, 227, 110, 704, 597]"
2.0568070519098924,5.33,"[246, 17, 597, 227, 63, 268, 614, 558, 122, 346, 704, 645, 509, 61, 860, 589, 174, 304, 110, 476, 466]"
1.3712047012732616,3.84,"[61, 558, 246, 63, 641, 860, 704, 476, 227, 268, 589, 174, 122, 466]"
0.2938295788442704,1.05,"[246, 860, 63]"
0.5876591576885406,1.89,"[624, 227, 122, 63, 558, 224]"
0.4897159647404503,1.63,"[246, 122, 624, 110, 63]"
1.860920666013712,4.86,"[61, 558, 641, 63, 246, 221, 410, 304, 476, 110, 597, 860, 704, 227, 268, 589, 174, 122, 466]"
1.762977473065622,4.64,"[246, 597, 17, 405, 63, 227, 268, 126, 122, 558, 704, 589, 509, 174, 304, 466, 624, 860]"
1.6650342801175317,4.47,"[61, 558, 246, 63, 110, 509, 346, 304, 704, 624, 860, 227, 268, 589, 174, 466, 122]"
2.4485798237022527,6.02,"[624, 304, 509, 63, 17, 250, 409, 346, 229, 597, 589, 466, 61, 558, 268, 246, 122, 110, 563, 174, 645, 704, 227, 476, 860]"
2.1547502448579823,5.51,"[624, 405, 704, 63, 214, 509, 597, 589, 227, 346, 476, 645, 61, 122, 268, 558, 174, 304, 860, 110, 466, 246]"
