n_nodes,influence,communities,time,nodes,std
62.0,467.4,7,16,"[1664, 1281, 1282, 1361, 1331, 1755, 1147, 1342, 738, 16, 1148, 688, 335, 1191, 555, 732, 579, 312, 596, 75, 64, 1284, 641, 404, 285, 192, 1857, 1730, 1129, 974, 965, 1327, 1607, 201, 1098, 1482, 1062, 1231, 1360, 1999, 2003, 2004, 725, 598, 1751, 343, 1884, 1630, 832, 479, 1889, 869, 231, 1643, 237, 1007, 1270, 378, 1307, 1811, 1738, 1322]",55.74190524192728
24.0,306.5,5,17,"[1537, 393, 1391, 270, 613, 481, 32, 570, 1116, 2022, 764, 1351, 1025, 1985, 503, 1123, 23, 480, 591, 695, 2021, 496, 1529, 97]",83.97624664153548
1.0,28.5,1,5,[1639],14.161920773680382
32.0,341.7,7,18,"[1664, 1281, 1282, 1160, 377, 524, 1166, 1550, 784, 15, 533, 1941, 1687, 1890, 663, 411, 798, 30, 1440, 1569, 678, 297, 172, 176, 817, 951, 1079, 1299, 97, 1675, 1163, 145]",84.08382722022114
14.0,212.8,6,18,"[547, 33, 785, 1986, 396, 1931, 511, 1165, 1979, 809, 1126, 383, 1142, 644]",56.53857090517941
15.0,233.9,6,18,"[1911, 579, 520, 1691, 976, 1177, 1969, 471, 1297, 1020, 1798, 1426, 1450, 555, 1060]",67.3338696348279
4.0,95.9,4,8,"[201, 1362, 1839, 1780]",34.03072141462769
13.0,171.7,7,15,"[1664, 1911, 870, 503, 1448, 1174, 1142, 401, 466, 1404, 361, 1979, 809]",44.8830703049602
89.0,574.3,7,16,"[1537, 393, 748, 139, 270, 1299, 144, 1174, 921, 1954, 420, 1602, 1606, 1607, 73, 1123, 611, 1131, 622, 1647, 1654, 170, 2066, 97, 1712, 182, 1211, 1725, 196, 1221, 202, 207, 1239, 728, 603, 1259, 1876, 900, 456, 976, 1318, 1181, 647, 249, 766, 751, 1671, 1676, 1165, 137, 901, 774, 1288, 265, 779, 1136, 269, 1294, 1819, 1308, 1307, 1438, 415, 1419, 1319, 935, 936, 1834, 1449, 937, 816, 383, 1971, 309, 1334, 1847, 1905, 1396, 850, 1998, 342, 861, 862, 364, 1887, 464, 1378, 1009, 2035]",60.74446476840504
58.0,452.3,7,19,"[645, 1543, 263, 10, 2008, 1052, 1309, 1182, 286, 1575, 811, 1330, 822, 692, 1340, 319, 1472, 1728, 1350, 1354, 1615, 2001, 1874, 1235, 1265, 1119, 1120, 98, 742, 871, 365, 1904, 249, 122, 1916, 901, 774, 1288, 265, 779, 1804, 269, 1294, 1419, 1819, 888, 1319, 1834, 816, 309, 1334, 1847, 850, 598, 342, 861, 862, 1887]",60.63901384422408
80.0,538.9,7,15,"[1664, 835, 1282, 1361, 1331, 1755, 778, 1342, 1165, 1807, 1167, 145, 1674, 1419, 1839, 1531, 1433, 1818, 1561, 1659, 1821, 286, 1951, 674, 675, 680, 1448, 748, 1181, 1728, 97, 2034, 1012, 596, 1018, 827, 1108, 1909, 1029, 788, 1947, 1377, 124, 751, 249, 245, 800, 91, 2039, 901, 774, 1288, 1241, 779, 1804, 269, 1591, 1819, 888, 1319, 1834, 816, 309, 1334, 1847, 850, 598, 342, 861, 862, 81, 2026, 1905, 1284, 364, 1378, 1307, 1438, 415, 935]",29.27524551562292
8.0,90.8,7,13,"[321, 1290, 1620, 1424, 1307, 926, 1989, 710]",72.9523131915637
49.00000000000001,423.8,7,18,"[1664, 1281, 1282, 806, 1992, 1755, 1147, 186, 2004, 738, 1148, 641, 1284, 16, 404, 285, 335, 688, 732, 1062, 1191, 555, 579, 596, 1327, 312, 75, 64, 192, 1857, 1129, 1730, 965, 832, 1607, 201, 1098, 974, 1482, 1231, 1360, 1999, 2003, 725, 598, 1751, 343, 1884, 1630]",76.6146852763881
7.0,138.0,5,12,"[756, 33, 785, 1986, 396, 305, 1142]",46.14065452504982
16.0,231.0,7,16,"[756, 33, 794, 845, 1307, 926, 1989, 710, 1167, 1591, 1419, 535, 1839, 1531, 1433, 1196]",50.00999900019995
6.0,110.4,6,11,"[1, 1489, 520, 1691, 1246, 1969]",28.461377338421272
24.0,291.9,6,17,"[547, 33, 785, 1986, 396, 1931, 778, 1165, 1807, 1861, 145, 1419, 535, 1839, 1531, 1433, 1818, 1561, 1563, 1821, 286, 1951, 1529, 1223]",74.85352363115581
3.0,75.3,3,12,"[201, 1362, 327]",46.18268073639727
4.0,70.1,5,8,"[1, 1489, 618, 1780]",21.62429189592112
20.0,245.0,7,17,"[756, 33, 785, 1986, 396, 505, 1142, 1412, 466, 16, 1169, 176, 817, 951, 1079, 1299, 97, 1675, 1163, 145]",60.32453895389504
5.0,86.6,6,7,"[1, 1489, 500, 1780, 1969]",21.242410409367388
26.0,293.0,7,21,"[1664, 313, 870, 503, 1448, 1174, 1142, 401, 466, 1404, 361, 1979, 809, 1108, 664, 1029, 788, 985, 1377, 1693, 818, 391, 1195, 670, 832, 1196]",81.95462159024346
9.0,164.8,7,12,"[1, 1489, 618, 950, 1969, 279, 687, 1181, 1679]",36.11938537683054
11.0,187.7,5,17,"[547, 33, 785, 752, 1986, 396, 511, 1165, 16, 1035, 1142]",49.95437918741459
77.0,523.9,7,16,"[1664, 835, 1136, 1361, 1282, 364, 1331, 1378, 1307, 1342, 778, 1438, 1165, 1807, 1167, 1531, 145, 415, 935, 1839, 1029, 901, 1433, 1818, 1674, 1561, 1821, 286, 748, 1951, 674, 675, 2034, 1012, 97, 1018, 680, 1728, 1448, 1909, 596, 1056, 124, 774, 1108, 1288, 1659, 249, 779, 245, 1377, 751, 2039, 1181, 827, 1804, 269, 788, 1947, 800, 91, 1819, 888, 1319, 1834, 816, 309, 1241, 1334, 1591, 1847, 850, 81, 598, 342, 861, 862]",77.96819864534514
36.0,356.9,7,17,"[547, 33, 785, 1986, 396, 1931, 778, 1165, 1807, 1167, 1591, 535, 1419, 115, 1531, 1433, 1196, 862, 1887, 383, 1905, 1396, 364, 1378, 1577, 1438, 415, 935, 936, 1449, 937, 1971, 1998, 464, 1009, 2035]",62.2434735534578
5.0,128.2,5,15,"[201, 1362, 1839, 1780, 713]",68.42981806201153
88.0,563.4,7,18,"[1537, 393, 748, 1712, 182, 139, 270, 1299, 1510, 1174, 921, 1954, 1602, 1606, 1607, 73, 1123, 611, 622, 1647, 1654, 1131, 420, 1725, 144, 196, 1221, 202, 207, 1239, 97, 728, 603, 124, 170, 800, 91, 2039, 1804, 598, 901, 774, 2066, 249, 766, 647, 1671, 137, 751, 1288, 1676, 1165, 265, 779, 269, 1294, 1819, 1308, 1181, 1307, 1438, 415, 1319, 935, 936, 1834, 1449, 937, 816, 1971, 309, 383, 1419, 1334, 1847, 1998, 464, 850, 342, 861, 1905, 1396, 862, 1887, 1378, 364, 1009, 2035]",75.1760600191311
67.0,494.3,7,20,"[645, 1543, 263, 10, 2008, 1052, 1309, 1182, 286, 1575, 811, 1330, 822, 692, 1340, 319, 66, 1728, 1350, 1354, 1654, 170, 2066, 97, 1712, 182, 1211, 1725, 196, 1221, 202, 1904, 249, 122, 1916, 598, 669, 1307, 1438, 901, 774, 1288, 265, 779, 1804, 269, 1294, 1419, 888, 1819, 415, 1319, 1834, 816, 309, 1334, 1847, 850, 935, 342, 861, 862, 1887, 1159, 364, 1905, 1396]",45.225656435258074
