n_nodes,influence,communities,time,nodes,std
0.1443001443001446,2.78,3,9,"[328, 517, 1083]",47.90397060787342
0.4329004329004329,5.34,7,14,"[1665, 827, 1924, 644, 3, 1416, 955, 249, 1005]",66.112764274382
0.5772005772005773,8.5,5,15,"[780, 622, 709, 1661, 1230, 154, 1904, 593, 397, 1254, 1234, 393]",68.89751519467157
0.6734006734006734,8.79,5,17,"[1537, 1735, 1709, 1872, 748, 1385, 859, 593, 397, 1254, 1234, 393, 663, 433]",91.6547783806169
0.0962000962000964,2.12,2,7,"[328, 482]",26.354574555473285
0.7215007215007216,9.02,5,16,"[1537, 83, 1709, 113, 1230, 1005, 1029, 743, 809, 1131, 657, 1079, 2040, 1083, 630]",62.228752197035085
1.7316017316017316,15.93,6,16,"[1665, 214, 1924, 113, 1493, 33, 1176, 985, 34, 1307, 1964, 1883, 1390, 653, 791, 631, 417, 1013, 1155, 1674, 1675, 1990, 1931, 444, 228, 1854, 397, 977, 155, 811, 433, 1220, 198, 216, 737, 1123]",67.32209444157246
0.913900913900914,10.51,7,18,"[1665, 899, 1924, 113, 1687, 1514, 985, 33, 1307, 1964, 1675, 34, 1390, 1368, 719, 1045, 596, 663, 100]",88.48864333913137
1.827801827801828,16.8,7,16,"[1665, 899, 1924, 113, 1254, 985, 1687, 1937, 1176, 795, 847, 27, 1442, 762, 337, 1089, 33, 205, 492, 1854, 450, 1675, 791, 1155, 1220, 1883, 1508, 397, 1931, 811, 1353, 192, 221, 95, 433, 100, 215, 1368]",64.86245138753237
1.7797017797017798,16.05,7,16,"[1833, 622, 1060, 113, 1230, 1119, 1971, 593, 1254, 1682, 27, 1442, 945, 1330, 450, 374, 1050, 560, 1626, 1938, 516, 671, 1150, 1181, 490, 1727, 1889, 838, 1368, 1351, 977, 811, 391, 1346, 1348, 346, 271]",62.306802196870926
1.6354016354016356,15.38,6,17,"[1833, 622, 1230, 113, 1119, 1060, 1971, 34, 1369, 33, 764, 2002, 1586, 719, 1045, 596, 663, 51, 1938, 1626, 192, 671, 560, 1150, 516, 1181, 8, 490, 396, 1727, 1234, 566, 502, 1084]",74.11046889610131
0.33670033670033694,4.83,6,13,"[1665, 899, 1924, 113, 763, 1735, 985]",58.76884889122808
1.5873015873015874,15.0,7,17,"[1665, 899, 1924, 113, 1254, 985, 1937, 1176, 1804, 795, 847, 27, 1442, 762, 337, 1089, 205, 492, 1854, 450, 1508, 33, 1931, 791, 1675, 1883, 811, 1353, 192, 1155, 1220, 397, 433]",82.14418786499749
0.5291005291005291,7.14,7,16,"[1537, 803, 1852, 692, 948, 78, 1415, 743, 393, 1234, 1254]",65.50915661188137
0.19240019240019235,3.46,4,13,"[328, 1285, 1852, 490]",41.09454465011141
0.19240019240019235,3.55,3,11,"[671, 1396, 663, 1172]",48.12600544404241
0.4329004329004329,6.67,5,16,"[1537, 83, 1709, 113, 1230, 1005, 976, 743, 809]",62.92670339371037
1.9240019240019242,17.0,7,16,"[1665, 899, 1924, 510, 154, 1060, 1416, 671, 33, 1369, 27, 1442, 34, 945, 1330, 450, 1368, 374, 1050, 560, 1626, 1938, 516, 1150, 1181, 504, 1727, 1889, 838, 1351, 977, 811, 391, 1346, 1348, 346, 271, 371, 1986, 802]",79.28245455332473
1.6354016354016356,15.25,7,18,"[1665, 622, 1709, 113, 1874, 1119, 1140, 352, 555, 1971, 1230, 397, 27, 1414, 1442, 1050, 8, 192, 811, 391, 945, 671, 1181, 1938, 4, 1348, 346, 560, 271, 1254, 516, 1727, 1150, 490]",63.67593265905103
0.4329004329004329,6.37,6,14,"[1665, 1414, 1924, 1168, 332, 1147, 985, 504, 1964]",63.92584453880919
1.6835016835016836,15.5,7,17,"[1833, 622, 371, 113, 1709, 1034, 1971, 593, 1125, 1254, 27, 1442, 945, 612, 450, 374, 1050, 560, 1626, 1938, 516, 671, 1150, 1181, 490, 1300, 1889, 1368, 838, 1351, 977, 811, 391, 1346, 1348]",67.20469031250721
0.5291005291005291,7.97,5,15,"[1537, 234, 1709, 1230, 113, 1005, 1265, 593, 397, 1254, 1234]",71.7568700543718
0.28860028860028875,4.97,5,13,"[2037, 622, 1709, 1125, 113, 393]",52.527310991521354
0.9620009620009622,10.77,7,15,"[1665, 827, 1924, 644, 3, 1416, 955, 249, 1005, 1964, 1148, 1675, 1390, 1789, 444, 1147, 1620, 34, 631, 397]",74.56245704106055
