n_nodes,influence,nodes
2.1973599484867994,8.75,"[4336, 2149, 4283, 10725, 6740, 1492, 16, 4699, 1866, 879, 7595, 770, 2162, 2181, 483, 8838, 8166, 8265, 6646, 4432, 2079, 4234, 6665, 5619, 6576, 1865, 3035, 8810, 5846, 4583, 1467, 7939, 2517, 3331, 4480, 5638, 4758, 5641, 12425, 525, 4600, 4490, 1456, 12626, 8590, 529, 8269, 2575, 1042, 5078, 4753, 20, 1398, 1103, 11026, 1687, 8855, 7406, 1859, 12219, 2325, 4091, 572, 3361, 10017, 5150, 1955, 6069, 8769, 4262, 11052, 4221, 5526, 2479, 4912, 6324, 5430, 10296, 2753, 1218, 2502, 4295, 11364, 10835, 1107, 2006, 4210, 8281, 2266, 4329, 8672, 8289, 7771, 4556, 5197, 4936, 11328, 10937, 8122, 11953, 2900, 1619, 6843, 12542, 4521, 9053, 10059, 5435, 1222, 5750, 3945, 4546, 2129, 8567, 12255, 2474, 5339, 11980, 530, 5237, 5512, 1426, 2766, 9104, 10955, 925, 7596, 10210, 4526, 4312, 4405, 5340, 1738, 8566, 5362, 10996, 11009, 7079, 1804, 5577, 5054, 1465, 2816, 2376, 4634, 4937, 6056, 2066, 4118, 5661, 4639, 7714, 449, 8742, 1454, 7723, 2826, 5682, 2151, 50, 4146, 1079, 8761, 983, 10954, 2118, 6214, 11848, 11209, 3745, 1616, 4174, 2838, 83, 5221, 10460, 4686, 4178, 3388, 10833, 5448, 6427, 8018, 1312, 6945, 10843, 8286, 2656, 1121, 3717, 11881, 5737, 2157, 6255, 10867, 4215, 4725, 8330, 142, 11924, 2227, 1176, 3739, 7499, 5790, 9140, 3548, 3753, 4265, 182, 11959, 5422, 696, 5878, 11961, 7555, 6441, 3796, 924, 12177, 6326, 1244, 7104, 4383, 5997, 2746, 3800, 1220, 4809, 10679, 2773, 4310, 2483, 5350, 1767, 8934, 9964, 3313, 4859, 768, 8450, 2338, 1363, 4507, 7936, 4352, 2817, 6412, 902, 4387, 11044, 7978, 4987, 9004, 5425, 8650, 4914, 6448, 9009, 1341, 8509, 2880, 2910, 863, 330, 3407, 4446, 11117, 2941, 6785, 2437, 8595, 4503]"
0.2817128139085634,3.17,"[4336, 11122, 10842, 4486, 5150, 525, 2575, 2456, 1042, 2325, 5534, 3361, 4600, 6441, 11052, 2479, 4912, 6324, 5430, 10937, 2517, 8122, 2753, 1218, 4806, 4936, 1866, 4556, 4174, 983, 8166, 2266, 8672, 2151, 4329]"
2.189311010946555,8.73,"[4336, 11122, 3006, 5078, 984, 5619, 2079, 4486, 1687, 1866, 2518, 8440, 8566, 4987, 10954, 3567, 5750, 206, 2502, 2907, 4396, 4600, 5526, 1267, 3388, 2517, 2810, 12255, 1862, 5435, 5237, 12542, 10210, 925, 1312, 530, 7714, 1738, 4296, 7596, 3753, 2910, 983, 3796, 5350, 4583, 11881, 8567, 4503, 8329, 2543, 2880, 10318, 11953, 2437, 8650, 9009, 10725, 9104, 2900, 16, 2109, 8672, 1426, 8761, 8166, 152, 879, 3739, 11935, 5577, 6916, 4489, 2376, 83, 1804, 10996, 1456, 10843, 11009, 5737, 863, 4221, 6069, 2766, 5362, 1398, 4312, 4490, 4383, 2325, 8018, 5641, 4446, 11117, 2575, 5534, 529, 5430, 2066, 4634, 2227, 10867, 8122, 5661, 10059, 4556, 1218, 4639, 4725, 1220, 9140, 50, 6945, 3548, 2817, 1176, 4146, 770, 5682, 7595, 1865, 5790, 4265, 572, 1079, 8769, 11209, 2118, 8286, 11848, 8265, 6326, 3035, 10679, 2006, 5197, 1616, 1222, 2129, 6441, 4914, 4262, 2746, 10833, 4283, 2656, 8289, 3361, 5221, 5846, 4178, 3407, 6255, 12626, 696, 4210, 4215, 8838, 8934, 4295, 4809, 7104, 1103, 8330, 6665, 10955, 2773, 4310, 4758, 5340, 9964, 4912, 7406, 4352, 768, 7936, 2838, 9309, 1955, 11044, 2338, 7079, 7978, 5425, 10842, 4405, 2483, 8509, 5448, 5997, 3945, 4480, 2941, 4992, 902, 7555, 924, 5638, 525, 8590, 1042, 20, 12177, 4118, 4686, 4174, 449, 4546, 1107, 1465, 4234, 1454, 6056, 2474, 6324, 3800, 2266, 4507, 8595, 1244, 1767, 10460, 3313, 8450, 7939, 3331, 2826, 4329, 4937, 7499, 330, 1363, 4432, 11052, 1859, 4936, 1341, 6448, 9004, 10017, 5422, 4387, 6412, 11026, 142, 182, 11959, 10937, 2753, 11961, 3745, 8855, 4753, 11924, 12425, 3717, 5150, 7723, 1121, 2149, 2157, 2151, 11364, 1619, 8281, 7771, 10835, 10296, 11328, 8269, 6214]"
2.4871216999356083,9.24,"[4336, 11122, 3006, 5078, 12517, 5619, 984, 11884, 1866, 1467, 12255, 8036, 4460, 7728, 2066, 678, 8289, 8566, 4987, 4992, 6069, 4600, 12219, 2502, 4725, 2907, 4396, 4296, 1687, 8672, 2517, 1456, 152, 11935, 2079, 8695, 7461, 2816, 12809, 10210, 696, 4656, 5519, 10954, 4383, 925, 5750, 983, 5435, 2262, 9208, 2129, 2543, 5512, 7596, 2746, 5536, 4190, 12542, 10725, 1222, 3476, 4583, 660, 4295, 2910, 3310, 4854, 10951, 10244, 8166, 8018, 9104, 4809, 6146, 2694, 4490, 206, 1426, 9293, 5426, 8197, 5255, 8650, 3407, 5340, 5149, 4446, 2623, 11117, 5152, 4806, 8567, 3012, 2054, 4489, 4503, 4420, 1167, 5054, 2900, 8440, 12425, 8934, 5339, 3388, 6945, 1267, 87, 2810, 3589, 5526, 1862, 5638, 6665, 4694, 5641, 525, 2575, 4556, 4313, 16, 5534, 1804, 8122, 863, 529, 1312, 1042, 2880, 10895, 20, 4118, 2376, 4634, 9140, 5661, 6293, 5150, 3695, 4639, 2006, 3035, 7714, 11209, 8742, 3753, 11009, 9009, 879, 10996, 7723, 50, 2766, 4146, 5682, 5362, 1079, 3796, 10296, 10679, 4312, 8761, 572, 5237, 11328, 8769, 2118, 11881, 6214, 10059, 5430, 2817, 11848, 2325, 8265, 8269, 5197, 4686, 7936, 4352, 1616, 7104, 3548, 4174, 10833, 83, 1619, 1107, 10835, 11953, 4178, 8281, 1865, 5577, 10842, 10843, 7771, 5790, 8286, 2656, 1103, 11364, 10867, 2149, 5221, 2151, 5737, 2157, 6255, 4210, 4215, 770, 4221, 3717, 8838, 4914, 1955, 4234, 12626, 8330, 7079, 142, 7838, 7595, 4753, 11924, 4758, 8855, 1176, 3739, 3745, 2227, 1218, 4262, 3361, 4265, 6324, 182, 11959, 6326, 449, 4283, 10937, 11961, 2753, 1220, 4480, 10955, 2773, 902, 5846, 8590, 1454, 4310, 12177, 3800, 2266, 10460, 1244, 1767, 4329, 9964, 7406, 3313, 4859, 4912, 768, 7939, 3331, 8450, 2826, 6412, 11026, 2838, 6427, 4546, 10017, 4387, 11044, 924, 2338, 7978, 9004, 11052, 6056, 5422, 5425, 1465, 6448, 4405, 8509, 1341, 1859, 4937, 2483, 5448, 330, 7499, 4936, 4432, 1363, 3945, 5997, 2474, 1398, 2941, 7555, 4507]"
2.2295556986477783,8.78,"[4336, 11122, 11363, 7569, 6947, 1363, 2907, 3171, 2479, 5564, 1454, 4460, 4600, 7728, 2151, 12219, 2899, 12255, 6665, 12517, 10842, 10951, 2149, 902, 768, 7939, 7104, 3331, 5750, 4705, 8590, 2826, 12177, 7723, 1121, 12968, 11343, 4210, 4526, 142, 2466, 8166, 1859, 675, 4725, 2266, 5534, 11026, 11209, 2325, 1167, 5638, 1955, 7079, 2006, 6056, 10954, 525, 4329, 1687, 10725, 4490, 2575, 8672, 4387, 10017, 2517, 8330, 87, 2656, 6441, 9140, 9004, 8855, 11052, 4694, 1042, 4912, 2502, 1465, 8122, 11364, 4914, 449, 3745, 3796, 4556, 983, 10895, 3695, 5619, 3035, 4118, 7714, 5448, 1866, 7771, 5150, 5430, 12403, 12626, 12022, 7936, 2474, 7499, 330, 4936, 13697, 4583, 5422, 10743, 6324, 8566, 4987, 2910, 6146, 182, 11959, 10244, 11961, 10937, 5435, 10210, 8197, 2543, 3589, 2753, 1218, 4174, 12542, 2838, 925, 2054, 10955, 1341, 16, 3012, 5846, 7596, 10296, 529, 2066, 5641, 20, 4634, 8265, 11328, 5661, 4639, 4262, 2079, 8742, 50, 4686, 3739, 3388, 1619, 2900, 8281, 5682, 4146, 1467, 4296, 1079, 8761, 572, 2109, 8769, 1103, 8567, 4295, 2118, 6214, 11848, 8269, 2376, 6255, 5197, 1616, 4503, 4178, 83, 1107, 8650, 10835, 10843, 4221, 2880, 8286, 8289, 5221, 1312, 2157, 10867, 5237, 4215, 3717, 8838, 12425, 4234, 1398, 4753, 11924, 6293, 4758, 1176, 5790, 3753, 4265, 2227, 10679, 6326, 696, 4283, 2746, 770, 1220, 1222, 10059, 4507, 4809, 863, 4480, 4937, 2773, 3361, 5997, 879, 5425, 10460, 4310, 6069, 1456, 1244, 4432, 1767, 3800, 5340, 8934, 9964, 7406, 3313, 5878, 4859, 11009, 4352, 3548, 2817, 8450, 1804, 6412, 8018, 4396, 5577, 6427, 6945, 11044, 2338, 7978, 4489, 9009, 6448, 4405, 4446, 8509, 1865, 1426, 3407, 3945, 13454, 2941, 7555, 9104, 8595, 7595, 924, 2483]"
1.9236960721184801,8.26,"[4336, 11122, 3006, 5078, 12517, 5619, 984, 8036, 2066, 12255, 11884, 1687, 8289, 3558, 4725, 8566, 4987, 1866, 6069, 12219, 2502, 4600, 5750, 1467, 4806, 1322, 12425, 8801, 2517, 5638, 1456, 6665, 5641, 525, 2575, 1042, 20, 696, 4118, 10210, 4992, 4634, 5661, 5150, 925, 2129, 983, 4639, 2079, 8742, 2746, 7723, 2543, 7596, 1222, 50, 5682, 4295, 4146, 10725, 1079, 10296, 8761, 2910, 4809, 572, 2109, 4396, 8018, 8166, 8672, 11328, 8769, 4296, 2118, 6214, 11848, 5340, 8265, 3407, 8269, 8650, 5197, 4174, 4446, 4686, 11117, 1616, 10833, 4039, 4178, 83, 2900, 8934, 1107, 10835, 1619, 1103, 3388, 6945, 8281, 10842, 10843, 7771, 8286, 2656, 1121, 11364, 2149, 5221, 2151, 11881, 2157, 6255, 863, 4210, 10867, 4556, 1312, 5534, 6293, 8122, 2880, 5237, 4221, 3717, 8838, 8330, 4234, 142, 4753, 11924, 9140, 4758, 8855, 1176, 9009, 3739, 3796, 11209, 879, 3035, 2006, 5790, 3745, 4262, 4265, 2227, 6324, 6326, 182, 11959, 10937, 11961, 2753, 1218, 1220, 10679, 2773, 5846, 2817, 10059, 5430, 4310, 3800, 2325, 2266, 10460, 4352, 1244, 1767, 7936, 4329, 9964, 7406, 3313, 5878, 4859, 3331, 7104, 768, 8450, 3548, 7939, 770, 2826, 1865, 6412, 11026, 2838, 6427, 3361, 10017, 4387, 5577, 11044, 2338, 6441, 7978, 9004, 11052, 5422, 4912, 6448, 4914, 5425, 4405, 8509, 1341, 12626, 1859, 4936, 7499, 1955, 5448, 4937, 330, 7079, 4432, 1363, 7595, 3945, 5997, 1398, 2941, 4480, 7555, 902, 8590, 12177, 8595, 4507, 6056, 2474, 1454, 2483, 1465, 449, 4546]"
0.12878300064391457,2.03,"[4336, 11122, 3837, 730, 2079, 2907, 3361, 2151, 4556, 4174, 879, 4912, 2517, 4600, 5430, 10937]"
2.124919510624597,8.61,"[4336, 11122, 3006, 5078, 984, 5619, 8036, 12517, 11884, 3558, 12255, 4806, 1322, 2066, 8801, 8742, 1687, 8566, 4987, 5682, 6069, 4600, 12219, 2502, 8289, 4396, 1866, 1467, 4725, 4039, 11881, 2517, 6293, 4262, 2773, 5878, 4859, 5750, 1456, 5362, 1267, 10210, 2810, 12425, 7382, 5045, 13705, 1738, 4383, 16, 983, 4992, 529, 5638, 2543, 10954, 925, 696, 6665, 5641, 525, 1042, 10725, 20, 2575, 4118, 7596, 4215, 5435, 4634, 5661, 5150, 8166, 2746, 3753, 2129, 8672, 4283, 1222, 12542, 4639, 4295, 1061, 2079, 2910, 8567, 7723, 4503, 11009, 4809, 8018, 8650, 2376, 50, 4489, 9104, 4146, 1426, 1079, 10296, 8761, 4296, 924, 3407, 572, 5340, 4446, 2109, 11117, 11328, 8769, 2118, 6214, 1103, 11848, 8265, 5197, 4174, 2900, 8269, 4686, 501, 10833, 4178, 8934, 83, 1107, 4556, 10835, 3388, 1619, 6945, 8281, 10842, 10843, 7771, 8122, 8286, 2656, 5534, 1121, 863, 11364, 2149, 5221, 2151, 2157, 6255, 4210, 3035, 9140, 10867, 2006, 11209, 5237, 4221, 3717, 8838, 1312, 8330, 2880, 4234, 142, 4753, 11924, 4758, 8855, 1176, 3739, 5790, 879, 3745, 4265, 2227, 6324, 6326, 10679, 182, 9009, 11959, 10937, 11961, 2753, 1218, 1220, 3796, 5846, 4310, 3800, 2266, 3548, 10460, 1244, 1767, 4329, 9964, 7104, 7406, 3313, 4352, 2817, 7936, 10059, 3331, 768, 8450, 7939, 5430, 5577, 770, 2826, 6412, 11026, 2325, 2838, 6427, 3361, 10017, 4387, 11044, 2338, 6441, 7978, 9004, 11052, 5422, 4912, 6448, 4914, 5425, 1865, 4405, 8509, 1341, 1859, 4936, 7499, 5448, 4937, 330, 4432, 1955, 12626, 1363, 3945, 7079, 5997, 1398, 7595, 2941, 4480, 7555, 902, 8590, 12177, 449, 4546, 8595, 4507, 6056, 1465, 2474, 1454, 2483]"
1.0624597553122985,6.22,"[4336, 11122, 6947, 3837, 4546, 2245, 1363, 1454, 5682, 8166, 2899, 10833, 4600, 4639, 2129, 10843, 2907, 4806, 1121, 5422, 4221, 7978, 2543, 449, 5619, 7595, 11052, 4912, 5534, 1341, 2900, 1218, 5638, 6665, 525, 5430, 2325, 2474, 2575, 1042, 7104, 5150, 2079, 3361, 8742, 7723, 4174, 4146, 1079, 2479, 10296, 11209, 12626, 11328, 12219, 902, 8769, 10937, 6214, 11848, 8265, 8269, 1103, 2517, 5197, 1107, 8672, 1619, 2151, 10835, 8650, 879, 8281, 10842, 7771, 2656, 8289, 11364, 2149, 2157, 5237, 5750, 12425, 4234, 142, 983, 4556, 8855, 2266, 6056, 3745, 6324, 9140, 182, 11959, 11961, 2753, 5846, 10460, 4329, 768, 1810, 3331, 8450, 7939, 2826, 6412, 11026, 10017, 4387, 6441, 3035, 9004, 7079, 5425, 8122, 4914, 8509, 1866, 4936, 1865, 7499, 10059, 330, 2910, 863, 4480, 8590, 1955, 1465, 1467, 2006]"
2.2939471989697355,8.94,"[4336, 11122, 3006, 5078, 984, 8036, 2907, 4460, 1866, 8566, 4987, 7728, 12697, 5682, 2502, 12968, 2899, 4291, 2006, 4526, 2466, 4600, 2517, 675, 12542, 8281, 925, 4296, 2474, 2149, 1167, 7596, 4806, 2543, 6056, 4490, 87, 12626, 4694, 10895, 4387, 3695, 983, 3739, 2900, 12219, 7714, 12403, 4507, 3388, 12022, 4295, 13697, 10842, 50, 4583, 5638, 10743, 10725, 1467, 6146, 6665, 4221, 8672, 5641, 8166, 525, 2376, 8567, 10244, 5435, 8197, 2575, 863, 1042, 5237, 20, 4118, 2479, 8650, 5661, 8761, 4556, 5150, 4639, 879, 3589, 8742, 7723, 2079, 4146, 1079, 4503, 2054, 10296, 11328, 8769, 2880, 6214, 11848, 10955, 3331, 8265, 5197, 10679, 4686, 3548, 2325, 8269, 5534, 4174, 4396, 5655, 16, 8122, 5430, 7595, 6293, 3012, 10059, 1619, 1107, 9140, 10833, 529, 1218, 10843, 7771, 2656, 1121, 1103, 10835, 8289, 11209, 770, 11364, 3035, 2151, 1865, 2157, 2066, 6255, 10210, 8838, 5750, 12425, 11953, 5350, 1456, 4234, 6069, 924, 142, 6441, 4753, 11924, 4758, 3745, 4914, 4262, 4265, 6324, 8855, 6326, 182, 11959, 10937, 4634, 11961, 696, 3361, 2773, 7104, 8509, 5448, 5054, 5846, 1220, 3800, 2753, 2266, 1244, 10460, 4446, 1862, 1767, 4329, 5526, 9964, 3313, 7936, 2817, 768, 8450, 7939, 2826, 6412, 11044, 2838, 1955, 6427, 10017, 7079, 4912, 11026, 6945, 7978, 4936, 4937, 449, 4546, 7499, 330, 3407, 1465, 2483, 1454, 4432, 2941, 1398, 4480, 7555, 902, 8590, 12177, 8595, 1363, 5997, 2910, 8018, 9004, 11052, 1341, 1859, 9009, 5425, 6448, 5422, 2338, 1312, 4352, 7406, 572, 2109, 4313, 2118, 4489, 3753, 2227, 1616, 83, 4732, 4178, 1267, 1426, 2810, 10867, 9104, 8286, 5221, 5737, 5577, 1804, 4215, 3717, 4283, 10996, 11009, 1222, 2766, 4312, 11935, 152, 1176, 5362, 5790, 2746, 4809, 4310, 5340, 8934, 5878, 4859, 4405, 3945]"
