n_nodes,influence,nodes
0.5392788151963939,16.87,"[10059, 879, 1244, 4585, 9463, 2006, 6869, 863, 12787, 12481, 128, 4480, 7555, 2980, 8672, 3331, 525, 2575, 11026, 3091, 5534, 12062, 5150, 10017, 3361, 7104, 5790, 2079, 7079, 9256, 7595, 11052, 4639, 11567, 2479, 4912, 6448, 4147, 9140, 4556, 6324, 3325, 5430, 10296, 10937, 8122, 12219, 8761, 9150, 2753, 1218, 4546, 4936, 11209, 8650, 8269, 4686, 2907, 10460, 4600, 2656, 10210, 2149, 4329, 3837, 2543, 11122]"
0.05634256278171268,3.7,"[7841, 2182, 4585, 3331, 4556, 5430, 10937]"
0.13683193818415962,7.61,"[10059, 8372, 2006, 3091, 4480, 525, 3331, 2575, 11026, 11052, 4556, 4912, 11122, 5430, 4600, 10937, 3837]"
2.3583386992916933,32.76,"[10059, 879, 4585, 4078, 12258, 12787, 2338, 863, 5425, 5846, 4004, 2006, 10444, 12794, 9673, 16, 1965, 9958, 4600, 8652, 8672, 5494, 8166, 4396, 5350, 9009, 8567, 5632, 2376, 2347, 4460, 4337, 11776, 6095, 6412, 8706, 2417, 5529, 6869, 10244, 8595, 375, 4079, 2567, 3695, 9600, 4221, 5128, 5641, 6665, 4546, 11788, 525, 1244, 2575, 529, 5033, 5048, 1042, 3091, 8269, 20, 11499, 7892, 2138, 5909, 1859, 4556, 330, 8800, 880, 8028, 9752, 2543, 12255, 2585, 10843, 11804, 5661, 4703, 3407, 2316, 3443, 5150, 7668, 2869, 4990, 2079, 4639, 9256, 7433, 7211, 2528, 7723, 4656, 4572, 11470, 4147, 11317, 10296, 8761, 572, 8764, 4668, 11328, 12361, 5599, 8265, 9292, 4686, 1103, 1616, 5197, 4352, 11888, 10833, 10835, 925, 10210, 9442, 13395, 9804, 12886, 14051, 4174, 5339, 2129, 9719, 13401, 13563, 9893, 4316, 10725, 7771, 3478, 8281, 4380, 11209, 12219, 8286, 2656, 8289, 3171, 4699, 5111, 1955, 2149, 11364, 2151, 2154, 2157, 6255, 2674, 5237, 3325, 10870, 4215, 5750, 3193, 4214, 5878, 3302, 3548, 10368, 128, 3717, 12934, 12936, 12425, 4234, 142, 8440, 1167, 11548, 12062, 8650, 8640, 4480, 3361, 7555, 939, 2941, 11052, 902, 7596, 8590, 6033, 983, 12177, 2479, 8122, 9140, 2555, 7079, 11567, 10017, 4912, 4753, 768, 6448, 3476, 2816, 5430, 12603, 1363, 11924, 5534, 3389, 12438, 11200, 483, 12736, 1687, 9880, 10155, 1468, 4936, 9964, 4758, 12971, 5790, 3331, 2899, 13485, 6324, 6357, 2721, 3753, 2221, 11953, 6326, 11959, 1399, 7406, 449, 11122, 4336, 12147, 2910, 10937, 11961, 10679, 7499, 9403, 2753, 7886, 11457, 1220, 12481, 4806, 1738, 2262, 7104, 2263, 4312, 13529, 3486, 10460, 1767, 9150, 13154, 4329, 13183, 3310, 8566, 12021, 1341, 2810, 3837, 3329, 2308, 7936, 2907, 11026, 1312, 13097, 4907, 9004, 7595, 12591, 1107, 4395, 3388, 7486, 8509, 3410, 8004, 2894, 4436, 12137, 2435, 394, 9104]"
2.310045074050225,32.44,"[10059, 879, 2980, 4585, 12258, 12787, 13563, 863, 2338, 2006, 5425, 5846, 4396, 8652, 8672, 4004, 10444, 128, 2417, 8567, 9673, 5790, 939, 5641, 6412, 2941, 6869, 16, 4480, 3331, 4336, 3695, 525, 4600, 142, 12794, 2575, 1103, 8281, 6033, 4556, 11026, 3091, 12438, 4221, 1965, 6095, 5529, 2079, 12062, 375, 8595, 7595, 11052, 7079, 2479, 11567, 4912, 4147, 9140, 6324, 5430, 10296, 10937, 2149, 2543, 11122, 8122, 2753, 4806, 10210, 3837, 2899, 2263, 4686, 4936, 11209, 3325, 1244, 8650, 3361, 8269, 9600, 2138, 8800, 10017, 7892, 10843, 11499, 4079, 4703, 5909, 8166, 10460, 9958, 1859, 2910, 2907, 1363, 330, 5048, 8028, 7499, 2316, 880, 11470, 12219, 1218, 4546, 8640, 7433, 5033, 2869, 3407, 10244, 11788, 6448, 5494, 5128, 7596, 3443, 529, 13097, 1955, 11888, 5534, 5150, 4990, 12255, 4352, 9442, 4639, 7211, 9893, 5339, 14051, 9256, 4316, 5111, 7668, 2528, 4572, 8706, 8761, 1616, 4380, 10835, 12886, 13401, 925, 11328, 5599, 7771, 2656, 8289, 3302, 5878, 3478, 6665, 12971, 9880, 13485, 8440, 6357, 9964, 768, 2816, 10725, 9719, 11548, 7406, 2262, 12603, 3389, 429, 3548, 902, 8590, 12177, 3476, 11961, 983, 9292, 2810, 1399, 12147, 2567, 3329, 10155, 1341, 12361, 11776, 12736, 11200, 1468, 20, 13154, 4656, 572, 2555, 12021, 8764, 5197, 2308, 8566, 10833, 483, 13395, 13183, 3410, 3171, 4215, 10679, 2674, 449, 3193, 3486, 4907, 12591, 1687, 10870, 5750, 4214, 6255, 8286, 8004, 1312, 11959, 3388, 3717, 5350, 2157, 7104, 9150, 10368, 11924, 3753, 12936, 11457, 12137, 1220, 1738, 9104, 1042, 9752, 2585, 11804, 394, 2435, 5661, 7723, 11317, 4668, 8265, 9804, 4174, 1167, 2129, 1107, 4699, 11364, 4436, 2151, 2894, 2154, 7486, 8509, 5237, 12934, 12425, 4234, 9004, 4395, 4312, 7936, 4753, 4758, 2721, 2221, 11953, 6326, 3310, 9403, 1767, 4329, 12481, 13529]"
0.9336767546683835,22.24,"[10059, 879, 4004, 5549, 2006, 6095, 8652, 924, 11364, 1689, 9600, 8672, 12425, 3588, 5425, 12794, 11328, 8269, 6033, 8567, 10835, 2980, 13401, 7771, 9009, 13154, 10244, 3476, 7596, 5641, 8640, 11788, 525, 2575, 3091, 5150, 2079, 3548, 4639, 4147, 10296, 8761, 4686, 1103, 1616, 12886, 8281, 2149, 10725, 142, 220, 9719, 12438, 9880, 5790, 4600, 12971, 6324, 10937, 7104, 11961, 2753, 1218, 4806, 2262, 4556, 2263, 10460, 9964, 7406, 4336, 9150, 12021, 3837, 768, 4352, 2816, 3331, 11026, 11548, 12062, 10017, 3361, 13097, 11052, 7555, 11567, 4912, 6448, 5430, 12603, 4936, 7499, 1363, 2899, 2907, 2910, 863, 11122, 2941, 4480, 8590, 12177, 5534, 1955, 7079, 7595, 939, 2479, 9140, 8122, 12219, 4546, 11209, 8650, 10210]"
1.2234385061171922,25.21,"[7892, 13563, 2006, 764, 9600, 12794, 11979, 10442, 2894, 3588, 5549, 10244, 5641, 11788, 525, 4004, 2575, 3091, 5150, 2079, 4639, 5033, 9256, 4079, 4147, 10296, 8761, 880, 8265, 9292, 4316, 8269, 4686, 1103, 1616, 10835, 5430, 12886, 13401, 8281, 7771, 2656, 8289, 2149, 3695, 4221, 10368, 128, 12425, 142, 1244, 1167, 4758, 12438, 9880, 4600, 8672, 5790, 2721, 9893, 12971, 2221, 13485, 6324, 10937, 11961, 9403, 12481, 2753, 12219, 1218, 4806, 6357, 2262, 8590, 2543, 2263, 13529, 10460, 1767, 4329, 11499, 9964, 7406, 863, 4336, 12021, 3325, 3837, 4352, 768, 2816, 3331, 11026, 4380, 11548, 5534, 12062, 10017, 3361, 13097, 4395, 11052, 11567, 4912, 5425, 6448, 1171, 12603, 1341, 1955, 3389, 7486, 4936, 10059, 7499, 1363, 2899, 2907, 2910, 13154, 879, 2417, 11122, 2941, 4480, 7555, 902, 9104, 6033, 12177, 3476, 7079, 939, 7595, 7596, 2479, 9140, 5048, 8122, 9150, 8640, 7104, 4546, 449, 11209, 8650, 4556, 10210, 3548, 10725, 9719]"
2.261751448808757,32.25,"[10059, 879, 12787, 13668, 4585, 6095, 5529, 375, 939, 2006, 863, 13563, 2543, 8595, 2338, 8672, 8652, 2138, 10017, 4004, 5425, 2980, 8800, 4686, 2417, 7499, 10843, 4396, 5909, 9673, 8567, 2941, 4600, 5846, 12794, 3548, 3325, 4480, 128, 9958, 7580, 6813, 5790, 12021, 11788, 6613, 4556, 3331, 5641, 6033, 4448, 10444, 8761, 4336, 11328, 764, 924, 13946, 142, 7595, 7079, 7555, 2479, 4430, 8590, 11026, 9140, 6412, 12177, 2068, 1103, 525, 768, 10210, 8122, 10778, 8281, 12062, 8450, 6869, 11052, 12438, 11209, 1965, 8650, 11567, 4912, 12971, 9880, 2575, 5430, 2325, 11122, 8166, 5534, 4892, 12219, 8640, 11044, 4546, 5033, 16, 3091, 1955, 9009, 11776, 2899, 3695, 8706, 2079, 10244, 4936, 3837, 6324, 6665, 1042, 10937, 20, 4079, 626, 3361, 2753, 4221, 4806, 1363, 6448, 2585, 2907, 2910, 13097, 11804, 2263, 5661, 4147, 9256, 2149, 7723, 9600, 10296, 11317, 4668, 5048, 8265, 12361, 9292, 8269, 9804, 5197, 1218, 1859, 10460, 880, 7596, 5111, 8028, 1244, 9675, 4174, 1616, 4639, 2129, 5150, 1107, 10833, 5494, 13395, 10835, 12886, 11499, 13401, 5599, 7771, 3407, 7892, 4699, 8286, 4703, 2869, 2656, 2316, 8289, 3171, 11364, 10725, 2151, 2154, 2157, 6255, 2674, 7433, 5237, 925, 10870, 4215, 5750, 3193, 4214, 10368, 11470, 983, 3717, 12934, 12936, 12425, 4234, 2555, 1167, 4753, 11924, 4758, 1687, 4352, 2721, 9893, 3753, 2221, 13485, 12736, 483, 11953, 902, 1468, 3476, 6326, 11959, 11961, 4380, 9403, 14051, 11457, 5339, 12481, 1220, 4316, 1738, 6357, 2262, 4312, 13529, 449, 5350, 12603, 10679, 3389, 3302, 1767, 4329, 9964, 7406, 3310, 5878, 8440, 2810, 13154, 11548, 7936, 7104, 2816, 9150, 3486, 13183, 3329, 9719, 1341, 2308, 1312, 4395, 9004, 4907, 12591, 3388, 8509, 7486, 8004, 2894, 3410, 4436, 12137, 2435, 394, 9104]"
0.04829362524146763,2.71,"[5088, 3091, 3331, 5350, 8122, 5430]"
0.08048937540244694,4.8,"[10059, 879, 3013, 3331, 4556, 2479, 4912, 5430, 10937, 3837]"
