n_nodes,influence,nodes
0.024758603614756236,4.72,[107]
1.9559296855657342,33.38,"[2304, 2037, 3291, 686, 3154, 637, 1584, 2282, 3838, 3434, 3938, 2944, 538, 483, 107, 1804, 2904, 1126, 428, 2661, 3150, 2313, 3593, 1078, 119, 1612, 3650, 353, 3140, 136, 1663, 0, 2655, 3437, 3397, 1199, 1391, 1610, 3506, 3027, 348, 376, 606, 2506, 1277, 1235, 1113, 3980, 271, 1912, 2054, 1684, 917, 1813, 2839, 414, 2283, 3363, 2347, 3756, 1964, 2863, 2047, 1714, 56, 698, 828, 1472, 1730, 67, 2754, 2117, 2266, 2142, 745, 1505, 3426, 3684, 2543]"
0.29710324337707394,22.68,"[2304, 2724, 686, 2543, 0, 107, 3980, 3437, 1684, 1912, 348, 414]"
0.396137657836098,24.1,"[2304, 1132, 1888, 0, 1975, 483, 107, 3980, 686, 2347, 2543, 348, 3437, 1684, 1912, 414]"
0.4704134686803667,24.89,"[2304, 1132, 2094, 3291, 1888, 2347, 917, 0, 686, 698, 348, 483, 2047, 107, 3980, 3437, 414, 1684, 1912]"
0.04951720722951247,5.73,"[107, 686]"
1.336964595196831,30.78,"[2304, 2724, 686, 1888, 2433, 698, 637, 3938, 1192, 1800, 500, 1804, 2104, 2904, 1472, 1559, 3830, 3397, 1391, 2414, 3756, 0, 2047, 107, 946, 1926, 2117, 2313, 3608, 1352, 828, 3980, 348, 271, 1684, 376, 2142, 483, 136, 3437, 414, 2839, 3363, 1964, 2863, 119, 917, 1912, 1813, 2333, 2347, 1591, 2543, 1123]"
0.4456548650656105,24.59,"[2304, 2724, 686, 2730, 2419, 0, 483, 107, 3980, 1684, 1912, 348, 414, 3437, 1800, 2347, 917, 3830]"
1.6093092349591485,31.9,"[2304, 2724, 686, 1888, 698, 3291, 3150, 566, 3397, 3938, 745, 170, 2328, 1192, 3830, 2117, 2904, 1804, 1663, 1926, 107, 1730, 2047, 2988, 3363, 376, 500, 2297, 1352, 428, 1912, 1768, 3434, 1559, 348, 946, 1391, 3437, 0, 3593, 2313, 3980, 271, 2347, 783, 1684, 917, 2839, 414, 483, 2142, 3756, 3758, 1964, 3256, 2754, 1746, 2266, 119, 2543, 1505, 3426, 3684, 2283, 1277]"
1.6340678385739047,32.19,"[2304, 2724, 686, 1888, 2944, 698, 3291, 1459, 363, 1376, 3327, 925, 3830, 1352, 637, 3320, 285, 1559, 3150, 119, 107, 465, 2333, 2783, 1113, 2347, 348, 2951, 1800, 1714, 1173, 3437, 1132, 1912, 3758, 1505, 170, 376, 0, 56, 136, 2142, 483, 2313, 414, 3980, 1804, 1472, 271, 1684, 917, 2839, 3363, 1277, 3756, 2863, 2124, 475, 3280, 1746, 1730, 2754, 2047, 2266, 3684, 2543]"
