n_nodes,influence,nodes
0.9137055837563448,21.98,"[561, 686, 235, 482, 265, 433, 115, 26, 348]"
0.710659898477157,18.66,"[561, 329, 482, 730, 265, 433, 115]"
1.0152284263959388,23.71,"[921, 561, 730, 235, 482, 26, 348, 265, 433, 115]"
0.10152284263959377,4.03,[26]
2.131979695431472,32.02,"[235, 561, 730, 516, 790, 472, 588, 746, 26, 348, 628, 665, 855, 481, 482, 350, 265, 686, 433, 115, 921]"
1.5228426395939083,28.66,"[561, 670, 26, 348, 637, 350, 921, 481, 482, 730, 265, 235, 433, 686, 115]"
0.5076142131979691,14.91,"[561, 433, 730, 265, 115]"
1.7258883248730963,30.14,"[561, 730, 472, 637, 606, 348, 710, 350, 481, 482, 26, 265, 235, 686, 433, 115, 921]"
0.30456852791878175,10.53,"[235, 561, 115]"
1.82741116751269,30.78,"[235, 561, 730, 606, 472, 686, 337, 350, 673, 855, 26, 481, 348, 482, 265, 433, 115, 921]"
1.2182741116751268,25.75,"[235, 561, 730, 836, 686, 482, 265, 433, 115, 921, 26, 348]"
2.2335025380710656,32.79,"[235, 561, 730, 472, 588, 790, 628, 647, 746, 26, 665, 348, 804, 350, 481, 855, 482, 265, 686, 433, 115, 921]"
0.812182741116751,20.37,"[481, 561, 730, 320, 482, 26, 265, 115]"
1.6243654822335023,29.68,"[235, 561, 730, 647, 606, 637, 350, 481, 482, 265, 686, 26, 433, 348, 115, 921]"
1.3197969543147205,26.77,"[235, 561, 730, 647, 481, 482, 350, 265, 433, 115, 26, 921, 348]"
0.4060913705583755,12.94,"[561, 265, 115, 730]"
1.1167512690355328,24.74,"[561, 730, 403, 482, 348, 265, 235, 433, 26, 115, 921]"
0.20304568527918754,7.19,"[265, 115]"
0.6091370558375631,17.0,"[481, 561, 730, 320, 265, 115]"
1.928934010152284,31.31,"[235, 561, 730, 606, 306, 628, 350, 647, 809, 855, 481, 482, 26, 265, 348, 686, 433, 115, 921]"
1.4213197969543145,28.11,"[561, 673, 481, 842, 26, 921, 686, 348, 482, 265, 730, 235, 433, 115]"
2.030456852791878,31.97,"[561, 730, 542, 472, 348, 637, 647, 350, 606, 888, 481, 482, 265, 235, 686, 433, 921, 855, 115, 26]"
