n_nodes,influence,nodes
0.13453776667307338,16.07,"[4526, 3314, 1825, 2945, 3168, 1468, 3431]"
0.3267345762060354,16.66,"[4526, 3314, 3950, 4722, 2369, 3269, 5477, 2800, 2432, 2306, 4610, 3431, 3113, 3565, 4568, 3256, 3294]"
0.11531808571977731,15.99,"[4526, 3581, 2067, 1238, 4610, 4635]"
0.46127234287910834,16.98,"[4526, 5195, 2369, 5555, 3182, 3880, 4568, 5109, 4627, 3760, 4539, 4446, 4405, 1336, 2432, 2835, 3224, 1000, 4635, 4995, 5476, 3565, 3431, 4273]"
0.15375744762636945,16.11,"[4526, 1825, 5109, 865, 3431, 3565, 3982, 4635]"
0.07687872381318472,15.83,"[4526, 1825, 4354, 3052]"
0.5189313857389968,17.1,"[4836, 1145, 4627, 2857, 5109, 47, 4638, 4568, 4436, 4213, 2432, 4995, 4020, 4354, 3458, 2369, 3224, 3880, 5578, 3760, 4273, 3256, 4539, 5195, 3431, 3565, 3294]"
0.2882952142994428,16.66,"[4526, 2857, 3880, 371, 1988, 4568, 2432, 4610, 2306, 3431, 3113, 3565, 4627, 3294, 3256]"
1.499135114357102,18.85,"[4526, 3314, 5360, 5195, 3760, 2857, 47, 4638, 4436, 2369, 4213, 3913, 5032, 4053, 3474, 4589, 4336, 2074, 998, 4855, 2929, 3562, 1348, 4539, 4581, 4568, 3370, 440, 1124, 280, 3431, 3458, 5189, 2306, 4259, 4446, 3565, 362, 311, 4559, 4354, 2432, 5488, 870, 3113, 1336, 5530, 2906, 3103, 2089, 3136, 4848, 3168, 4995, 4316, 5476, 4486, 5127, 3049, 390, 4361, 3982, 4627, 3224, 3294, 4273, 3225, 4405, 4635, 3876, 3880, 2392, 5323, 5294, 4784, 947, 3256, 2397]"
0.6534691524120699,17.42,"[4526, 3314, 5555, 2857, 4627, 2907, 4552, 3431, 3565, 4848, 4581, 4568, 4276, 3136, 2432, 3458, 4354, 3880, 5476, 4995, 4610, 3982, 3224, 4635, 3113, 5294, 4273, 4405, 311, 4316, 5084, 4446, 4385, 3294]"
1.0186430905246975,18.14,"[4526, 2857, 5555, 2369, 5195, 4568, 154, 2649, 4213, 2435, 5374, 4581, 3880, 4635, 4848, 4404, 3256, 4539, 2392, 3565, 5476, 3049, 4910, 4457, 2432, 4610, 5323, 4446, 3431, 2306, 4995, 4354, 3458, 3038, 3103, 4245, 5294, 4559, 3760, 4273, 947, 3113, 4405, 311, 3294, 3136, 3168, 5084, 3982, 4316, 3370, 4015, 4784]"
1.845089371516433,19.28,"[4526, 3314, 5360, 5461, 4758, 5195, 3760, 970, 2272, 3535, 4213, 2760, 390, 5074, 5530, 3370, 2397, 4336, 5502, 2105, 4581, 5664, 4486, 5488, 3001, 4259, 5070, 5597, 4493, 947, 4361, 4910, 4568, 3431, 4457, 836, 4559, 5644, 5555, 3565, 4436, 4627, 4996, 4466, 4541, 3136, 4446, 2331, 3038, 5618, 870, 3146, 375, 4848, 2440, 5515, 4053, 5323, 2190, 785, 2929, 4404, 3364, 5127, 5476, 3224, 3168, 440, 3390, 2432, 4610, 2306, 4354, 3458, 4995, 311, 4316, 3294, 3225, 4635, 3103, 3256, 5084, 4388, 3876, 3880, 3113, 4539, 2861, 5294, 4784, 4273, 177, 2392, 4405, 2906]"
1.979627138189506,19.43,"[4526, 4682, 3950, 4354, 3760, 2432, 3880, 5195, 4568, 4610, 3431, 5461, 2760, 4381, 2857, 2369, 4336, 4213, 5074, 2306, 4995, 3458, 2538, 3982, 3224, 4635, 4273, 4405, 3565, 5084, 311, 4446, 3294, 5476, 3136, 3113, 845, 3038, 4053, 4581, 2196, 1191, 3337, 4541, 2935, 4436, 4404, 5502, 2105, 440, 5664, 3001, 5070, 5597, 4457, 785, 4361, 5488, 4316, 4627, 2929, 3893, 5127, 5032, 4848, 3049, 4661, 3390, 870, 3876, 4486, 390, 5515, 5644, 3146, 2190, 3370, 5152, 3225, 314, 2397, 280, 2331, 5530, 5294, 998, 375, 4559, 3103, 2392, 270, 4259, 4388, 4784, 1395, 2861, 2596, 3256, 5316, 4539, 3168, 5323, 2906]"
0.6726888333653662,17.47,"[4836, 4164, 3950, 4627, 4722, 4568, 3269, 5477, 2800, 5721, 2432, 2369, 5292, 5476, 3136, 3431, 3565, 896, 4995, 4610, 4354, 3458, 4635, 3103, 3113, 5294, 4273, 4405, 311, 4559, 4316, 5084, 4446, 3294, 3168]"
1.2300595810109554,18.41,"[4526, 3314, 3950, 3182, 1174, 4381, 2369, 4213, 4336, 2857, 4493, 4559, 2074, 4446, 4855, 3562, 1348, 1124, 280, 1808, 4568, 5189, 3565, 586, 5476, 3880, 3431, 4316, 2432, 4995, 3458, 2306, 4354, 3760, 3294, 3982, 3474, 4627, 3224, 3168, 4635, 4273, 4436, 4259, 5032, 3370, 4053, 3113, 870, 5294, 5488, 2392, 4784, 311, 440, 4848, 2929, 1336, 3256, 4539, 5195, 2397, 998, 3049]"
0.9994234095714012,18.07,"[4526, 3314, 3950, 5555, 3182, 2356, 2760, 3624, 441, 4581, 4213, 5074, 4053, 2538, 4559, 3224, 5084, 845, 5195, 3414, 2857, 2432, 4610, 3431, 4995, 2306, 4354, 3458, 3982, 4635, 4539, 3103, 3113, 3370, 5294, 3760, 843, 4784, 4404, 4405, 311, 3256, 3136, 4568, 2392, 4446, 3294, 3168, 5476, 3049, 3565, 4848]"
