n_nodes,influence,nodes
0.018102824040550747,1.73,[372]
0.07241129616220165,6.09,"[1971, 571, 260, 951]"
0.09051412020275196,6.87,"[372, 2507, 1363, 524, 76]"
0.05430847212165135,5.06,"[260, 586, 571]"
0.7965242577842149,21.66,"[2637, 571, 481, 627, 1139, 260, 951, 508, 586, 2112, 317, 1155, 249, 860, 372, 422, 325, 356, 246, 904, 524, 76, 2340, 311, 142, 399, 532, 1940, 2454, 283, 420, 1705, 441, 169, 1971, 2612, 822, 312, 852, 1370, 2507, 570, 64, 1262]"
0.19913106444605377,11.19,"[260, 531, 3042, 312, 311, 76, 571, 2507, 852, 860, 1705]"
2.3352643012309926,31.36,"[260, 531, 1319, 312, 199, 311, 571, 1381, 76, 860, 1736, 372, 852, 2507, 483, 1063, 2065, 1705, 51, 706, 489, 249, 1045, 876, 19, 1383, 1139, 1282, 2967, 2348, 1690, 2071, 1162, 214, 635, 751, 2173, 219, 1327, 481, 711, 275, 317, 1155, 129, 298, 793, 1057, 1522, 426, 659, 375, 1685, 657, 325, 1802, 2720, 574, 447, 694, 642, 2379, 532, 3621, 2403, 904, 262, 1062, 399, 1940, 2454, 1203, 441, 315, 420, 1535, 2688, 422, 1283, 2470, 202, 1670, 2867, 194, 951, 343, 283, 524, 586, 1564, 1568, 2177, 1569, 58, 2612, 142, 2510, 1971, 570, 64, 2112, 588, 1986, 453, 1189, 818, 463, 467, 1102, 169, 4182, 2685, 1707, 822, 3244, 2735, 211, 1200, 177, 692, 1204, 1723, 356, 2235, 2264, 1262, 233, 246, 1899]"
1.9007965242577844,29.4,"[2637, 993, 481, 291, 508, 92, 825, 51, 2173, 1139, 694, 129, 531, 1381, 372, 627, 2293, 275, 325, 2967, 1690, 199, 456, 4330, 706, 1987, 2264, 219, 2217, 1760, 1262, 214, 876, 447, 343, 194, 1685, 1203, 571, 202, 2507, 951, 561, 315, 1383, 2379, 2867, 1204, 800, 1282, 249, 2177, 1283, 260, 1940, 904, 524, 142, 15, 1736, 399, 420, 2454, 532, 1535, 793, 3692, 463, 283, 356, 4182, 586, 1564, 1189, 2470, 422, 1705, 298, 1723, 441, 2735, 177, 818, 2112, 563, 1076, 2612, 375, 246, 2510, 822, 311, 312, 570, 317, 1971, 64, 1986, 211, 588, 852, 1370, 1102, 860, 76]"
2.0456191165821873,30.08,"[2637, 2526, 481, 291, 508, 430, 2433, 2065, 1057, 694, 1327, 531, 4148, 15, 211, 51, 372, 169, 2217, 426, 450, 1685, 1383, 399, 855, 2071, 1535, 1162, 1987, 473, 2173, 2470, 2403, 2967, 2137, 1282, 219, 1076, 751, 2348, 199, 1381, 1139, 904, 214, 1569, 260, 2177, 1283, 262, 524, 325, 142, 532, 463, 563, 1940, 2454, 283, 1564, 1568, 420, 951, 1189, 1262, 422, 1063, 1705, 876, 441, 3244, 177, 818, 2612, 1204, 2867, 822, 570, 571, 311, 2112, 312, 586, 1899, 447, 76, 588, 4182, 1102, 64, 1723, 315, 317, 1971, 706, 194, 1986, 453, 202, 2379, 2507, 2510, 852, 343, 2264, 1370, 1760, 249, 356, 233, 367, 5036, 375]"
0.9051412020275167,22.75,"[260, 571, 2162, 372, 1540, 194, 1705, 3893, 2507, 586, 481, 283, 76, 694, 246, 860, 262, 1139, 169, 2173, 422, 2112, 1940, 420, 399, 177, 818, 532, 51, 1535, 822, 317, 325, 570, 1971, 852, 312, 951, 64, 441, 311, 904, 2454, 142, 1986, 1155, 1102, 524, 2510, 1370]"
