n_nodes,influence,nodes
0.25389916575988414,27.51,"[731, 1369, 766, 1482, 557, 783, 300]"
0.7979688066739208,48.3,"[731, 703, 75, 566, 1500, 325, 894, 1369, 1657, 900, 1022, 578, 82, 536, 929, 1127, 1482, 783, 557, 1399, 1679, 626]"
0.21762785636561466,24.19,"[934, 557, 766, 1482, 783, 2266]"
2.10373594486761,67.29,"[2683, 1841, 2138, 894, 185, 333, 1777, 92, 900, 626, 1915, 589, 398, 1044, 47, 2373, 1660, 1323, 906, 1936, 929, 1643, 1991, 1127, 1645, 958, 1399, 1482, 1661, 2146, 578, 974, 1526, 766, 557, 1115, 1653, 1619, 872, 1679, 993, 275, 2052, 2155, 536, 926, 162, 2223, 566, 2105, 1369, 783, 1030, 585, 1158, 146, 934, 62]"
0.6528835690968444,44.93,"[731, 1022, 2138, 894, 185, 398, 2052, 244, 1127, 1482, 557, 974, 783, 1399, 536, 1369, 1915, 958]"
0.03627130939426948,5.79,[783]
0.7254261878853827,46.3,"[731, 766, 75, 529, 241, 1369, 566, 82, 1127, 589, 974, 929, 95, 626, 1482, 557, 783, 1022, 1399, 536]"
0.83424011606819,49.62,"[731, 766, 383, 1531, 1091, 2052, 906, 398, 1022, 1369, 427, 1127, 729, 589, 929, 1482, 557, 1660, 1399, 783, 1526, 974, 536]"
0.5440696409140371,40.53,"[731, 1500, 929, 2651, 383, 557, 1679, 1369, 626, 1399, 783, 1482, 974, 536, 766]"
0.8705114254624591,50.93,"[731, 333, 894, 2052, 2386, 929, 1679, 1482, 557, 974, 783, 626, 1369, 275, 958, 536, 1399, 1991, 589, 1127, 1777, 1526, 1281, 1660]"
1.7772941603191876,64.21,"[731, 383, 185, 894, 2218, 1660, 915, 1369, 566, 618, 325, 82, 1115, 1661, 1323, 1653, 1679, 1030, 744, 1500, 934, 1619, 2052, 146, 1777, 1399, 1823, 1158, 626, 2373, 906, 2155, 1936, 783, 1526, 1915, 536, 926, 929, 162, 557, 2223, 1732, 958, 1991, 1482, 589, 974, 1127]"
1.3420384475879579,59.08,"[731, 766, 383, 1164, 2312, 185, 958, 1022, 398, 1936, 626, 1777, 536, 589, 82, 1323, 1482, 146, 1679, 2341, 1915, 325, 974, 1653, 1399, 1660, 1269, 275, 993, 557, 929, 1369, 1526, 1115, 1991, 783, 1127]"
2.2850924918389555,68.13,"[731, 2138, 1369, 1022, 185, 766, 398, 1323, 1482, 92, 557, 1762, 1777, 783, 894, 626, 1915, 1867, 333, 1660, 1677, 900, 2069, 589, 1115, 2347, 566, 146, 1661, 618, 1052, 2105, 1399, 1127, 1158, 1679, 275, 1044, 1526, 929, 1991, 536, 1653, 926, 1645, 82, 162, 958, 974, 934, 47, 2223, 62, 578, 2373, 585, 732, 1357, 1619, 346, 993, 2146, 1374]"
0.6166122597025754,43.5,"[731, 1904, 766, 1050, 974, 589, 1369, 929, 1127, 1482, 557, 783, 1526, 626, 1399, 536, 1915]"
1.8498367791077257,65.02,"[731, 1181, 185, 974, 894, 783, 557, 1399, 1660, 1369, 1915, 2218, 1482, 915, 958, 566, 618, 1115, 1679, 325, 82, 1661, 1323, 1619, 1500, 1828, 1653, 1030, 744, 906, 934, 626, 2052, 2155, 1936, 929, 146, 1526, 926, 1777, 162, 1823, 2223, 536, 2105, 2373, 766, 275, 1991, 589, 1127]"
0.18135654697134562,20.7,"[145, 557, 1399, 536, 783]"
2.3213638012332245,69.59,"[731, 1022, 974, 2138, 783, 557, 1399, 894, 1369, 1915, 958, 398, 1482, 2227, 1777, 1889, 2071, 333, 92, 1323, 589, 1677, 1660, 618, 1115, 1762, 1044, 82, 926, 1867, 2069, 1127, 1645, 1653, 578, 929, 1991, 162, 2347, 2223, 1526, 766, 732, 47, 566, 900, 820, 2366, 1091, 1619, 2373, 1860, 62, 1643, 585, 934, 1679, 275, 1357, 536, 119, 2146, 1158, 872]"
1.051867972433805,54.27,"[731, 894, 398, 427, 2181, 325, 1022, 82, 900, 1762, 1867, 1115, 6, 2052, 929, 1399, 536, 1915, 1127, 1482, 557, 1679, 783, 1184, 974, 275, 1526, 1369, 1660]"
0.5803409503083063,42.28,"[731, 766, 383, 2052, 929, 1127, 1482, 557, 2753, 1679, 974, 783, 626, 1399, 536, 1369]"
1.2332245194051505,58.66,"[731, 398, 894, 275, 1660, 2018, 2223, 325, 2181, 82, 1762, 1732, 1022, 958, 1399, 1115, 1867, 1915, 2052, 900, 6, 1679, 783, 1127, 536, 929, 1323, 1991, 557, 1482, 589, 1526, 974, 1369]"
0.3264417845484222,29.95,"[731, 398, 766, 78, 359, 974, 1482, 557, 783]"
1.4145810663764962,61.13,"[731, 398, 915, 536, 185, 974, 894, 929, 1482, 557, 47, 1399, 783, 383, 906, 1915, 766, 1369, 1679, 146, 275, 618, 1115, 958, 566, 934, 1323, 82, 325, 1653, 1500, 1991, 1619, 589, 1127, 626, 2155, 1777, 1526]"
0.1450852375770766,18.35,"[77, 557, 1399, 783]"
0.07254261878853852,10.05,"[444, 783]"
1.8135654697134567,64.43,"[731, 766, 383, 2218, 894, 915, 618, 185, 958, 566, 1619, 626, 1661, 1777, 1742, 1936, 744, 589, 82, 2146, 536, 1915, 2052, 1482, 1158, 1653, 1660, 1399, 1323, 1030, 906, 974, 2155, 325, 1328, 934, 1526, 1679, 162, 2223, 1369, 2105, 1115, 970, 1127, 783, 275, 929, 557, 1991]"
1.632208922742111,62.34,"[731, 398, 766, 894, 2052, 1679, 185, 974, 626, 1482, 783, 557, 325, 1915, 618, 1022, 275, 427, 958, 1369, 82, 2168, 566, 1653, 1660, 929, 1127, 1323, 1420, 1399, 536, 1158, 906, 1115, 1936, 926, 2155, 162, 2223, 62, 578, 1991, 2251, 993, 2146]"
0.7616974972796517,47.2,"[731, 1500, 398, 1668, 115, 1022, 929, 1915, 1660, 783, 557, 1399, 536, 1127, 1482, 1369, 589, 2069, 958, 1526, 766]"
0.507798331519768,38.76,"[1136, 766, 894, 589, 1127, 1369, 1526, 929, 1482, 557, 974, 783, 626, 1399]"
1.0155966630395359,53.3,"[731, 2138, 1022, 974, 958, 398, 1399, 894, 6, 557, 1915, 783, 1369, 149, 1515, 900, 2346, 1679, 1482, 536, 929, 1323, 1991, 1867, 589, 82, 1115, 1762]"
1.7410228509249186,64.13,"[731, 915, 398, 536, 185, 383, 894, 974, 766, 1500, 929, 1482, 1399, 1619, 557, 47, 1915, 626, 1030, 2373, 1936, 1369, 783, 162, 618, 1660, 1115, 1643, 906, 2146, 993, 146, 1653, 958, 275, 82, 566, 1679, 872, 1127, 2417, 1526, 1777, 325, 934, 1323, 1991, 589]"
0.36271309394269124,33.66,"[731, 1679, 974, 929, 1482, 557, 783, 2562, 1399, 536]"
0.9430540442509974,52.64,"[731, 1022, 2138, 894, 974, 626, 2312, 1399, 783, 557, 1915, 1936, 1369, 398, 1679, 766, 633, 1777, 275, 1482, 536, 929, 589, 1660, 1127, 1526]"
0.10881392818280755,13.88,"[186, 557, 1482]"
2.466449038810301,70.08,"[731, 915, 398, 47, 536, 185, 894, 974, 383, 1867, 1660, 1482, 1399, 929, 1333, 557, 1915, 1200, 249, 62, 1936, 1369, 355, 783, 1587, 97, 530, 766, 906, 1919, 958, 146, 275, 1500, 2052, 1679, 1011, 1127, 626, 1158, 2155, 1526, 1777, 1619, 2643, 1991, 589, 427, 447, 2181, 1300, 2180, 663, 1299, 1314, 578, 35, 551, 50, 1677, 820, 1467, 2248, 1233, 2120, 900, 1357, 1250]"
1.595937613347842,62.09,"[731, 383, 1030, 744, 894, 185, 1619, 1660, 1109, 2218, 2052, 1369, 618, 1158, 915, 1661, 566, 325, 1115, 1653, 82, 906, 1679, 1936, 783, 146, 1500, 536, 1323, 1399, 929, 934, 557, 958, 626, 2373, 1991, 1482, 2155, 1915, 1526, 589, 974, 1127]"
2.140007254261879,68.0,"[731, 1500, 1762, 2138, 894, 1867, 929, 2373, 766, 1369, 1777, 626, 1399, 398, 1333, 1200, 249, 1660, 355, 1587, 97, 530, 557, 1919, 185, 2643, 427, 447, 2181, 2223, 2105, 62, 1643, 906, 1915, 1679, 1645, 585, 2378, 2146, 974, 993, 872, 2052, 1158, 783, 146, 589, 275, 1526, 1127, 536, 1482, 2155, 934, 958, 578, 1991, 1619]"
0.4352557127312293,36.74,"[731, 1500, 398, 626, 929, 1482, 557, 783, 1399, 536, 149, 766]"
2.0311933260790713,66.69,"[731, 1500, 894, 1762, 2138, 867, 929, 1867, 2373, 1777, 626, 1399, 398, 557, 185, 589, 1369, 92, 872, 993, 926, 906, 2223, 62, 766, 1936, 82, 578, 1660, 1643, 47, 2458, 974, 1915, 2052, 146, 275, 783, 1158, 1482, 536, 934, 427, 1030, 1127, 1653, 1526, 2146, 2155, 1115, 1323, 566, 1991, 958, 1195, 162]"
1.9223793978962642,66.37,"[731, 618, 766, 1022, 894, 900, 2052, 1369, 1044, 974, 2266, 47, 1482, 427, 1115, 557, 1660, 626, 1399, 1661, 1653, 578, 1619, 2155, 934, 872, 783, 993, 1867, 1323, 926, 566, 1936, 316, 61, 185, 92, 1526, 1777, 536, 1158, 2373, 929, 2146, 1915, 589, 906, 1679, 1127, 146, 275, 958, 1991]"
1.1606819006166122,57.49,"[731, 383, 2218, 1660, 894, 19, 766, 398, 1645, 578, 993, 900, 589, 2052, 1115, 726, 1369, 783, 1679, 1500, 536, 929, 557, 1991, 1482, 974, 82, 626, 1399, 1127, 1777, 1915]"
1.66848023213638,63.54,"[731, 1500, 894, 1762, 2138, 2373, 766, 929, 62, 1777, 626, 1399, 1867, 557, 1619, 82, 1030, 1369, 744, 926, 162, 906, 1679, 1823, 1936, 250, 2052, 1158, 1660, 783, 146, 536, 185, 1915, 974, 934, 1323, 566, 958, 1991, 1482, 1115, 1127, 2155, 1653, 1526]"
0.471527022125499,38.34,"[731, 798, 894, 1022, 929, 2052, 1127, 1482, 557, 783, 1399, 536, 185]"
1.3783097569822271,59.94,"[731, 915, 398, 185, 536, 47, 894, 974, 383, 618, 929, 1482, 1399, 1115, 557, 566, 1915, 1323, 82, 325, 1653, 1369, 783, 1619, 906, 1679, 766, 815, 275, 934, 958, 1991, 589, 1500, 1127, 1777, 626, 1526]"
1.5596663039535728,61.75,"[731, 1022, 1762, 894, 2138, 2373, 626, 906, 1399, 974, 62, 1915, 1867, 2312, 2052, 783, 557, 1158, 1369, 146, 185, 1777, 1936, 934, 1660, 1323, 766, 398, 1679, 1526, 1482, 1127, 275, 92, 589, 536, 929, 566, 481, 1991, 1115, 2155, 1653]"
1.4508523757707652,61.56,"[731, 915, 398, 185, 536, 47, 894, 974, 383, 906, 929, 1482, 1399, 146, 557, 275, 1915, 566, 934, 325, 1500, 1369, 783, 1619, 618, 1127, 626, 1115, 766, 2155, 1526, 1867, 120, 958, 1679, 82, 1323, 1991, 589, 1777]"
1.1244105912223432,55.7,"[731, 1181, 1915, 185, 894, 974, 1022, 915, 1399, 1660, 958, 783, 557, 1369, 566, 1867, 2052, 766, 1482, 1679, 275, 1115, 536, 929, 1323, 1991, 589, 1500, 1127, 626, 1526]"
0.2901704751541532,29.94,"[731, 894, 1653, 1482, 557, 974, 783, 1399]"
