n_nodes,influence,nodes
0.14534883720930214,7.51,"[673, 389]"
0.5813953488372094,17.65,"[289, 673, 1159, 903, 451, 293, 389, 631]"
0.7994186046511629,21.11,"[289, 673, 669, 445, 109, 28, 977, 451, 293, 389, 631]"
1.3081395348837208,25.85,"[289, 673, 669, 28, 114, 185, 40, 681, 109, 1117, 451, 293, 977, 631, 389, 938, 424, 445]"
0.21802325581395365,9.39,"[669, 673, 293]"
0.3633720930232558,14.81,"[293, 673, 389, 631, 451]"
1.2354651162790697,25.42,"[289, 673, 459, 903, 185, 975, 1117, 451, 293, 389, 669, 631, 424, 114, 140, 109, 977]"
0.7267441860465116,19.98,"[289, 816, 669, 185, 977, 451, 293, 389, 109, 631]"
1.0901162790697674,23.94,"[289, 669, 673, 459, 451, 293, 185, 114, 1352, 424, 140, 631, 977, 389, 681]"
0.07267441860465107,3.43,[445]
2.1075581395348837,30.94,"[289, 673, 669, 655, 1088, 28, 887, 395, 996, 681, 114, 748, 109, 977, 424, 142, 711, 631, 938, 91, 736, 445, 451, 140, 392, 389, 293, 903, 1117]"
1.816860465116279,29.39,"[289, 669, 459, 975, 673, 847, 451, 293, 28, 461, 114, 711, 736, 1117, 631, 142, 389, 445, 903, 1063, 681, 977, 938, 109, 270]"
1.1627906976744184,24.89,"[289, 673, 669, 115, 185, 711, 459, 451, 140, 293, 903, 389, 109, 445, 977, 631]"
0.2906976744186047,11.99,"[590, 673, 451, 293]"
1.5988372093023255,28.05,"[289, 673, 572, 185, 270, 669, 140, 736, 847, 451, 389, 293, 28, 903, 424, 681, 977, 938, 109, 114, 631, 445]"
1.4534883720930232,27.15,"[289, 673, 459, 270, 185, 887, 869, 847, 451, 293, 669, 631, 389, 114, 424, 681, 445, 938, 109, 977]"
0.5087209302325582,16.81,"[429, 673, 669, 293, 451, 389, 631]"
2.3255813953488373,32.13,"[289, 673, 669, 115, 114, 185, 468, 1088, 1117, 887, 847, 451, 903, 293, 424, 681, 445, 938, 109, 631, 977, 389, 590, 392, 140, 270, 91, 28, 1315, 711, 1272, 736]"
0.43604651162790686,15.48,"[289, 681, 451, 293, 389, 631]"
1.9622093023255813,30.2,"[289, 673, 655, 553, 669, 395, 887, 468, 461, 28, 681, 114, 389, 903, 109, 140, 977, 142, 293, 424, 631, 938, 445, 91, 736, 451, 1117]"
1.380813953488372,26.56,"[289, 673, 459, 270, 185, 100, 114, 109, 669, 631, 115, 389, 424, 681, 451, 445, 293, 938, 977]"
2.0348837209302326,30.63,"[289, 673, 459, 142, 847, 114, 357, 631, 110, 711, 1117, 28, 461, 736, 590, 389, 669, 903, 392, 451, 140, 293, 445, 424, 109, 681, 938, 977]"
0.8720930232558137,21.84,"[289, 673, 669, 445, 903, 451, 109, 424, 293, 977, 389, 631]"
1.744186046511628,28.82,"[289, 669, 459, 142, 185, 673, 115, 140, 1151, 451, 114, 468, 1117, 293, 631, 847, 91, 445, 736, 389, 424, 977, 681, 938]"
1.0174418604651163,23.27,"[289, 673, 669, 445, 114, 903, 140, 109, 451, 847, 977, 293, 631, 389]"
2.3982558139534884,32.52,"[289, 673, 459, 185, 903, 975, 1117, 847, 91, 461, 669, 392, 631, 451, 293, 389, 114, 736, 711, 140, 977, 109, 910, 590, 28, 781, 1084, 468, 115, 445, 142, 681, 938]"
1.6715116279069766,28.39,"[289, 673, 1157, 461, 185, 669, 389, 114, 903, 109, 465, 451, 270, 28, 293, 631, 424, 847, 445, 977, 681, 938, 736]"
1.88953488372093,29.63,"[335, 673, 389, 459, 1149, 114, 631, 91, 461, 590, 424, 1117, 109, 669, 445, 736, 847, 451, 293, 903, 392, 142, 681, 938, 977, 140]"
2.1802325581395348,31.42,"[289, 673, 459, 114, 887, 996, 468, 142, 461, 389, 903, 669, 1293, 392, 140, 270, 711, 28, 1117, 451, 109, 293, 424, 681, 938, 445, 631, 847, 977, 736]"
0.6540697674418603,18.92,"[977, 673, 459, 903, 185, 451, 293, 389, 631]"
2.252906976744186,31.74,"[289, 459, 669, 91, 590, 424, 847, 887, 1315, 736, 673, 451, 114, 1272, 389, 293, 631, 907, 1117, 903, 185, 681, 392, 28, 938, 140, 977, 1088, 270, 445, 109]"
0.9447674418604652,22.34,"[289, 606, 669, 445, 903, 114, 109, 451, 140, 293, 389, 977, 631]"
