n_nodes,influence,nodes
0.16926201760325021,11.52,"[3833, 2874, 1595, 147, 3008, 191, 1864, 5800, 4874, 112]"
0.3893026404874744,17.88,"[3833, 2815, 1965, 1952, 3008, 4602, 1474, 5416, 5800, 4874, 2698, 5644, 2218, 4395, 3684, 1864, 112, 191, 2386, 1075, 5855, 3576, 4795]"
0.03385240352065022,2.72,"[3888, 1864]"
0.9986459038591742,26.08,"[873, 1140, 4585, 2815, 1595, 3850, 1324, 5082, 3833, 3726, 100, 5142, 175, 2371, 1075, 1864, 5066, 4795, 112, 4023, 1356, 4032, 3576, 2386, 4602, 3008, 2900, 1474, 4081, 2633, 5708, 1003, 5584, 3537, 3048, 4316, 3806, 3680, 98, 4972, 3696, 1159, 5882, 1144, 5644, 2698, 4874, 147, 1374, 2327, 3099, 1952, 5416, 5800, 191, 4395, 2218, 1965, 1199]"
0.15233581584292466,11.23,"[2990, 147, 112, 1595, 3008, 1864, 5800, 4874, 191]"
0.8801624915368991,24.75,"[3833, 5543, 3471, 3850, 5066, 4602, 1140, 2486, 1159, 3726, 1111, 5142, 1707, 1324, 1199, 175, 1075, 1957, 2327, 3099, 2485, 4795, 3680, 2698, 4874, 5416, 5800, 2218, 4395, 1595, 191, 3008, 2900, 5082, 5855, 3576, 112, 1474, 1356, 5584, 2386, 1374, 3806, 1864, 96, 98, 147, 3048, 5644, 1003, 1965, 4974]"
0.30467163168584976,15.66,"[3833, 2159, 2327, 4602, 1965, 147, 1952, 3008, 191, 5416, 1864, 5800, 4874, 4395, 2218, 112, 3576, 5855]"
0.28774542992552465,15.4,"[4032, 3008, 1864, 4874, 3099, 1324, 112, 3576, 191, 1199, 1474, 5800, 2218, 2538, 5416, 5644, 4395]"
0.37237643872714976,17.48,"[3833, 4602, 2815, 1952, 1965, 2327, 2386, 3385, 3008, 5855, 1474, 5416, 5800, 4874, 2698, 2218, 4395, 191, 1864, 112, 5644, 3576]"
0.5077860528097498,20.17,"[349, 1699, 1971, 4874, 2698, 5644, 2327, 3099, 1952, 5800, 5416, 2218, 4395, 1324, 1965, 1199, 1595, 4795, 191, 3008, 1474, 1864, 4602, 2386, 2900, 1374, 5855, 112, 3576, 2815]"
1.117129316181449,27.18,"[3833, 1111, 1074, 3465, 1140, 4, 3569, 2437, 5768, 4874, 2698, 5644, 3638, 3726, 3850, 147, 3669, 1965, 1456, 3537, 1075, 2371, 5882, 2815, 5142, 4602, 2327, 3099, 4253, 1952, 5416, 5800, 2218, 4395, 1324, 46, 5166, 1199, 3576, 175, 3379, 2485, 1595, 4795, 191, 3008, 4032, 1474, 1864, 1356, 5708, 5584, 5082, 2386, 1003, 2900, 1374, 5855, 3806, 98, 3048, 4972, 4974, 112, 3696, 5118]"
0.4062288422478,18.23,"[1984, 4602, 3726, 3099, 2327, 4795, 1324, 2815, 5855, 1952, 3008, 1965, 3576, 1474, 5416, 5800, 4874, 191, 2698, 2218, 4395, 1864, 5644, 112]"
1.7264725795531484,31.98,"[3833, 3857, 2815, 155, 4974, 5521, 4829, 3987, 3471, 2633, 5085, 503, 1581, 1961, 3696, 1140, 4, 2851, 3569, 2060, 5644, 5142, 3099, 3008, 2590, 46, 1324, 3576, 1474, 5166, 1075, 1965, 2612, 1595, 5708, 3156, 1144, 92, 3680, 96, 98, 1707, 112, 630, 4735, 726, 5768, 2698, 3726, 147, 4253, 1190, 5800, 2218, 683, 1199, 4032, 175, 4795, 1864, 3537, 3048, 1003, 191, 192, 4602, 709, 2770, 2437, 4316, 3806, 5118, 5855, 5867, 5082, 5882, 2306, 5066, 4874, 3850, 1804, 4877, 5905, 2327, 5416, 1323, 4395, 3379, 4081, 4972, 2371, 1356, 3893, 2900, 1952, 1374, 4447, 2406, 2408, 3977, 1456, 2485]"
0.11848341232227488,9.43,"[1429, 147, 3008, 112, 1864, 5800, 4874]"
1.6756939742721735,31.76,"[3833, 3857, 2815, 155, 4974, 5521, 4829, 3987, 3471, 2633, 5085, 3696, 1581, 1961, 4, 1140, 2060, 2851, 3569, 5644, 5142, 3099, 2590, 3008, 46, 5166, 1324, 3576, 1474, 1075, 2612, 1965, 1595, 5708, 3156, 92, 1144, 3680, 96, 98, 112, 1707, 630, 4735, 5768, 726, 2698, 3726, 147, 4253, 1190, 5800, 2218, 5410, 1199, 175, 4032, 4795, 191, 1864, 3537, 3048, 1003, 192, 709, 4602, 5833, 4299, 2437, 4316, 3806, 5118, 5855, 5867, 5082, 5882, 2306, 5066, 4874, 3850, 1804, 4877, 2327, 5416, 4395, 1836, 3379, 2371, 4081, 4972, 1356, 2386, 2900, 1374, 1952, 4447, 2406, 1456, 2485]"
0.05077860528097489,4.68,"[2928, 1864, 5800]"
0.6770480704129993,22.56,"[3833, 3857, 79, 2815, 98, 4974, 4874, 2698, 5644, 3726, 147, 2327, 3099, 1952, 5416, 5800, 2218, 4395, 1324, 1965, 1199, 1595, 4795, 191, 3008, 1474, 1864, 5066, 3576, 1356, 2386, 2900, 5082, 1374, 5855, 3371, 3048, 1003, 112, 4602]"
0.2200406228842251,13.43,"[873, 1707, 3008, 4395, 1864, 5800, 4874, 5644, 2218, 112, 3576, 4602, 191]"
0.01692620176032511,1.13,[1374]
1.7603249830737981,32.08,"[3833, 3857, 92, 2815, 5521, 3569, 4735, 3987, 4974, 5085, 155, 726, 4829, 3864, 3471, 5646, 2406, 2082, 2633, 1961, 2408, 633, 4108, 683, 3696, 1199, 2060, 2770, 1140, 3576, 1075, 2851, 3008, 1144, 2590, 5905, 1323, 1474, 3680, 4447, 3977, 4032, 630, 96, 3537, 1456, 4, 5644, 1324, 5142, 5118, 1965, 3099, 46, 5166, 2612, 1595, 5708, 4081, 3156, 98, 112, 5768, 2698, 3726, 147, 4253, 4602, 1190, 5800, 4316, 2306, 1804, 2437, 3048, 1003, 2386, 4877, 5882, 5867, 2218, 1707, 1952, 175, 4795, 191, 4874, 3850, 192, 2327, 709, 5855, 5416, 1864, 4395, 5082, 3379, 2371, 1356, 2900, 5066, 1374, 2485, 4972]"
0.6262694651320244,21.77,"[3833, 1074, 1111, 942, 2851, 4874, 2698, 5644, 3726, 2327, 3099, 1952, 5416, 5800, 2218, 4395, 1324, 1965, 2485, 4795, 191, 3008, 1474, 2815, 1864, 2386, 4602, 2900, 5082, 1374, 5855, 98, 3048, 1003, 4972, 112, 3576]"
0.7109004739336493,22.99,"[3833, 1140, 3669, 1111, 376, 3857, 4874, 2698, 5644, 3726, 147, 3031, 3099, 1952, 5416, 5800, 2218, 4395, 1324, 1965, 1199, 1595, 4602, 4795, 191, 4032, 3008, 1474, 1864, 5066, 1356, 3576, 2386, 2900, 5082, 1374, 5855, 98, 3048, 4974, 112, 2815]"
1.100203114421124,26.96,"[3833, 155, 1111, 3471, 1159, 3987, 3569, 1961, 1140, 4, 3850, 4874, 5646, 1804, 2698, 3726, 2371, 5644, 4735, 147, 5142, 46, 2327, 3099, 4602, 1456, 4253, 1952, 2851, 5416, 5800, 2218, 683, 1707, 1965, 4395, 1324, 175, 1075, 3576, 1199, 633, 2485, 1595, 4795, 191, 3008, 1474, 1864, 2448, 2386, 2900, 3806, 5855, 3680, 96, 1374, 98, 3048, 1003, 4972, 2815, 112, 4081, 630]"
0.5754908598510495,21.25,"[179, 4602, 2327, 3099, 1595, 5082, 2815, 4795, 1952, 3008, 1965, 1324, 5905, 5416, 5800, 4874, 2698, 191, 2218, 4395, 1864, 5644, 112, 98, 3048, 2900, 1374, 4081, 1199, 175, 147, 3576, 5855, 1003]"
2.200406228842248,34.63,"[3833, 1357, 5612, 5118, 5905, 92, 3987, 2654, 3569, 726, 155, 2851, 1707, 5085, 3471, 5410, 4, 2060, 1804, 4081, 5644, 5142, 3099, 5841, 1140, 4753, 1581, 4602, 5166, 2633, 3668, 1075, 633, 1595, 4972, 46, 1111, 1651, 3680, 5708, 1961, 3576, 1456, 5867, 683, 3281, 96, 4160, 3156, 5882, 5830, 98, 3696, 2386, 1144, 112, 3166, 2770, 4735, 2437, 641, 1159, 4316, 5768, 2590, 2425, 2698, 3726, 147, 4253, 1190, 2408, 1952, 175, 1199, 3850, 2371, 4874, 2485, 3008, 4795, 3806, 4877, 2306, 1474, 5416, 5066, 4395, 5584, 1965, 5082, 1324, 5855, 3048, 1003, 1836, 191, 1864, 1356, 3379, 2900, 2777, 4032, 1885, 5800, 1374, 2218, 4974, 4447, 1323, 2612, 1333, 3537, 630, 3617, 519, 192, 709, 3595, 5833, 4299, 2366, 5093, 2327, 2406, 5646, 3094, 4318, 1091, 1880]"
0.5416384563303993,20.55,"[3833, 5066, 4874, 2698, 5644, 147, 5142, 2327, 3099, 1952, 5416, 5800, 4032, 2218, 4395, 1356, 1324, 1965, 1199, 3829, 191, 3008, 1474, 1864, 2386, 4602, 2900, 1374, 3048, 1003, 112, 3576]"
0.5585646580907246,20.75,"[3833, 155, 3471, 1078, 2851, 4874, 2698, 5644, 147, 2327, 3099, 1952, 5416, 5800, 2218, 4395, 1324, 1965, 1199, 4795, 3008, 191, 1474, 1864, 4602, 5066, 1356, 2900, 1374, 3048, 1003, 112, 3576]"
0.6431956668923493,21.9,"[3833, 155, 1111, 3471, 1159, 3987, 3569, 4874, 2698, 5644, 147, 2327, 3099, 1952, 5416, 5800, 2218, 4395, 1324, 1965, 1199, 175, 1595, 456, 4602, 191, 3008, 1864, 2900, 1374, 5855, 98, 3048, 1003, 112, 4081, 3576, 2815]"
0.23696682464454977,13.96,"[4580, 4395, 3008, 5416, 1864, 191, 5800, 1707, 5644, 2218, 4874, 112, 3576, 4602]"
1.6079891672308735,31.08,"[3833, 2496, 2386, 3241, 5612, 92, 2624, 1111, 3569, 1140, 2485, 4602, 3680, 1581, 1719, 1190, 4829, 1199, 2851, 4, 3806, 2060, 5644, 2437, 3008, 2306, 4974, 1474, 5142, 726, 3099, 5082, 4795, 2590, 46, 1374, 5166, 2900, 1075, 2612, 1595, 2633, 3726, 3850, 3576, 5708, 3471, 3048, 5768, 3987, 1003, 3156, 2698, 4874, 1804, 96, 4877, 98, 4972, 112, 3696, 1965, 630, 1144, 683, 1952, 4735, 147, 155, 5085, 5855, 4253, 5800, 1864, 2218, 1707, 175, 191, 4316, 5416, 5867, 5882, 4395, 1324, 4032, 1456, 3379, 5066, 2371, 4081, 3537, 5118, 1961, 1356, 4447]"
1.049424509140149,26.49,"[3833, 4642, 1111, 5584, 3569, 683, 1707, 1140, 4316, 5768, 5882, 3680, 2437, 2851, 4447, 46, 2485, 4972, 4874, 3850, 1804, 4602, 1456, 4253, 2698, 3726, 5416, 5644, 1965, 2623, 98, 5142, 2327, 3099, 2371, 3576, 1952, 5800, 2218, 4395, 1324, 175, 1199, 3379, 1595, 4795, 191, 3008, 1474, 1864, 5066, 1356, 2386, 2900, 5082, 2815, 1374, 5855, 3048, 4081, 112, 1003]"
2.2850372376438726,34.64,"[3833, 2654, 3857, 2633, 2815, 5905, 5841, 4974, 92, 1111, 1456, 1581, 5085, 4566, 155, 3281, 5410, 4753, 3166, 3668, 391, 709, 3696, 630, 2296, 2306, 3987, 2060, 3977, 3569, 1144, 1140, 1707, 1932, 2406, 5867, 4032, 1651, 2590, 4735, 1836, 641, 2725, 5797, 5833, 5830, 4299, 633, 5118, 3806, 1961, 2770, 4335, 4877, 3471, 4, 3576, 5166, 4160, 2447, 2437, 3595, 5644, 3008, 3680, 5646, 5142, 5882, 4081, 1474, 5584, 1075, 96, 683, 2408, 4602, 3094, 2851, 3099, 3617, 46, 1199, 2612, 3537, 175, 1595, 2777, 4318, 1159, 1091, 5708, 3156, 98, 112, 5768, 3850, 2698, 3048, 1003, 1323, 1952, 1333, 3726, 147, 4874, 2327, 4253, 1190, 5800, 2218, 2366, 4795, 5082, 2485, 191, 4316, 192, 5855, 1885, 4972, 5066, 1804, 5416, 5093, 1324, 3379, 2900, 4395, 2386, 2371, 1965, 1374, 1864, 1356, 4447]"
1.7941773865944484,32.39,"[3833, 79, 2777, 2815, 3857, 1885, 155, 4829, 98, 4974, 1323, 1140, 1333, 3617, 1581, 3987, 3595, 2366, 5646, 3471, 5612, 4874, 2327, 1952, 5416, 3099, 2218, 4395, 1324, 1965, 5800, 1595, 4795, 191, 3008, 1474, 3576, 1199, 1864, 5066, 1356, 2386, 4602, 1374, 2900, 5082, 112, 3048, 5855, 1003, 147, 2590, 5085, 2408, 5644, 2698, 3569, 2867, 4318, 3696, 2612, 5708, 3156, 92, 4735, 5584, 726, 5768, 3537, 5410, 175, 192, 709, 2633, 5093, 5833, 4, 2437, 1144, 519, 3726, 1961, 2060, 630, 3850, 4253, 2851, 1190, 1707, 46, 5118, 5166, 1075, 3379, 1456, 3680, 96, 2485, 4032, 2371, 4316, 5882, 3806, 4447, 4972, 4081]"
1.4725795531482737,30.21,"[3833, 3669, 2851, 3569, 3537, 96, 175, 1140, 5768, 5066, 642, 155, 1456, 2408, 1324, 3987, 5085, 4974, 4686, 5882, 3471, 4874, 1075, 2698, 1961, 1159, 5644, 2060, 1804, 2633, 147, 3099, 3576, 5416, 1595, 191, 3008, 2815, 1474, 2900, 5082, 1374, 5800, 5855, 98, 3048, 112, 4972, 1965, 2218, 4602, 1952, 5118, 1003, 1864, 5142, 1190, 4, 2437, 4381, 1144, 5093, 2371, 1111, 3680, 633, 2386, 4032, 630, 4316, 4447, 4081, 4395, 3850, 3726, 2327, 4253, 3696, 46, 5166, 1199, 3379, 2485, 4795, 3806, 1356, 5584]"
1.2694651320243737,28.49,"[3833, 3857, 1371, 3617, 4081, 4, 2815, 2437, 519, 5768, 4874, 2698, 1804, 2060, 3726, 5644, 147, 1961, 5142, 2327, 3569, 3099, 4253, 1952, 2851, 1190, 5416, 5800, 3806, 3576, 683, 1324, 1707, 3008, 1965, 46, 5166, 1456, 2218, 1474, 4395, 1075, 1140, 1199, 3379, 175, 2485, 1595, 4795, 191, 4032, 2371, 1864, 5066, 1356, 5584, 2386, 2900, 5082, 4316, 3680, 1144, 96, 630, 196, 112, 98, 5855, 4447, 3048, 1003, 4602, 5118, 4972, 5882]"
0.2538930264048749,14.51,"[873, 4090, 3008, 1474, 1864, 5800, 4874, 5416, 2698, 5644, 2218, 4395, 112, 147, 191]"
