n_nodes,influence,nodes
0.07358351729212664,3.22,[560]
0.14716703458425284,4.48,"[560, 671]"
0.22075055187637949,5.61,"[560, 465, 649]"
0.3679175864606328,6.91,"[290, 648, 593, 826, 465]"
1.1037527593818983,10.94,"[290, 578, 648, 826, 587, 197, 265, 926, 395, 465, 653, 1076, 1231, 53, 821]"
0.4415011037527592,7.38,"[1218, 571, 648, 465, 290, 821]"
1.471670345842531,12.15,"[1112, 571, 1180, 1292, 265, 1231, 290, 1128, 228, 463, 826, 648, 1224, 587, 1076, 395, 653, 465, 821, 53]"
1.3980868285504047,11.95,"[1112, 571, 926, 587, 1220, 504, 290, 228, 1128, 648, 265, 826, 711, 395, 653, 465, 1076, 53, 821]"
0.809418690213392,9.62,"[1112, 571, 465, 1076, 648, 826, 547, 789, 1220, 53, 395]"
1.177336276674025,11.14,"[637, 826, 926, 465, 1076, 265, 290, 648, 53, 587, 504, 228, 1224, 395, 306, 821]"
0.5150846210448858,7.87,"[1112, 631, 290, 648, 587, 465, 826]"
1.839587932303164,13.09,"[1112, 571, 648, 758, 641, 695, 947, 921, 1159, 826, 1220, 1128, 1076, 290, 465, 228, 197, 1224, 265, 395, 587, 653, 1231, 53, 821]"
1.2509197939661516,11.44,"[1112, 571, 826, 504, 648, 1224, 290, 846, 465, 520, 1128, 1213, 395, 228, 653, 53, 821]"
0.7358351729212655,9.31,"[1118, 571, 648, 465, 290, 821, 1224, 53, 587, 395]"
0.6622516556291391,8.79,"[1112, 571, 648, 465, 587, 290, 1029, 821, 53]"
1.0301692420897717,10.67,"[1112, 926, 1233, 571, 290, 228, 648, 395, 653, 465, 504, 701, 821, 53]"
1.9131714495952905,13.29,"[1112, 389, 504, 951, 1134, 887, 947, 641, 482, 1180, 290, 587, 228, 197, 1224, 265, 1128, 395, 826, 53, 653, 821, 1231, 465, 594, 1076]"
1.5452538631346577,12.28,"[1112, 560, 947, 290, 821, 1025, 587, 653, 1224, 465, 648, 504, 1174, 197, 1159, 228, 826, 1318, 53, 395, 1076]"
0.8830022075055186,9.97,"[1112, 671, 571, 290, 265, 587, 395, 653, 1231, 465, 53, 826]"
1.7660044150110374,12.95,"[1112, 926, 392, 571, 1118, 751, 826, 846, 324, 1231, 1025, 290, 587, 228, 197, 1159, 648, 265, 1224, 465, 395, 653, 53, 821]"
2.1339220014716704,13.85,"[1112, 1140, 614, 389, 504, 887, 730, 1203, 947, 1159, 831, 1383, 648, 265, 594, 290, 964, 395, 653, 197, 228, 1224, 1076, 821, 1128, 53, 587, 1231, 465]"
1.324503311258278,11.86,"[1112, 926, 547, 571, 789, 826, 228, 648, 395, 653, 465, 393, 1128, 1224, 821, 53, 265, 947]"
0.9565857247976453,10.24,"[265, 571, 197, 826, 290, 1224, 1118, 821, 648, 587, 395, 465, 53]"
1.9867549668874172,13.47,"[1112, 571, 926, 1220, 587, 504, 641, 921, 290, 228, 1128, 826, 648, 265, 1304, 395, 653, 465, 1076, 53, 821, 1180, 1092, 463, 197, 1224, 1231]"
2.060338484179544,13.65,"[1112, 571, 504, 290, 641, 645, 947, 265, 1128, 826, 192, 921, 465, 648, 1233, 821, 1076, 1203, 228, 463, 1220, 315, 681, 53, 1224, 587, 197, 395]"
1.692420897718911,12.76,"[1112, 520, 1263, 1231, 504, 653, 947, 1025, 1203, 826, 228, 265, 648, 465, 53, 1159, 821, 587, 290, 197, 1224, 1076, 395]"
1.6188373804267844,12.56,"[1112, 688, 1233, 1076, 1224, 571, 947, 265, 1025, 290, 228, 197, 1159, 648, 504, 395, 587, 653, 826, 465, 53, 821]"
0.5886681383370125,8.52,"[1112, 571, 53, 520, 648, 290, 465, 826]"
2.207505518763797,14.06,"[1112, 571, 587, 463, 641, 504, 947, 887, 332, 826, 1128, 921, 465, 841, 648, 951, 265, 653, 1076, 228, 1203, 290, 53, 821, 681, 1224, 197, 395, 1231, 1220]"
0.29433406916850613,6.36,"[1080, 619, 465, 587]"
