n_nodes,influence,nodes
0.1557632398753892,4.47,[215]
1.2461059190031152,21.73,"[498, 56, 55, 280, 182, 134, 215, 220]"
2.1806853582554515,29.96,"[220, 425, 107, 322, 215, 294, 134, 182, 56, 172, 498, 55, 280, 379]"
0.46728971962616805,11.15,"[134, 55, 220]"
0.9345794392523363,17.91,"[182, 56, 280, 215, 134, 55]"
0.31152647975077885,8.09,"[55, 134]"
1.0903426791277258,19.68,"[498, 56, 215, 134, 172, 280, 220]"
0.46728971962616805,11.15,"[55, 220, 134]"
1.8691588785046727,27.67,"[220, 425, 303, 56, 134, 215, 172, 498, 182, 55, 280, 379]"
2.4922118380062304,31.49,"[498, 420, 56, 107, 280, 379, 220, 465, 633, 601, 182, 215, 134, 425, 172, 55]"
2.336448598130841,30.74,"[498, 420, 541, 56, 280, 107, 220, 172, 379, 599, 134, 425, 182, 215, 55]"
0.6230529595015577,13.83,"[220, 498, 55, 134]"
1.7133956386292835,26.16,"[215, 134, 55, 56, 107, 379, 280, 182, 220, 425, 498]"
2.0249221183800623,28.66,"[220, 425, 345, 397, 56, 134, 215, 172, 498, 182, 55, 280, 379]"
1.4018691588785046,23.38,"[220, 420, 172, 134, 215, 498, 56, 55, 280]"
1.557632398753894,24.91,"[498, 56, 215, 425, 420, 220, 182, 55, 280, 134]"
0.7788161993769471,16.05,"[172, 134, 498, 215, 55]"
