n_nodes,influence,nodes
0.03745318352059934,2.15,"[1761, 1305, 25, 56]"
0.2528089887640448,3.35,"[1176, 749, 3523, 1473, 890, 224, 2134, 1760, 1044, 193, 1282, 56, 58, 228, 1580, 879, 760, 210, 563, 767, 1143, 959, 154, 1307, 1144, 62, 319]"
0.028089887640449618,2.09,"[484, 29, 25]"
0.18726591760299627,3.09,"[1176, 4598, 749, 890, 112, 611, 901, 1760, 2134, 193, 228, 879, 760, 959, 1938, 56, 249, 58, 1144, 767]"
0.08426966292134841,2.6,"[1176, 249, 9412, 1547, 2134, 56, 1760, 1473, 767]"
0.37453183520599254,3.77,"[1176, 890, 4477, 2134, 1473, 3617, 224, 563, 408, 6034, 1143, 1282, 4244, 154, 40, 1706, 1580, 1200, 56, 58, 62, 959, 193, 2528, 451, 841, 2124, 2000, 210, 1492, 1623, 228, 749, 879, 112, 760, 249, 123, 1144, 767]"
0.10299625468164786,2.73,"[1176, 1547, 249, 1760, 1473, 1282, 767, 841, 56, 1144, 959]"
0.11235955056179803,2.76,"[1176, 1547, 1473, 249, 1282, 1760, 10579, 760, 767, 56, 959, 1144]"
0.3651685393258428,3.73,"[1176, 890, 1188, 1413, 1473, 2134, 1347, 1760, 2528, 2592, 5689, 1492, 210, 1282, 154, 1563, 1699, 40, 1580, 1200, 563, 56, 58, 959, 1217, 193, 1987, 841, 3025, 1623, 228, 749, 879, 1143, 215, 249, 123, 1144, 767]"
0.13108614232209748,2.87,"[1176, 890, 1473, 1547, 1760, 1454, 193, 879, 760, 249, 58, 1144, 959, 767]"
0.7209737827715357,4.59,"[1176, 890, 506, 4477, 3432, 939, 5028, 1188, 4202, 452, 4203, 1145, 2528, 1282, 901, 1158, 390, 371, 1801, 524, 1294, 8450, 398, 408, 228, 154, 1307, 1563, 1567, 40, 1706, 1580, 1632, 112, 1840, 1200, 2355, 563, 56, 58, 62, 319, 959, 611, 224, 1217, 193, 451, 1993, 1143, 2546, 841, 843, 2124, 1229, 2000, 3025, 210, 2771, 1492, 1623, 1263, 4343, 2268, 4573, 2913, 1510, 107, 3325, 749, 879, 2288, 1144, 249, 123, 1788, 767]"
1.1610486891385767,5.38,"[1176, 890, 4477, 3307, 7447, 8147, 624, 506, 5232, 4121, 2503, 1556, 1188, 1491, 224, 8080, 5028, 208, 939, 3487, 5935, 1567, 4385, 452, 481, 523, 371, 5487, 1453, 1177, 775, 4382, 1987, 1308, 2528, 901, 416, 4609, 1282, 524, 1039, 1555, 1145, 2591, 2592, 390, 1801, 4836, 40, 398, 9062, 1158, 1580, 1584, 2546, 1294, 1626, 563, 56, 58, 62, 1307, 2124, 1632, 112, 2638, 451, 1168, 959, 1623, 154, 607, 2000, 3025, 611, 2355, 107, 5109, 1014, 627, 1139, 1143, 1510, 1144, 319, 123, 1200, 3211, 841, 843, 4244, 3227, 1492, 1699, 1706, 1714, 1217, 2913, 193, 2248, 879, 1229, 210, 1263, 2771, 2268, 228, 3325, 3815, 2288, 249, 252, 1788, 767, 780, 2360, 4430, 4435, 2438, 3975, 908, 3002, 1994, 4573]"
