n_nodes,influence,nodes
0.009363295880149725,0.34,[1407]
1.0674157303370788,22.82,"[1351, 843, 5486, 6073, 2249, 89, 1144, 321, 409, 2357, 154, 1639, 1308, 1243, 2292, 252, 1268, 3570, 476, 516, 1176, 513, 1200, 368, 1026, 5635, 524, 2572, 535, 3607, 901, 530, 30, 25, 1570, 40, 1580, 543, 563, 607, 371, 1158, 123, 56, 58, 1598, 38, 6195, 1801, 587, 3636, 2124, 1620, 2119, 1307, 62, 1095, 649, 1168, 668, 1229, 417, 3325, 767, 249, 890, 959, 239, 879, 1250, 228, 193, 2510, 847, 1239, 337, 1473, 1825, 841, 2503, 1347, 408, 1977, 1114, 5731, 2348, 100, 104, 622, 1145, 1150, 1170, 2945, 907, 1209, 2234, 9122, 198, 1506, 1818, 1311, 778, 1467, 427, 1833, 390, 1337, 2904, 3936, 2888, 307, 2355, 1274, 1271]"
0.056179775280899236,4.17,"[1250, 1337, 879, 1473, 337, 959]"
0.23408239700374533,10.42,"[1545, 56, 901, 337, 516, 1250, 1158, 1801, 1570, 25, 879, 1473, 193, 40, 2348, 841, 2124, 62, 959, 563, 371, 1268, 767, 1239, 249]"
0.8801498127340825,21.0,"[1095, 2568, 2945, 1250, 1473, 1467, 966, 879, 3325, 841, 1268, 1252, 249, 3607, 516, 607, 1580, 452, 6195, 2510, 524, 337, 890, 252, 767, 2292, 239, 1347, 1239, 3636, 58, 1144, 2119, 1308, 2348, 432, 2603, 89, 1114, 5731, 100, 1639, 622, 901, 1150, 408, 62, 193, 25, 530, 123, 1176, 959, 1158, 1307, 649, 30, 1311, 587, 228, 2124, 1620, 1229, 2503, 1168, 1825, 1570, 563, 56, 1598, 40, 1170, 154, 668, 1200, 1209, 760, 198, 2249, 1271, 1274, 1801, 778, 1833, 307, 1337, 2888, 847, 371, 409, 417, 427, 1977, 5139]"
0.17790262172284654,9.06,"[5341, 901, 1620, 193, 1250, 879, 56, 1473, 959, 40, 841, 587, 2124, 1229, 337, 563, 249, 62, 30]"
0.5617977528089886,16.82,"[1351, 1267, 841, 2292, 252, 1825, 1144, 516, 1168, 901, 3607, 530, 249, 1250, 409, 408, 1158, 879, 1268, 1308, 1801, 543, 1243, 1833, 3325, 427, 767, 10084, 154, 30, 1347, 2510, 1176, 1307, 25, 239, 1570, 40, 2348, 123, 1200, 563, 1271, 56, 1977, 58, 62, 1598, 337, 959, 1473, 193, 587, 2124, 1229, 890, 1620, 371, 228, 1239]"
1.6104868913857677,26.99,"[1351, 843, 5486, 3107, 1144, 1307, 1177, 1271, 89, 2528, 2249, 3451, 411, 568, 1639, 2452, 2430, 476, 760, 154, 1229, 1268, 2458, 8193, 1026, 901, 5635, 1510, 516, 513, 524, 1176, 1045, 2572, 1200, 530, 1801, 417, 1557, 535, 1158, 3607, 25, 1825, 30, 371, 959, 649, 668, 1473, 1168, 31, 543, 1570, 34, 38, 40, 4138, 1580, 2503, 563, 6195, 841, 879, 193, 249, 3636, 767, 1079, 56, 337, 58, 1598, 62, 2348, 3654, 1250, 228, 2119, 1095, 409, 587, 432, 1239, 2124, 1620, 3014, 1623, 1114, 3675, 607, 5731, 2313, 100, 104, 3689, 1142, 1145, 2759, 634, 123, 1281, 1901, 408, 1150, 131, 3715, 1159, 1170, 1688, 3227, 165, 1706, 1788, 1195, 3246, 1714, 1717, 1721, 2288, 1209, 2234, 2242, 1532, 1219, 198, 2248, 1736, 720, 1243, 368, 2270, 427, 239, 1263, 2292, 252, 3325, 1942, 778, 280, 4889, 1818, 1977, 1308, 1311, 1314, 1833, 307, 2355, 2357, 4918, 1337, 825, 1339, 321, 1347, 2888, 847, 2904, 1885, 3936, 890, 452, 2945, 390, 907, 2510, 1467, 3570, 1497, 1506]"
0.2808988764044944,11.72,"[1250, 1337, 879, 1158, 337, 959, 1801, 1473, 25, 1570, 40, 2348, 563, 56, 58, 206, 1598, 193, 841, 587, 2124, 1229, 1620, 1239, 228, 371, 1268, 249, 890, 767]"
0.21535580524344589,9.93,"[1095, 901, 193, 516, 1250, 879, 4059, 154, 30, 56, 40, 563, 62, 1473, 959, 841, 249, 587, 2124, 1229, 337, 1620, 1239]"
