n_nodes,influence,communities,nodes
0.58167716917111,4.8,18,"[5191, 403, 3835, 2971, 736, 2627, 1815, 1131, 1054, 1052, 596, 2440, 5190, 3014, 411, 3268, 3738, 3271, 4890, 1858, 92, 4065, 2795, 519, 3448, 2033, 4105, 2875, 1291, 463, 603, 372, 1091, 2565, 5778, 4855]"
0.5493617708838261,4.59,18,"[326, 1858, 319, 1819, 2066, 3271, 1587, 1157, 3696, 255, 4705, 2574, 4222, 4136, 3738, 4059, 4291, 4906, 2875, 3158, 5169, 2077, 2452, 5727, 473, 262, 4782, 2119, 200, 1052, 77, 5454, 2515, 668]"
1.1310389400549359,6.59,22,"[1891, 2565, 1587, 2681, 2420, 1875, 2033, 3268, 5083, 4074, 2795, 1246, 4973, 4855, 1940, 1721, 4065, 994, 1258, 5454, 379, 5216, 2899, 326, 473, 2550, 1361, 2971, 1981, 767, 16, 1884, 1728, 1458, 5265, 3835, 2628, 106, 2481, 668, 6185, 1091, 1476, 5778, 1505, 4139, 2440, 5640, 283, 3404, 2797, 55, 603, 1131, 2574, 2809, 3395, 403, 733, 599, 1254, 4059, 24, 2624, 5738, 3327, 445, 2627, 3337, 75]"
0.9856196477621584,6.17,22,"[1891, 2565, 1587, 2681, 2033, 1875, 2420, 3268, 5083, 4074, 4065, 3738, 5169, 6239, 1858, 5454, 5288, 5727, 6177, 2515, 1776, 1908, 5466, 4782, 473, 2043, 3379, 2119, 193, 4203, 5596, 3184, 1289, 4744, 4788, 526, 4641, 1098, 255, 1157, 519, 3080, 668, 1291, 3211, 2574, 403, 2452, 4906, 55, 2875, 3271, 200, 77, 3158, 346, 1254, 5738, 3827, 765, 3327]"
0.5493617708838261,4.17,23,"[255, 2668, 3835, 2971, 5107, 2627, 915, 4139, 6543, 1954, 1052, 786, 6931, 2708, 551, 6423, 6302, 75, 92, 2440, 668, 1940, 3395, 5454, 1526, 2515, 2312, 4744, 1932, 477, 2481, 5695, 519, 3412]"
0.9694619486185165,6.13,20,"[1891, 3629, 2618, 1587, 2809, 2681, 1819, 2565, 2420, 1875, 1179, 4220, 1471, 4973, 841, 1954, 379, 4855, 5943, 1803, 3035, 2795, 434, 1098, 405, 1630, 4065, 6630, 5727, 3835, 4074, 3171, 5216, 255, 5310, 425, 1129, 1940, 541, 4744, 733, 662, 3827, 2781, 4906, 5738, 4790, 1721, 1505, 4087, 2440, 16, 5265, 151, 4139, 48, 1246, 3253, 2875, 3268]"
0.30699628372919685,3.23,18,"[255, 403, 3835, 6405, 2971, 5454, 1587, 6193, 5891, 92, 5216, 3361, 1254, 2920, 445, 2681, 4065, 1891, 3327]"
0.25852318629827087,3.06,16,"[1891, 2565, 463, 445, 3356, 322, 3827, 3327, 1981, 2033, 1052, 5778, 211, 3835, 1439, 3252]"
0.7270964614638875,5.19,21,"[4906, 2809, 6069, 678, 1626, 1091, 2565, 2681, 1875, 2420, 1819, 1179, 4973, 4220, 5083, 1471, 4855, 841, 1361, 710, 954, 77, 767, 2515, 2365, 2627, 4723, 1721, 5738, 811, 1728, 3801, 596, 1940, 5216, 6242, 3158, 2795, 2971, 403, 4065, 4705, 519, 4105, 197]"
0.5332040717401842,4.53,20,"[4609, 2565, 463, 445, 5738, 4139, 3573, 2295, 1091, 1993, 1361, 5216, 77, 710, 954, 4105, 767, 2515, 2365, 403, 2971, 2627, 1721, 4723, 811, 4705, 1940, 519, 1728, 3158, 5265, 3801, 596]"
