n_nodes,influence,communities,nodes
0.10214504596527085,2.68,2,[195]
1.0214504596527068,21.44,11,"[286, 136, 901, 195, 424, 680, 779, 401, 396, 75]"
0.6128702757916242,12.4,10,"[195, 424, 680, 896, 396, 875]"
0.8171603677221655,18.65,10,"[286, 597, 161, 195, 424, 75, 396, 680]"
1.7364657814096016,27.35,12,"[424, 401, 115, 541, 286, 901, 161, 195, 75, 966, 680, 136, 984, 779, 396, 79, 266]"
0.20429009193054126,5.04,5,"[396, 195]"
0.10214504596527085,3.45,1,[680]
0.6128702757916242,15.42,9,"[195, 408, 680, 424, 161, 75]"
0.7150153217568951,17.41,9,"[445, 161, 195, 680, 401, 424, 75]"
0.40858018386108297,11.47,7,"[286, 385, 680, 424]"
1.3278855975485189,23.64,13,"[424, 401, 871, 938, 286, 161, 195, 136, 680, 779, 75, 396, 882]"
0.3064351378958121,8.94,5,"[286, 75, 680]"
0.40858018386108297,7.9,8,"[286, 882, 424, 396]"
0.9193054136874361,20.24,11,"[286, 938, 195, 161, 424, 680, 75, 385, 401]"
0.6128702757916242,15.54,8,"[286, 195, 680, 424, 161, 75]"
0.5107252298263534,13.86,8,"[286, 401, 680, 424, 75]"
1.8386108273748722,27.1,14,"[424, 401, 871, 882, 286, 938, 385, 79, 992, 161, 680, 779, 75, 396, 136, 195, 522, 266]"
1.3278855975485189,24.81,11,"[286, 454, 938, 161, 195, 424, 136, 680, 779, 75, 396, 79, 401]"
1.2257405515832482,22.32,13,"[286, 882, 901, 870, 424, 396, 161, 195, 75, 809, 680, 779]"
2.247191011235955,30.14,12,"[286, 522, 613, 259, 901, 822, 907, 79, 95, 448, 266, 136, 385, 401, 779, 161, 424, 75, 396, 195, 992, 680]"
1.4300306435137897,23.35,14,"[424, 401, 871, 938, 286, 882, 973, 161, 195, 136, 680, 837, 75, 396]"
1.2257405515832482,23.74,11,"[286, 475, 901, 161, 195, 136, 424, 779, 75, 680, 396, 401]"
1.940755873340143,28.29,13,"[424, 401, 115, 992, 286, 876, 448, 613, 75, 385, 680, 161, 195, 901, 136, 79, 266, 779, 396]"
1.3278855975485189,21.3,14,"[286, 882, 987, 870, 195, 396, 907, 424, 161, 680, 75, 876, 401]"
2.0429009193054135,28.3,14,"[424, 401, 871, 880, 286, 448, 385, 161, 992, 195, 907, 901, 680, 265, 779, 95, 396, 75, 79, 136]"
1.1235955056179776,22.8,11,"[286, 938, 524, 195, 779, 424, 680, 75, 161, 401, 396]"
1.4300306435137897,24.59,13,"[286, 623, 882, 870, 907, 136, 195, 396, 779, 161, 424, 680, 75, 401]"
0.7150153217568951,17.07,10,"[845, 161, 195, 680, 424, 75, 401]"
2.1450459652706844,25.71,16,"[286, 891, 654, 548, 907, 966, 838, 161, 943, 424, 876, 649, 808, 75, 195, 109, 136, 680, 779, 79, 401]"
0.8171603677221655,18.81,9,"[286, 601, 75, 161, 195, 396, 424, 680]"
1.940755873340143,28.67,12,"[424, 401, 115, 861, 286, 613, 992, 385, 161, 195, 448, 901, 680, 75, 136, 266, 779, 396, 79]"
1.634320735444331,20.87,16,"[286, 680, 654, 891, 161, 548, 966, 870, 424, 907, 649, 808, 943, 75, 876, 401]"
1.634320735444331,23.02,15,"[286, 871, 655, 852, 799, 988, 889, 237, 907, 136, 161, 195, 424, 680, 75, 401]"
2.247191011235955,29.25,14,"[286, 966, 522, 873, 901, 136, 424, 889, 808, 817, 448, 385, 161, 195, 401, 629, 779, 680, 266, 75, 396, 79]"
1.3278855975485189,24.11,12,"[286, 901, 401, 195, 680, 424, 75, 880, 470, 396, 79, 161, 779]"
1.7364657814096016,27.05,13,"[286, 522, 266, 501, 880, 979, 161, 901, 195, 136, 79, 424, 680, 779, 396, 401, 75]"
1.8386108273748722,27.94,12,"[286, 907, 136, 79, 901, 424, 680, 779, 401, 353, 396, 75, 195, 448, 266, 385, 161, 992]"
1.634320735444331,26.59,12,"[286, 266, 522, 861, 161, 345, 195, 901, 136, 424, 680, 779, 79, 396, 75, 401]"
0.20429009193054126,6.3,4,"[286, 680]"
1.4300306435137897,19.78,15,"[286, 654, 891, 548, 161, 966, 424, 907, 821, 943, 680, 75, 876, 401]"
1.2257405515832482,23.41,12,"[424, 401, 266, 809, 286, 161, 195, 901, 680, 75, 396, 779]"
1.5321756894790604,24.42,14,"[286, 985, 871, 882, 938, 136, 396, 424, 779, 809, 75, 401, 161, 680, 195]"
1.5321756894790604,20.51,15,"[286, 889, 654, 548, 907, 966, 601, 838, 943, 424, 680, 401, 75, 876, 161]"
1.634320735444331,26.45,13,"[286, 266, 522, 984, 161, 880, 195, 901, 136, 424, 680, 779, 79, 396, 75, 401]"
1.0214504596527068,18.83,13,"[839, 938, 195, 161, 878, 680, 424, 75, 396, 875]"
1.1235955056179776,20.78,13,"[286, 979, 890, 938, 861, 161, 195, 424, 680, 75, 396]"
0.3064351378958121,8.64,6,"[401, 680, 195]"
1.5321756894790604,26.09,12,"[286, 856, 938, 984, 136, 266, 161, 195, 424, 680, 779, 75, 396, 79, 401]"
2.3493360572012256,27.97,16,"[424, 401, 938, 396, 286, 871, 655, 889, 385, 136, 680, 779, 75, 161, 195, 808, 966, 838, 649, 266, 548, 943, 992]"
1.8386108273748722,27.7,13,"[286, 901, 882, 938, 136, 851, 992, 385, 161, 396, 195, 424, 680, 266, 779, 75, 79, 401]"
2.3493360572012256,30.14,13,"[424, 401, 115, 883, 286, 613, 992, 304, 330, 448, 75, 907, 816, 680, 385, 161, 195, 79, 136, 266, 779, 396, 901]"
1.940755873340143,24.15,16,"[424, 401, 938, 395, 286, 136, 590, 854, 654, 891, 806, 161, 966, 680, 649, 779, 75, 876, 943]"
2.0429009193054135,24.89,16,"[195, 889, 680, 424, 654, 161, 75, 548, 907, 779, 966, 401, 838, 943, 876, 649, 808, 983, 136, 79]"
2.1450459652706844,28.9,14,"[286, 907, 403, 136, 79, 873, 887, 424, 680, 401, 779, 901, 550, 396, 75, 448, 385, 266, 161, 195, 992]"
1.634320735444331,25.33,14,"[286, 887, 870, 809, 901, 396, 876, 970, 424, 161, 195, 75, 136, 680, 779, 401]"
0.8171603677221655,18.24,11,"[680, 938, 195, 161, 424, 75, 850, 401]"
1.940755873340143,27.89,14,"[424, 401, 871, 882, 286, 500, 448, 992, 385, 161, 901, 79, 195, 680, 136, 779, 75, 396, 266]"
1.2257405515832482,18.22,14,"[286, 655, 938, 966, 871, 838, 889, 680, 424, 75, 396, 943]"
1.4300306435137897,25.68,12,"[286, 266, 862, 522, 161, 195, 901, 136, 424, 680, 779, 75, 396, 401]"
2.247191011235955,27.05,16,"[424, 401, 871, 938, 286, 396, 655, 889, 385, 136, 808, 966, 838, 649, 779, 75, 680, 266, 548, 943, 253, 195]"
2.1450459652706844,27.99,15,"[286, 655, 325, 901, 871, 889, 808, 424, 680, 75, 817, 385, 448, 161, 79, 992, 195, 401, 396, 136, 779]"
1.7364657814096016,21.25,16,"[286, 680, 654, 891, 548, 161, 826, 907, 870, 424, 808, 649, 970, 943, 75, 876, 401]"
1.7364657814096016,25.11,15,"[286, 879, 901, 401, 809, 943, 680, 424, 75, 195, 870, 396, 876, 848, 779, 970, 161]"
2.1450459652706844,29.57,12,"[424, 401, 115, 367, 286, 613, 992, 826, 938, 448, 75, 385, 161, 680, 195, 901, 136, 79, 266, 779, 396]"
1.8386108273748722,25.4,15,"[424, 401, 938, 871, 286, 396, 655, 889, 272, 136, 808, 966, 838, 779, 161, 680, 75, 195]"
2.0429009193054135,28.88,13,"[286, 454, 887, 869, 826, 161, 195, 424, 680, 779, 75, 396, 79, 401, 136, 901, 448, 385, 266, 992]"
1.1235955056179776,22.03,12,"[286, 195, 938, 161, 385, 401, 424, 75, 680, 396, 851]"
1.5321756894790604,25.59,13,"[286, 887, 870, 997, 901, 79, 396, 161, 195, 136, 424, 680, 779, 75, 401]"
0.9193054136874361,18.29,12,"[401, 915, 888, 161, 286, 680, 424, 75, 396]"
2.1450459652706844,29.39,13,"[424, 401, 611, 938, 286, 887, 550, 448, 385, 161, 907, 195, 992, 901, 680, 136, 75, 266, 779, 396, 79]"
1.8386108273748722,22.86,16,"[286, 654, 680, 891, 548, 826, 907, 161, 977, 649, 424, 970, 808, 943, 876, 75, 779, 401]"
2.3493360572012256,28.85,15,"[286, 871, 655, 852, 799, 988, 889, 448, 420, 907, 385, 136, 79, 161, 424, 75, 401, 680, 195, 266, 779, 396, 901]"
1.7364657814096016,26.02,14,"[286, 887, 870, 809, 876, 901, 396, 479, 79, 161, 424, 195, 136, 75, 680, 779, 401]"
2.247191011235955,28.58,15,"[286, 522, 938, 266, 655, 889, 798, 876, 161, 838, 195, 136, 95, 680, 779, 396, 401, 424, 75, 385, 448, 992]"
2.247191011235955,29.95,13,"[286, 887, 870, 560, 822, 901, 79, 907, 396, 95, 448, 161, 136, 424, 680, 401, 75, 779, 195, 266, 385, 992]"
1.0214504596527068,20.77,12,"[286, 972, 901, 385, 161, 195, 424, 680, 75, 401]"
2.0429009193054135,27.26,15,"[286, 655, 325, 871, 901, 889, 808, 448, 424, 680, 75, 385, 161, 195, 992, 127, 136, 779, 401, 396]"
1.940755873340143,26.88,15,"[424, 401, 938, 655, 286, 889, 396, 871, 753, 808, 966, 838, 136, 79, 161, 779, 680, 195, 75]"
2.3493360572012256,29.58,14,"[286, 889, 654, 295, 616, 907, 613, 330, 992, 385, 195, 424, 401, 680, 901, 75, 266, 779, 396, 79, 161, 136, 1001]"
0.40858018386108297,11.89,6,"[195, 75, 424, 680]"
