n_nodes,influence,communities,nodes
0.5094614264919939,15.5,13,"[1233, 793, 766, 826, 516, 1275, 1048]"
0.0727802037845704,5.22,7,[793]
0.1455604075691408,7.69,9,"[826, 793]"
0.727802037845706,19.91,13,"[1184, 766, 131, 553, 517, 1058, 1048, 1273, 826, 1275]"
0.36390101892285287,13.95,12,"[1244, 766, 826, 516, 1048]"
1.0189228529839882,24.03,13,"[1184, 766, 131, 645, 1000, 517, 1058, 210, 793, 291, 826, 1275, 553, 1048]"
0.5822416302765645,18.29,12,"[793, 131, 516, 517, 210, 1048, 826, 1292]"
0.5822416302765645,16.95,13,"[645, 826, 766, 1231, 516, 1048, 1308, 793]"
1.3828238719068413,27.64,13,"[1184, 766, 906, 545, 629, 1058, 553, 1283, 131, 645, 517, 516, 1000, 841, 210, 1048, 793, 1275, 826]"
0.5094614264919939,15.5,13,"[793, 766, 1233, 826, 516, 1275, 1048]"
1.8195050946142648,30.06,13,"[1184, 766, 547, 214, 27, 629, 645, 131, 1283, 679, 1346, 606, 516, 553, 457, 1048, 793, 517, 179, 1275, 1058, 826, 1000, 841, 210]"
0.9461426491994176,23.08,13,"[1184, 766, 629, 210, 1058, 893, 517, 645, 553, 1048, 793, 826, 1275]"
1.0189228529839882,24.33,12,"[1184, 766, 516, 645, 131, 517, 553, 567, 1058, 1048, 1283, 826, 1275, 793]"
2.4017467248908297,32.74,13,"[1184, 766, 1359, 116, 645, 796, 553, 214, 743, 517, 142, 826, 1275, 760, 606, 1048, 294, 53, 516, 27, 1000, 78, 386, 324, 128, 793, 131, 629, 841, 210, 1058, 1283, 545]"
0.873362445414847,22.14,13,"[1184, 766, 567, 553, 516, 391, 1058, 517, 1048, 793, 826, 1275]"
2.1106259097525473,31.31,13,"[1184, 766, 116, 1359, 645, 397, 179, 796, 214, 553, 726, 128, 898, 1275, 131, 826, 517, 516, 1283, 1048, 793, 545, 1000, 294, 1058, 324, 78, 210, 629]"
0.43668122270742327,15.23,12,"[1238, 301, 826, 793, 1048, 516]"
1.965065502183406,30.72,13,"[1184, 766, 214, 547, 27, 679, 1299, 629, 760, 624, 841, 606, 1283, 858, 645, 545, 1048, 793, 1058, 131, 1275, 516, 517, 826, 1000, 553, 210]"
1.2372634643377,26.49,13,"[1184, 766, 558, 629, 1283, 645, 1048, 793, 826, 516, 278, 553, 1058, 131, 517, 1275, 210]"
1.3100436681222705,24.76,14,"[9, 766, 1233, 1359, 517, 1058, 826, 1283, 516, 1275, 131, 645, 934, 553, 210, 629, 1048, 793]"
0.6550218340611353,18.39,13,"[1233, 766, 210, 1058, 517, 1048, 793, 826, 1275]"
0.8005822416302764,22.0,12,"[993, 766, 517, 645, 553, 1058, 516, 1048, 793, 826, 1275]"
1.0917030567685588,24.72,12,"[1184, 766, 63, 889, 1283, 131, 545, 645, 1058, 516, 517, 1048, 793, 826, 1275]"
1.6011644832605532,28.95,13,"[826, 766, 63, 760, 645, 679, 1262, 545, 1283, 517, 131, 1048, 516, 1275, 793, 1058, 324, 553, 841, 1000, 210, 629]"
0.2911208151382825,12.46,11,"[436, 793, 826, 1058]"
0.5822416302765645,16.95,13,"[645, 766, 1231, 1048, 793, 516, 1308, 826]"
0.36390101892285287,14.34,11,"[1184, 517, 793, 826, 1058]"
0.8005822416302764,21.3,13,"[1184, 766, 36, 1058, 131, 516, 645, 1048, 793, 826, 1275]"
0.43668122270742327,15.6,11,"[645, 826, 48, 516, 1048, 793]"
1.8922852983988352,29.41,14,"[9, 766, 795, 1233, 841, 1359, 545, 821, 826, 517, 1275, 1283, 898, 1058, 516, 210, 1048, 793, 1000, 553, 645, 131, 294, 1238, 324, 78]"
2.2561863173216885,32.27,13,"[1184, 766, 567, 553, 679, 629, 1239, 606, 63, 285, 1048, 793, 826, 1275, 516, 1186, 128, 386, 179, 645, 796, 517, 545, 1058, 324, 131, 210, 1283, 1000, 841, 214]"
1.1644832605531295,25.87,13,"[1184, 766, 567, 525, 553, 131, 516, 645, 1000, 1048, 793, 826, 1275, 517, 1058, 210]"
1.3100436681222705,27.04,13,"[1184, 766, 962, 516, 210, 131, 645, 1283, 629, 553, 1058, 793, 826, 1275, 1000, 517, 841, 1048]"
1.4556040756914117,27.99,13,"[1184, 766, 63, 362, 545, 1058, 1283, 841, 131, 645, 517, 516, 1000, 553, 210, 826, 629, 1048, 793, 1275]"
0.727802037845706,20.82,12,"[386, 766, 553, 289, 826, 1058, 517, 1048, 793, 1275]"
1.8195050946142648,29.11,14,"[9, 766, 63, 459, 1233, 214, 726, 1359, 612, 553, 760, 545, 1000, 1275, 210, 629, 1283, 517, 1058, 516, 1048, 793, 826, 131, 645]"
0.9461426491994176,23.39,12,"[1184, 766, 131, 516, 645, 517, 116, 567, 1058, 1048, 793, 826, 1275]"
1.5283842794759823,27.17,14,"[9, 766, 435, 1359, 1233, 959, 545, 1058, 1283, 131, 517, 645, 1275, 1000, 553, 826, 841, 210, 629, 1048, 793]"
2.2561863173216885,31.91,14,"[1184, 766, 63, 0, 1233, 1048, 606, 1359, 285, 596, 796, 1058, 1283, 841, 128, 516, 517, 645, 210, 1275, 629, 793, 826, 553, 1000, 933, 386, 131, 214, 545, 324]"
0.6550218340611353,19.48,12,"[1184, 766, 210, 1058, 517, 1048, 285, 826, 1275]"
2.0378457059679764,30.28,14,"[9, 766, 274, 1359, 1233, 679, 1299, 760, 1058, 1283, 131, 517, 645, 1275, 981, 1000, 553, 826, 606, 841, 210, 629, 1048, 793, 796, 516, 78, 1296]"
1.965065502183406,29.87,14,"[9, 766, 215, 1359, 1233, 179, 606, 760, 78, 1283, 457, 1275, 516, 517, 214, 131, 826, 645, 1048, 793, 27, 545, 1058, 553, 210, 1000, 285]"
1.3828238719068413,25.6,14,"[793, 766, 1233, 1359, 517, 210, 0, 176, 826, 1058, 553, 131, 1283, 645, 516, 1275, 1048, 841, 1000]"
1.5283842794759823,28.6,13,"[1184, 766, 63, 1355, 1358, 516, 545, 1058, 1048, 1283, 131, 517, 645, 1000, 553, 841, 210, 629, 793, 826, 1275]"
1.0189228529839882,21.04,14,"[793, 517, 210, 131, 766, 1359, 0, 516, 826, 1233, 206, 911, 1048, 1275]"
1.7467248908296942,29.88,13,"[1184, 766, 567, 629, 553, 957, 516, 606, 963, 1048, 793, 826, 1275, 517, 1058, 63, 545, 210, 1000, 1283, 131, 645, 841, 214]"
0.873362445414847,22.81,12,"[993, 766, 137, 645, 1275, 1058, 517, 516, 210, 1048, 793, 826]"
1.6739446870451236,29.5,13,"[1184, 766, 567, 1162, 629, 606, 553, 324, 545, 516, 1048, 793, 826, 1275, 1058, 63, 1283, 517, 131, 645, 1000, 841, 210]"
2.1106259097525473,30.79,14,"[1184, 766, 63, 0, 1233, 726, 898, 415, 128, 131, 1359, 516, 1048, 517, 78, 645, 1283, 793, 1058, 796, 545, 1275, 553, 210, 629, 826, 324, 214, 1000]"
2.4017467248908297,32.29,14,"[1184, 766, 63, 0, 1233, 179, 53, 1359, 606, 760, 386, 324, 128, 1283, 214, 131, 1048, 516, 1000, 78, 27, 517, 645, 793, 1275, 796, 545, 210, 1058, 841, 1341, 826, 629]"
2.1834061135371177,32.01,13,"[1184, 766, 567, 679, 553, 1239, 629, 606, 481, 128, 386, 1283, 516, 285, 1275, 826, 645, 1048, 793, 131, 517, 796, 179, 545, 1058, 324, 841, 210, 214, 1000]"
2.1834061135371177,31.2,14,"[1184, 766, 63, 0, 1233, 179, 53, 1359, 760, 606, 386, 324, 128, 78, 1326, 1058, 214, 1283, 1048, 131, 516, 517, 645, 1000, 841, 793, 1275, 210, 629, 826]"
2.0378457059679764,30.95,13,"[1184, 766, 567, 679, 1239, 553, 606, 629, 1102, 128, 386, 516, 285, 796, 1283, 1275, 179, 826, 545, 1058, 1048, 793, 131, 645, 517, 1000, 841, 210]"
1.8922852983988352,30.45,13,"[1184, 766, 63, 1359, 386, 545, 1058, 1283, 841, 606, 131, 645, 517, 516, 553, 210, 826, 1000, 629, 1048, 1275, 793, 457, 241, 484, 128]"
0.5094614264919939,16.97,12,"[517, 766, 516, 1048, 793, 826, 1275]"
1.4556040756914117,26.67,14,"[9, 766, 1233, 1359, 545, 517, 841, 826, 1058, 1000, 1275, 1283, 516, 872, 645, 553, 210, 629, 1048, 793]"
1.6739446870451236,28.84,14,"[9, 766, 1233, 1359, 1067, 545, 517, 841, 826, 793, 63, 1275, 888, 1000, 1058, 1283, 516, 131, 553, 210, 629, 1048, 645]"
1.2372634643377,23.92,14,"[793, 766, 1233, 1359, 517, 210, 0, 176, 826, 1058, 553, 131, 908, 645, 516, 1275, 1048]"
1.6011644832605532,28.07,14,"[9, 766, 1233, 1359, 708, 545, 841, 517, 63, 826, 888, 793, 1275, 1000, 1283, 131, 210, 1058, 516, 645, 553, 1048]"
2.328966521106259,32.69,13,"[1184, 766, 567, 1162, 629, 606, 553, 1359, 760, 386, 324, 1048, 793, 826, 1275, 63, 128, 545, 516, 214, 78, 27, 796, 507, 1058, 131, 517, 1283, 1000, 210, 645, 841]"
1.0917030567685588,22.79,14,"[793, 766, 210, 1233, 517, 1359, 0, 545, 903, 645, 131, 1058, 516, 1048, 1275]"
0.21834061135371163,11.12,10,"[1058, 826, 793]"
1.0917030567685588,24.66,13,"[1184, 766, 1228, 131, 516, 645, 517, 567, 553, 210, 1048, 793, 826, 1275, 1058]"
