n_nodes,influence,communities,nodes
0.05077860528097489,17.18,21,"[5049, 3489, 1367]"
0.2200406228842251,17.69,27,"[5049, 696, 3029, 1647, 4093, 500, 951, 2753, 548, 2658, 1518, 2713, 3796]"
0.2538930264048749,19.29,23,"[2696, 3489, 5888, 4673, 4, 4100, 2760, 2573, 270, 735, 4071, 3807, 5787, 5172, 191]"
0.03385240352065022,16.72,21,"[1456, 5800]"
0.08463100880162511,17.11,23,"[5049, 4878, 2344, 571, 3796]"
0.16926201760325021,18.07,26,"[3419, 1655, 4093, 5797, 5127, 548, 5888, 3833, 5611, 3796]"
0.23696682464454977,18.99,26,"[1348, 5611, 1655, 4093, 5797, 3399, 548, 3699, 3068, 5888, 3833, 3796, 191, 3807]"
0.45700744752877487,20.26,26,"[5049, 3489, 1367, 2387, 2633, 5888, 4100, 4, 3729, 2573, 3023, 3140, 3399, 3807, 5787, 548, 3068, 434, 795, 735, 191, 3796, 374, 2760, 3833, 3763, 565]"
0.23696682464454977,18.25,27,"[1573, 4865, 1655, 4093, 4100, 3120, 5888, 191, 5797, 548, 3796, 3833, 3807, 3068]"
0.37237643872714976,19.8,27,"[5049, 4991, 1655, 5797, 3699, 4093, 153, 4398, 5888, 3399, 4100, 5787, 3068, 548, 4, 2760, 2573, 3796, 3807, 565, 3833, 735]"
0.16926201760325021,18.1,25,"[5049, 894, 1655, 4093, 5797, 5127, 548, 5888, 3796, 3833]"
0.4062288422478,20.18,26,"[5049, 1367, 5611, 4395, 1759, 548, 4093, 3130, 5813, 4653, 5181, 5888, 3140, 4100, 2760, 3833, 434, 3763, 2327, 565, 3807, 735, 3068, 191]"
0.42315504400812465,19.88,28,"[5049, 5611, 1655, 4093, 4154, 3140, 735, 548, 4403, 369, 5888, 346, 433, 954, 3246, 5787, 976, 4, 96, 2573, 3950, 3807, 3796, 565, 191]"
0.7616790792146242,21.41,28,"[5049, 1367, 5611, 1759, 548, 4395, 4093, 3130, 5813, 4653, 3140, 2327, 5181, 2204, 1698, 4100, 434, 3833, 5148, 5888, 5509, 1939, 3479, 2760, 4, 3068, 2387, 391, 565, 735, 191, 3807, 2573, 5591, 5787, 669, 3568, 1144, 3931, 811, 1206, 951, 4928, 3796, 854]"
0.11848341232227488,18.28,22,"[5049, 1367, 3489, 2505, 4112, 735, 5888]"
0.30467163168584976,19.5,26,"[5049, 1367, 5797, 2444, 548, 4771, 2327, 4007, 4093, 5888, 4, 2573, 5787, 3796, 2760, 735, 565, 3807]"
0.1354096140826,17.71,25,"[3710, 5797, 1367, 2444, 5127, 548, 5888, 3796]"
0.28774542992552465,19.32,27,"[3419, 1655, 4093, 5797, 5127, 548, 5888, 3833, 5611, 3796, 3402, 4100, 4, 2573, 3807, 565, 1018]"
0.2708192281652,19.48,25,"[3228, 5797, 1367, 2444, 5127, 1132, 3763, 5888, 3796, 4100, 3807, 735, 565, 3833, 3068, 191]"
0.6601218686526744,20.57,29,"[5049, 5366, 1367, 2815, 1132, 735, 3140, 2105, 4093, 3796, 5888, 755, 1494, 3833, 5787, 811, 191, 2327, 548, 3807, 4227, 4100, 334, 22, 3623, 3183, 5165, 951, 3068, 1698, 1903, 1575, 1493, 4789, 2972, 1144, 270, 5268, 565]"
0.1354096140826,18.0,24,"[884, 1367, 2444, 5797, 5127, 5888, 548, 3796]"
0.10155721056194977,17.72,23,"[1456, 5800, 2342, 5462, 3796, 5888]"
0.37237643872714976,20.06,24,"[5049, 4882, 5181, 3496, 4093, 5591, 3523, 5888, 1889, 4100, 1003, 3950, 4974, 735, 3763, 2387, 565, 3807, 3833, 1144, 3931, 191]"
0.2708192281652,19.35,26,"[2380, 5782, 5611, 4093, 4398, 1092, 5888, 1655, 4100, 735, 3763, 3796, 565, 3833, 3068, 3807]"
0.2200406228842251,19.11,24,"[5049, 5797, 1367, 2444, 5127, 4266, 4395, 5888, 3807, 3796, 565, 3833, 735]"
0.35545023696682465,19.9,26,"[5758, 1367, 2444, 5797, 5127, 5888, 548, 3796, 2573, 3068, 4928, 1889, 4100, 4, 735, 3807, 565, 1206, 3833, 5787, 191]"
0.33852403520649954,19.63,27,"[5494, 1655, 3402, 4, 3796, 5893, 5797, 5127, 4097, 5611, 548, 4100, 5888, 2760, 1009, 565, 3833, 3068, 4093, 3807]"
0.18618821936357488,18.6,24,"[216, 2815, 5366, 1367, 1132, 735, 3140, 5888, 548, 3796, 3807]"
0.20311442112389955,19.25,23,"[5049, 5800, 3763, 3424, 191, 4100, 3807, 2759, 565, 3833, 3068, 735]"
0.4062288422478,19.69,28,"[2696, 5611, 2753, 5888, 4093, 548, 4874, 1619, 3796, 3763, 1132, 1290, 1344, 735, 4705, 4100, 3807, 4, 5559, 1074, 434, 3833, 565, 5181]"
0.37237643872714976,19.58,28,"[4978, 1367, 3029, 44, 5611, 1851, 4093, 500, 951, 4221, 548, 3977, 2753, 2713, 1518, 2658, 2760, 4, 3796, 565, 3833, 3807]"
0.2200406228842251,19.06,25,"[5049, 3489, 5611, 1367, 548, 2444, 3807, 4395, 3833, 5888, 3796, 565, 2821]"
0.3215978334461749,19.38,27,"[5049, 5797, 91, 4093, 3992, 1655, 2506, 548, 5888, 191, 4, 3833, 735, 565, 4100, 5591, 3796, 3068, 3807]"
0.3215978334461749,19.54,26,"[5049, 1933, 5611, 4466, 4093, 5124, 5509, 4395, 548, 3833, 4100, 5888, 191, 4, 3807, 3796, 3068, 5591, 735]"
0.20311442112389955,17.61,27,"[5049, 2502, 4874, 2529, 5611, 4093, 153, 511, 4100, 3796, 2753, 548]"
0.30467163168584976,18.63,28,"[1456, 2502, 1367, 4, 5611, 4093, 3296, 1820, 3796, 3392, 951, 4221, 1531, 2753, 2713, 548, 1518, 2658]"
0.47393364928909953,20.45,25,"[5494, 5611, 3796, 1655, 5828, 3396, 2387, 669, 1995, 5127, 434, 3763, 4789, 4, 5024, 4679, 5888, 2573, 4100, 2760, 4974, 735, 565, 1206, 5787, 3833, 3068, 3807]"
0.28774542992552465,19.56,24,"[1456, 5800, 3763, 3424, 4100, 3807, 735, 548, 3796, 565, 3833, 5888, 5611, 3402, 4, 2573, 2139]"
0.7109004739336493,21.14,28,"[1456, 3489, 3763, 1367, 2444, 3807, 4100, 5782, 5127, 3796, 1003, 3833, 4093, 3246, 5024, 5888, 548, 270, 5268, 5611, 191, 951, 1698, 735, 3660, 1206, 2573, 4112, 5402, 5591, 3068, 2760, 5787, 1144, 4974, 434, 2387, 391, 811, 153, 669, 565]"
0.16926201760325021,18.55,24,"[5049, 5797, 1367, 2444, 5127, 1424, 3943, 3796, 5888, 3807]"
0.15233581584292466,18.31,24,"[2439, 3489, 1367, 5127, 548, 3943, 5888, 3796, 3807]"
0.5924170616113744,20.78,28,"[1456, 3489, 3763, 1367, 3807, 2444, 5782, 4100, 3246, 5127, 3490, 3833, 4093, 5268, 3796, 4112, 5402, 3950, 548, 4, 5024, 5611, 1446, 3791, 270, 5888, 191, 735, 2760, 1744, 434, 2387, 565, 3068, 5591]"
0.5924170616113744,20.31,29,"[1456, 2502, 1367, 3296, 1820, 4093, 4, 5611, 3392, 951, 3796, 4221, 1531, 2753, 2713, 1518, 5268, 4112, 5402, 3950, 548, 4594, 1446, 3791, 270, 5888, 191, 735, 2760, 1744, 434, 2387, 565, 3068, 5591]"
0.7278266756939742,21.23,28,"[1456, 5611, 1367, 4, 4466, 3833, 3140, 4093, 2753, 5813, 4060, 3130, 1744, 4395, 2534, 4735, 735, 5888, 4100, 548, 391, 2573, 270, 5268, 4403, 3763, 5024, 1698, 3068, 3796, 1575, 5549, 434, 565, 1206, 191, 2760, 3660, 2387, 854, 3807, 1009, 1144]"
0.47393364928909953,20.49,24,"[1456, 2671, 1367, 2825, 5466, 5813, 2387, 3033, 5888, 565, 3068, 3807, 919, 391, 4395, 153, 5024, 5611, 5591, 4928, 1842, 4100, 5857, 3763, 2760, 2573, 191, 548]"
0.18618821936357488,18.8,23,"[1456, 3489, 3763, 1367, 3958, 191, 5611, 2573, 3807, 5888, 548]"
0.33852403520649954,18.81,28,"[1456, 2502, 1367, 3296, 1820, 4093, 4, 5611, 5472, 951, 3796, 4221, 1531, 2753, 2713, 1518, 5268, 4112, 5402, 3950]"
