n_nodes,influence,communities,nodes
0.2578268876611425,12.61,16,"[2063, 60, 1931, 541, 193, 292, 1138]"
0.3314917127071828,12.95,18,"[1810, 863, 1028, 292, 2432, 1323, 175, 60, 541]"
0.9944751381215473,15.7,25,"[1810, 1022, 973, 783, 2151, 310, 1011, 502, 2796, 1676, 60, 2293, 2484, 2075, 1323, 1991, 2432, 292, 210, 2858, 430, 2324, 2868, 2740, 2071, 725, 541]"
0.5893186003683244,13.77,23,"[1001, 1022, 2151, 60, 2883, 1323, 152, 2432, 993, 1028, 1991, 292, 356, 1931, 2071, 538]"
0.8471454880294662,15.5,23,"[1810, 863, 538, 502, 103, 2104, 1028, 2868, 954, 193, 541, 2324, 973, 2822, 327, 2844, 2071, 2151, 725, 292, 1323, 2432, 2740]"
0.5893186003683244,14.45,21,"[2875, 863, 538, 2151, 60, 152, 993, 1991, 2883, 1028, 515, 1931, 2432, 292, 1323, 2071]"
0.4419889502762433,12.97,21,"[1810, 863, 1028, 292, 2432, 14, 1323, 2075, 541, 767, 2868, 2104]"
0.5893186003683244,14.29,22,"[863, 1022, 1323, 60, 2151, 2883, 152, 738, 993, 1028, 1991, 292, 356, 1931, 2071, 538]"
0.5156537753222841,13.74,21,"[1810, 863, 538, 2932, 2906, 60, 1267, 2324, 2432, 1028, 292, 541, 1323, 725]"
0.2946593001841622,12.87,17,"[2875, 863, 670, 60, 193, 1323, 292, 541]"
0.7366482504604055,14.85,24,"[1001, 1022, 2151, 2883, 60, 152, 993, 1323, 356, 2071, 849, 2432, 941, 1028, 1991, 1931, 2293, 292, 725, 541]"
0.3314917127071828,12.33,19,"[1001, 60, 1028, 854, 2432, 1931, 1323, 2324, 541]"
0.662983425414365,14.71,21,"[1001, 863, 538, 502, 103, 1028, 152, 2160, 292, 993, 60, 2888, 2071, 356, 1931, 210, 1323, 1991]"
0.810313075506446,15.27,23,"[2875, 863, 1896, 538, 1676, 103, 502, 1991, 2151, 1255, 210, 1117, 430, 2075, 2888, 292, 2432, 954, 1323, 725, 541, 2071]"
0.03683241252302061,7.56,11,[1864]
0.1841620626151017,11.87,15,"[1810, 2404, 502, 1323, 60]"
