n_nodes,influence,communities,nodes
0.9013282732447818,19.04,36,"[56, 2423, 666, 2008, 454, 815, 617, 1354, 771, 390, 2601, 2189, 330, 459, 238, 176, 880, 1581, 1714]"
1.0436432637571158,21.83,37,"[56, 666, 454, 152, 1254, 1478, 771, 390, 2601, 238, 330, 880, 815, 459, 2189, 734, 1581, 176, 1230, 1714, 2008, 1755]"
1.9449715370018974,30.35,47,"[537, 2008, 1703, 59, 2163, 1371, 1354, 1381, 2248, 1879, 1437, 1254, 1230, 176, 880, 1081, 1714, 815, 1138, 2279, 666, 2601, 459, 238, 474, 191, 614, 2375, 832, 164, 967, 771, 2189, 734, 330, 2208, 390, 454, 1581, 716, 1755]"
1.3757115749525617,25.07,41,"[173, 852, 1437, 2163, 1371, 330, 815, 492, 1354, 390, 2189, 666, 454, 474, 2601, 1581, 1714, 56, 59, 832, 2169, 734, 459, 1230, 2008, 1254, 1755, 238, 880]"
1.9449715370018974,29.75,48,"[56, 2423, 2406, 2008, 2248, 666, 1437, 454, 2279, 1354, 474, 815, 459, 2163, 191, 1341, 2375, 2208, 1371, 967, 716, 1081, 771, 880, 390, 832, 2189, 164, 2601, 1581, 176, 1138, 330, 1714, 59, 1230, 1879, 238, 1755, 734, 1254]"
1.5654648956356736,27.47,42,"[173, 852, 1437, 1869, 1371, 2169, 330, 1254, 492, 815, 1354, 967, 537, 176, 2208, 474, 390, 454, 2189, 666, 2601, 1581, 1714, 734, 56, 59, 459, 1230, 238, 880, 2008, 1755, 832]"
0.04743833017077792,1.57,4,[459]
1.0436432637571158,21.28,39,"[2189, 428, 454, 459, 1081, 666, 492, 1714, 771, 330, 390, 1254, 2601, 1581, 1755, 176, 815, 1230, 238, 880, 2008, 106]"
1.6129032258064515,26.81,45,"[537, 1359, 734, 2008, 815, 1354, 832, 454, 459, 666, 238, 1081, 880, 176, 1437, 1927, 2097, 2208, 1457, 56, 2045, 1625, 390, 172, 2189, 330, 598, 771, 1230, 1581, 164, 2601, 1027, 1714]"
0.9962049335863379,20.98,37,"[56, 666, 454, 2263, 2595, 1254, 771, 537, 734, 390, 330, 2601, 1354, 1581, 459, 238, 880, 815, 176, 1714, 1755]"
0.9013282732447818,19.5,34,"[537, 1703, 2008, 771, 2189, 390, 454, 1354, 815, 2601, 176, 330, 880, 459, 666, 2437, 238, 1714, 56]"
1.2808349146110056,24.52,40,"[537, 2039, 852, 1193, 2239, 771, 666, 1714, 1254, 390, 2189, 1437, 2008, 238, 880, 2601, 815, 176, 59, 454, 1354, 459, 330, 1230, 1879, 1755, 734]"
1.9449715370018974,29.32,49,"[56, 1890, 1589, 537, 666, 330, 1354, 2406, 1457, 2601, 734, 2097, 1754, 2030, 2363, 1328, 2105, 880, 474, 771, 164, 2189, 390, 2008, 1371, 2203, 1437, 166, 1254, 1581, 176, 1714, 1081, 59, 1138, 1755, 832, 454, 459, 1230, 1879]"
1.9449715370018974,27.76,52,"[431, 238, 832, 1627, 1881, 2503, 56, 2097, 2363, 1354, 880, 666, 1328, 329, 2105, 2030, 1081, 474, 1254, 2406, 459, 771, 164, 1230, 1371, 59, 1138, 1755, 390, 2008, 454, 2189, 2203, 1437, 166, 2601, 1581, 176, 1457, 1714, 1879]"
0.806451612903226,18.45,34,"[537, 2008, 771, 2601, 2085, 454, 666, 459, 734, 330, 880, 1581, 1714, 390, 1755, 176, 238]"
1.2333965844402277,24.36,40,"[537, 2008, 2085, 771, 2601, 330, 666, 815, 734, 454, 459, 1254, 586, 880, 1879, 1755, 1714, 1581, 1437, 2208, 176, 1230, 59, 238, 2484, 390]"
1.0910815939278937,22.2,38,"[537, 2008, 164, 771, 801, 166, 666, 1437, 454, 459, 2097, 1254, 880, 330, 1755, 1714, 1581, 2189, 815, 176, 1230, 390, 238]"
2.0398481973434537,30.58,50,"[56, 1890, 2406, 1589, 2030, 330, 537, 1354, 666, 2363, 1328, 734, 1371, 880, 2097, 406, 2601, 1457, 238, 771, 1840, 1754, 675, 1920, 2203, 2189, 832, 390, 2008, 1254, 1437, 1138, 1581, 815, 176, 1714, 1081, 59, 454, 1755, 1584, 1230, 1879]"
1.9449715370018974,28.38,50,"[56, 431, 266, 1881, 666, 2503, 1609, 1081, 454, 1754, 2030, 215, 2189, 537, 1371, 1920, 771, 390, 2203, 880, 1437, 166, 170, 1354, 492, 1138, 238, 1581, 815, 176, 1755, 1714, 59, 2439, 459, 1230, 1108, 1879, 2008, 1254, 734]"
1.6129032258064515,25.23,48,"[56, 2499, 2406, 2030, 2512, 1755, 1625, 1609, 666, 454, 2189, 832, 2097, 1927, 1354, 1081, 815, 459, 598, 1230, 1437, 330, 238, 1138, 1457, 880, 771, 390, 164, 2601, 172, 1581, 176, 1714]"
