node,page_rank,overall_rank,comm,rank_comm
40,16910,1,1,1
191,15343,2,5,1
159,14690,3,1,2
108,13978,4,2,1
36,12653,5,6,1
116,12411,6,2,2
35,12319,7,1,3
49,10558,8,5,2
207,9505,9,1,4
44,9404,10,2,3
212,9395,11,1,5
1097,9366,12,7,1
163,9305,13,1,6
146,8836,14,1,7
156,8784,15,1,8
718,8769,16,1,9
898,8737,17,1,10
831,8431,18,1,11
3,8409,19,1,12
679,8126,20,1,13
195,8106,21,1,14
30,7975,22,5,3
210,7712,23,1,15
1090,7645,24,1,16
214,7564,25,1,17
1872,7477,26,4,1
685,7343,27,2,4
2272,7326,28,2,5
2308,7290,29,2,6
148,7205,30,1,18
209,7182,31,1,19
112,7177,32,5,4
27,7130,33,5,5
445,7113,34,2,7
143,7056,35,1,20
645,7042,36,1,21
1516,7026,37,13,1
344,7024,38,1,22
7,6990,39,22,1
526,6942,40,2,8
1073,6890,41,4,2
2183,6872,42,2,9
229,6846,43,6,2
102,6824,44,5,6
221,6821,45,2,10
1135,6750,46,1,23
277,6743,47,1,24
1299,6737,48,25,1
619,6704,49,1,25
1383,6672,50,4,3
416,6641,51,13,2
660,6632,52,1,26
168,6570,53,5,7
2278,6560,54,2,11
2928,6549,55,1,27
45,6548,56,5,8
150,6525,57,1,28
1765,6450,58,1,29
208,6438,59,6,3
231,6432,60,1,30
174,6387,61,1,31
215,6358,62,1,32
650,6331,63,4,4
1809,6325,64,13,3
182,6295,65,8,1
189,6270,66,5,9
2960,6267,67,2,12
2619,6259,68,2,13
237,6257,69,1,33
20,6235,70,5,10
1497,6232,71,2,14
235,6220,72,1,34
1054,6214,73,2,15
1165,6177,74,5,11
404,6147,75,1,35
735,6088,76,1,36
1301,6086,77,2,16
155,6077,78,1,37
2084,6071,79,8,2
223,6071,80,2,17
1949,6040,81,34,1
1155,6036,82,5,12
658,6024,83,13,4
1538,6003,84,2,18
144,6000,85,1,38
167,5988,86,5,13
1911,5978,87,2,19
147,5950,88,1,39
1315,5942,89,2,20
149,5891,90,1,40
2830,5886,91,1,41
164,5879,92,1,42
1140,5865,93,13,5
217,5858,94,25,2
1988,5857,95,1,43
651,5852,96,1,44
2210,5850,97,2,21
423,5846,98,1,45
2127,5841,99,1,46
2255,5839,100,2,22
1079,5825,101,1,47
643,5804,102,1,48
301,5769,103,1,49
414,5759,104,2,23
1328,5717,105,2,24
157,5698,106,1,50
702,5685,107,5,14
1889,5658,108,1,51
190,5652,109,11,1
0,5652,110,5,15
2489,5587,111,2,25
2212,5566,112,2,26
282,5556,113,1,52
4833,5556,114,2,27
161,5555,115,1,53
945,5553,116,1,54
83,5538,117,5,16
6357,5532,118,2,28
1527,5518,119,2,29
1504,5492,120,2,30
69,5484,121,3,1
2157,5478,122,8,3
254,5457,123,2,31
317,5424,124,1,55
1962,5400,125,2,32
2162,5390,126,2,33
1204,5383,127,8,4
342,5368,128,13,6
295,5366,129,6,4
1450,5360,130,1,56
1858,5353,131,1,57
1892,5347,132,3,2
772,5338,133,5,17
2141,5301,134,2,34
1877,5300,135,1,58
50,5287,136,5,18
1895,5273,137,35,1
3776,5272,138,1,59
1628,5251,139,2,35
298,5230,140,1,60
374,5211,141,2,36
305,5189,142,2,37
1884,5183,143,6,5
158,5182,144,1,61
672,5181,145,1,62
2199,5178,146,2,38
633,5169,147,4,5
2663,5161,148,2,39
241,5147,149,4,6
211,5140,150,9,1
42,5138,151,22,2
1457,5104,152,1,63
4604,5101,153,1,64
2447,5088,154,3,3
850,5079,155,1,65
230,5078,156,1,66
629,5055,157,1,67
729,5054,158,2,40
959,5052,159,5,19
2803,5052,160,1,68
448,5051,161,2,41
1908,5038,162,12,1
