n_nodes,influence,communities,time,nodes
4.0,8.91,1,3,"[370, 1125, 888, 988]"
5.0,9.55,3,3,"[1043, 4449, 4297, 604, 1534]"
10.0,16.12,6,3,"[274, 3545, 4, 777, 3884, 5746, 32, 2548, 988, 4427]"
84.0,153.5,6,5,"[1341, 17, 1780, 533, 861, 230, 699, 1578, 1584, 2960, 5079, 1494, 1793, 3180, 1093, 3823, 3156, 1146, 545, 283, 524, 1746, 988, 936, 3046, 184, 262, 277, 1143, 1308, 748, 1419, 159, 636, 734, 1648, 568, 776, 172, 565, 410, 2487, 716, 1600, 1302, 740, 643, 214, 2957, 634, 284, 180, 1533, 713, 52, 1138, 558, 3277, 2274, 899, 4651, 603, 546, 1545, 1317, 263, 209, 1086, 606, 165, 211, 1081, 755, 1759, 1531, 901, 650, 1087, 93, 275, 552, 74, 157, 617]"
10.0,16.12,6,3,"[2024, 4964, 3471, 4351, 1348, 545, 3156, 3180, 988, 3823]"
83.0,148.85,7,5,"[5365, 17, 1780, 533, 861, 230, 699, 1578, 1584, 2960, 5079, 1494, 1793, 1093, 3180, 1146, 3823, 3156, 1746, 283, 936, 184, 988, 262, 545, 277, 524, 1143, 1308, 748, 1419, 3046, 159, 636, 734, 1648, 568, 776, 172, 565, 2487, 716, 410, 1600, 1302, 740, 643, 214, 2957, 634, 284, 1533, 713, 52, 1138, 558, 180, 3277, 2274, 899, 4651, 603, 546, 1545, 1317, 263, 209, 1086, 606, 2188, 292, 2370, 709, 1759, 2142, 2242, 1873, 1507, 3538, 239, 352, 165, 1509]"
34.0,71.86,3,5,"[735, 599, 164, 778, 184, 710, 1097, 514, 603, 869, 777, 1119, 555, 1793, 1494, 1059, 538, 1093, 228, 988, 940, 3156, 545, 524, 2960, 247, 1755, 1114, 690, 13, 274, 568, 480, 478]"
20.0,30.75,10,3,"[735, 1119, 599, 4749, 4366, 4372, 4237, 2446, 3485, 274, 2462, 2510, 407, 153, 1562, 3867, 3355, 2957, 988, 13]"
24.0,44.1,9,4,"[895, 5480, 988, 3973, 4749, 4366, 1135, 3943, 274, 4372, 407, 3007, 1444, 3728, 13, 114, 903, 1524, 1100, 4627, 180, 1119, 538, 3833]"
64.0,122.7,5,5,"[735, 1119, 555, 599, 777, 5169, 603, 184, 869, 87, 3728, 634, 2648, 778, 2960, 1494, 1143, 164, 1308, 3156, 748, 988, 1793, 283, 524, 1419, 1093, 159, 636, 734, 1648, 3046, 568, 776, 545, 172, 565, 410, 2487, 1600, 1302, 740, 643, 214, 716, 2957, 284, 180, 1533, 713, 52, 1138, 558, 3277, 2274, 899, 4651, 546, 1545, 1317, 263, 209, 1086, 606]"
