n_nodes,influence,communities,time,nodes
2.0,125.66,2,9,"[1163, 19]"
3.0,167.59,3,12,"[579, 1059, 19]"
2.0,140.54,1,10,"[224, 19]"
3.0,156.68,4,11,"[1294, 1059, 19]"
1.0,28.18,1,6,[580]
4.0,149.52,5,11,"[1416, 972, 1076, 19]"
2.0,113.24,3,10,"[883, 19]"
9.0,277.18,8,14,"[329, 856, 908, 1424, 736, 1221, 1, 952, 19]"
8.0,279.2,7,13,"[329, 965, 908, 1424, 736, 1221, 1, 19]"
16.0,463.14,6,15,"[1386, 1059, 557, 744, 86, 863, 329, 19, 1221, 646, 494, 952, 968, 998, 103, 910]"
8.0,297.83,6,16,"[329, 856, 908, 744, 950, 1221, 952, 19]"
12.0,350.54,7,15,"[329, 965, 908, 1424, 211, 1221, 1, 19, 968, 103, 646, 910]"
6.0,224.48,6,15,"[329, 1067, 19, 908, 843, 952]"
4.0,200.58,3,12,"[329, 972, 702, 19]"
6.0,285.57,4,12,"[329, 856, 612, 86, 19, 1221]"
5.0,209.32,3,12,"[329, 855, 557, 182, 19]"
7.0,282.91,6,14,"[1416, 855, 557, 95, 19, 1221, 952]"
4.0,183.07,4,12,"[329, 972, 1265, 19]"
23.0,510.44,7,17,"[1416, 855, 557, 736, 19, 329, 86, 72, 646, 612, 519, 825, 1221, 103, 968, 952, 910, 477, 1010, 1117, 492, 547, 579]"
19.0,425.21,9,15,"[329, 1067, 19, 908, 325, 736, 1221, 952, 1, 863, 910, 224, 55, 547, 579, 998, 103, 123, 1072]"
22.0,488.7,8,15,"[1416, 850, 557, 863, 952, 86, 744, 19, 1, 865, 329, 1346, 494, 69, 910, 1129, 579, 1117, 1221, 998, 103, 492]"
6.0,251.08,5,13,"[329, 972, 19, 179, 843, 952]"
5.0,209.05,4,13,"[329, 1328, 908, 910, 19]"
14.0,416.13,7,15,"[1416, 855, 557, 736, 19, 86, 329, 72, 646, 590, 998, 1221, 968, 952]"
19.0,348.19,10,14,"[1416, 1067, 908, 1220, 968, 1, 863, 19, 579, 103, 1072, 744, 123, 76, 1385, 365, 547, 1221, 998]"
10.0,397.54,6,14,"[329, 1412, 557, 866, 654, 19, 1221, 86, 952, 646]"
23.0,531.51,6,15,"[329, 972, 855, 19, 557, 736, 86, 72, 646, 612, 519, 825, 1221, 103, 968, 952, 565, 477, 1010, 1117, 492, 547, 579]"
14.0,447.0,6,16,"[579, 972, 19, 557, 913, 828, 86, 492, 952, 459, 88, 1221, 646, 910]"
22.0,441.35,9,15,"[329, 1067, 908, 19, 1424, 579, 103, 736, 1, 863, 744, 865, 1117, 547, 952, 494, 1225, 1221, 910, 492, 69, 88]"
7.0,307.87,3,11,"[329, 706, 19, 744, 557, 86, 1221]"
20.0,425.46,9,15,"[1416, 1067, 227, 1032, 329, 736, 863, 744, 1, 224, 19, 212, 494, 952, 492, 1221, 579, 998, 103, 910]"
1.0,22.65,2,6,[884]
16.0,411.41,8,14,"[1416, 855, 557, 736, 19, 86, 329, 72, 590, 646, 757, 998, 103, 952, 1072, 1221]"
14.0,382.59,9,13,"[1416, 855, 557, 1032, 19, 329, 142, 734, 1221, 86, 646, 1, 910, 1072]"
7.0,305.84,5,14,"[884, 855, 557, 914, 19, 1221, 952]"
22.0,370.94,10,14,"[1416, 1067, 908, 1424, 736, 288, 579, 103, 19, 863, 1385, 1072, 744, 1, 365, 123, 547, 1129, 293, 492, 1221, 998]"
12.0,407.11,6,15,"[329, 856, 855, 86, 557, 736, 19, 952, 72, 646, 1221, 424]"
11.0,401.54,5,14,"[884, 855, 914, 557, 86, 19, 185, 646, 329, 1221, 103]"
11.0,321.55,9,15,"[815, 1067, 908, 19, 579, 1424, 103, 736, 1, 1221, 952]"
12.0,430.37,5,14,"[329, 1328, 908, 557, 19, 736, 295, 86, 646, 1221, 103, 952]"
5.0,201.89,5,12,"[1026, 1067, 329, 19, 910]"
20.0,490.99,7,14,"[1416, 855, 557, 736, 19, 72, 86, 329, 646, 865, 1117, 547, 1221, 103, 492, 251, 494, 910, 998, 579]"
18.0,469.82,8,15,"[329, 856, 855, 160, 86, 1221, 557, 734, 646, 19, 952, 761, 494, 103, 1072, 910, 1434, 434]"
8.0,347.25,5,14,"[935, 557, 329, 19, 86, 744, 1221, 952]"
22.0,495.35,7,16,"[1416, 855, 557, 736, 19, 86, 72, 590, 646, 329, 757, 494, 205, 952, 910, 1129, 998, 103, 579, 1023, 492, 1221]"
9.0,295.32,7,14,"[329, 965, 908, 1424, 986, 952, 1, 19, 1221]"
15.0,455.63,5,15,"[329, 1328, 908, 557, 19, 295, 492, 86, 547, 736, 1147, 952, 1221, 646, 103]"
9.0,314.28,6,14,"[329, 1412, 557, 866, 654, 19, 1221, 550, 952]"
10.0,343.69,7,14,"[329, 856, 908, 1424, 736, 1221, 86, 646, 994, 19]"
3.0,170.39,2,11,"[1242, 19, 1221]"
16.0,451.06,7,15,"[1416, 1059, 557, 863, 646, 952, 968, 86, 1221, 998, 19, 744, 103, 329, 63, 910]"
