n_nodes,influence,communities,time,nodes,std
9.0,803.96,7,15,"[1684, 824, 348, 2863, 2306, 0, 3437, 107, 1912]",80.26208071063196
8.0,717.06,6,16,"[1684, 3830, 348, 831, 2304, 107, 3437, 1912]",101.32408400770272
7.0,559.28,7,17,"[1684, 2604, 348, 784, 310, 3437, 107]",93.53674999699317
6.0,273.34,7,13,"[1684, 3830, 348, 877, 2304, 156]",70.70135500823163
5.0,59.14,7,8,"[2512, 3830, 2704, 3987, 756]",38.64992108659473
7.0,661.94,6,16,"[1684, 3089, 1457, 107, 3437, 1912, 348]",79.042226689283
5.0,432.04,6,15,"[1684, 871, 348, 2384, 107]",60.93480122229004
10.0,840.76,7,15,"[1684, 705, 348, 2748, 2304, 0, 136, 107, 3437, 1912]",86.13815879155997
15.0,909.4,7,16,"[1684, 705, 348, 414, 2028, 1407, 1288, 436, 747, 2304, 0, 1912, 828, 107, 3437]",84.68727413254013
6.0,581.76,6,16,"[1684, 3830, 2564, 107, 348, 3437]",74.39393523668444
59.0,1163.96,7,15,"[1684, 3830, 1483, 271, 348, 929, 2499, 9, 1912, 828, 2556, 107, 957, 3437, 2384, 3579, 637, 1571, 2549, 507, 1327, 3677, 2428, 2521, 414, 1339, 2108, 2304, 1269, 0, 1284, 3145, 2782, 2694, 1159, 2184, 1288, 1800, 2717, 3731, 747, 2279, 2194, 1939, 2839, 3947, 916, 2716, 2492, 3101, 1721, 2081, 2601, 1471, 3051, 2218, 436, 2614, 698]",88.2194105625287
44.0,1109.12,7,15,"[1684, 3830, 2867, 1269, 2275, 3731, 348, 1721, 3947, 828, 136, 2093, 2492, 3601, 2384, 509, 2304, 0, 414, 2694, 1159, 1800, 1288, 2194, 2839, 2716, 3101, 1912, 2081, 2601, 3363, 698, 1571, 2218, 1327, 107, 436, 747, 2556, 1471, 3437, 1339, 2108, 3051]",86.67127782604798
17.0,929.7,7,16,"[1684, 3830, 456, 2825, 414, 348, 698, 2304, 2326, 0, 136, 828, 2093, 107, 3437, 2384, 1912]",96.3593794085454
31.0,1042.62,7,16,"[1684, 3830, 1124, 1939, 414, 348, 3677, 1833, 2275, 2549, 107, 9, 2093, 507, 436, 2304, 0, 1159, 1275, 1800, 2782, 828, 136, 3383, 2839, 2081, 698, 2384, 747, 3437, 1912]",82.22341272411404
