n_nodes,influence,nodes
97.0,468.04,"[3417, 2946, 2839, 3022, 2347, 1435, 1707, 3291, 2247, 2323, 1888, 3132, 1124, 1669, 2300, 1322, 2920, 1684, 2866, 2629, 2428, 2218, 2078, 1800, 3120, 1259, 713, 2042, 497, 1612, 1432, 2169, 3072, 2294, 2576, 2052, 1237, 3004, 1734, 2551, 1181, 373, 3174, 2610, 2191, 1955, 2090, 2112, 2478, 1925, 1172, 3584, 2526, 2398, 3078, 2237, 2482, 1919, 1052, 966, 1863, 2617, 1717, 2005, 2058, 2111, 3324, 1369, 2574, 1523, 1256, 1945, 2329, 2757, 3232, 2200, 1998, 2593, 2655, 2328, 1986, 2299, 2712, 1173, 3038, 2543, 2306, 1405, 107, 1344, 1330, 2007, 1431, 1789, 2738, 1272, 686]"
71.0,450.6,"[432, 475, 1551, 186, 3195, 2640, 1832, 2268, 3214, 1589, 1255, 376, 3070, 3114, 1530, 2132, 2607, 520, 2069, 1827, 1954, 2093, 3335, 2777, 1668, 917, 3437, 1938, 1849, 1953, 492, 967, 2694, 3385, 1742, 1380, 2654, 2730, 1943, 366, 1979, 1273, 591, 2068, 2032, 2123, 1391, 2556, 2304, 828, 2363, 3386, 2484, 713, 2624, 1989, 3064, 3672, 3291, 1535, 3002, 1289, 2128, 3345, 1352, 2279, 1482, 2187, 1487, 3348, 2243]"
46.0,393.7,"[1881, 21, 1437, 2894, 2588, 1399, 2040, 1684, 1269, 2169, 2839, 2484, 2032, 2188, 513, 1712, 2575, 3633, 3384, 1668, 2376, 545, 637, 980, 1839, 2384, 1126, 2290, 2144, 2561, 3054, 2126, 1329, 563, 1515, 2283, 916, 2507, 1707, 2118, 606, 2287, 1799, 2148, 2872, 2875]"
1.0,2.46,[2712]
2.0,14.88,"[1274, 2141]"
98.99999999999999,469.12,"[2969, 3385, 2109, 3253, 1085, 2180, 2306, 2267, 2108, 2275, 2073, 1929, 1768, 3948, 2243, 2398, 2468, 563, 2445, 3501, 1257, 1995, 993, 2606, 1204, 3434, 1598, 2631, 2326, 2315, 1535, 1060, 2289, 1786, 1431, 2504, 2875, 1126, 419, 1752, 2118, 2594, 136, 2332, 559, 1587, 2458, 1584, 1184, 1669, 3611, 1534, 3201, 2206, 2339, 400, 3384, 520, 2344, 1250, 2202, 2140, 1604, 2849, 1393, 2104, 1181, 1377, 492, 1746, 2475, 1148, 3348, 1275, 1059, 2512, 2229, 3084, 1943, 1589, 1871, 2786, 1715, 1881, 2074, 1017, 3022, 1675, 1603, 2184, 2218, 942, 1048, 1862, 2510, 2153, 3002, 1899, 1488]"
53.0,401.86,"[1881, 21, 1437, 2894, 2588, 1399, 2040, 1684, 1269, 2169, 2839, 2484, 2032, 2188, 513, 1712, 2575, 3633, 3384, 1668, 2376, 545, 637, 980, 1839, 2384, 1126, 2290, 2144, 2561, 3054, 1692, 1868, 2409, 2827, 2567, 2436, 952, 2689, 2258, 1259, 1472, 2187, 1912, 3677, 2190, 3076, 2347, 2306, 1250, 2377, 1899, 2800]"
65.0,422.26,"[2563, 1160, 1805, 529, 2968, 3102, 3743, 2211, 295, 2472, 2610, 959, 2239, 3114, 1530, 2132, 2607, 520, 2069, 1827, 2355, 2093, 3335, 2777, 1668, 917, 3437, 1938, 1849, 1953, 492, 967, 2694, 3385, 1742, 3821, 2654, 2730, 1943, 366, 1979, 1273, 591, 2068, 2032, 2123, 1391, 2556, 2304, 828, 2363, 3386, 2484, 713, 2624, 1989, 3672, 3064, 3291, 1535, 3002, 1289, 2128, 3345, 1352]"
79.0,451.58,"[1668, 1573, 2038, 2010, 0, 2588, 1399, 2040, 1684, 1269, 2169, 2839, 2484, 2032, 2376, 2188, 513, 1712, 2575, 3633, 3384, 545, 1827, 980, 1816, 2929, 3263, 3804, 2224, 2290, 2532, 2598, 1480, 2351, 3154, 1685, 2738, 1515, 3924, 272, 966, 1945, 3351, 1272, 2600, 1863, 1117, 1361, 2261, 3102, 941, 3000, 315, 1522, 3149, 651, 2200, 1597, 3793, 2542, 1389, 2121, 2943, 1019, 2059, 2056, 1926, 1603, 1006, 2796, 1689, 2589, 2463, 1184, 3087, 1754, 2451, 1292, 1577]"
60.0,415.9,"[2329, 3971, 1684, 2492, 2028, 1827, 2117, 2674, 1823, 1235, 2331, 2326, 2332, 982, 2172, 186, 2244, 1794, 2485, 1935, 1839, 2913, 2655, 1293, 1399, 1644, 2201, 1551, 1549, 2867, 2683, 2254, 2642, 56, 1912, 947, 2074, 2625, 1185, 2054, 107, 2511, 3116, 2940, 2428, 2062, 975, 2024, 461, 1813, 651, 2951, 3677, 3426, 1902, 1047, 1620, 1367, 506, 1344]"
49.00000000000001,400.7,"[1329, 2367, 26, 2081, 2989, 1809, 1375, 2418, 2749, 3320, 1287, 107, 2449, 1377, 934, 2090, 2419, 414, 1979, 1273, 591, 2068, 2032, 2123, 1391, 2556, 2304, 935, 2363, 3386, 2484, 3064, 713, 2624, 1989, 3672, 3291, 1535, 3002, 1289, 2128, 3345, 1352, 2279, 3101, 2187, 1487, 3348, 2243]"
55.0,406.38,"[802, 3112, 2966, 507, 3111, 2111, 1457, 1833, 2606, 1358, 2326, 2332, 982, 2172, 186, 2244, 1794, 592, 1935, 1839, 2913, 2655, 1293, 1399, 1644, 2201, 1551, 1549, 2867, 2683, 2254, 2642, 1684, 1116, 1912, 947, 2074, 2625, 1185, 2054, 107, 2511, 3116, 2940, 2428, 2062, 975, 2024, 461, 1813, 651, 2951, 3677, 3426, 3417]"
5.0,143.24,"[3293, 3240, 2078, 1292, 2429]"
40.0,369.48,"[2329, 3971, 1684, 2492, 2028, 1827, 2117, 2674, 1823, 1235, 2331, 2326, 2332, 2901, 2172, 186, 2244, 1794, 2485, 1935, 1839, 2913, 2655, 1293, 1399, 1644, 2201, 1551, 1549, 2867, 2683, 2254, 2642, 56, 1912, 947, 2074, 2625, 1185, 107]"
34.0,359.58,"[2194, 3971, 1684, 1064, 2028, 2213, 3052, 1269, 2134, 1757, 1559, 2574, 849, 483, 2324, 3095, 1955, 1630, 3154, 2649, 3252, 2483, 2532, 2659, 2126, 1329, 563, 1515, 2283, 916, 2507, 1707, 2118, 606]"
6.0,193.16,"[1539, 515, 1762, 2078, 2429, 1849]"
39.0,361.92,"[2823, 3240, 2078, 945, 2429, 978, 2237, 3347, 2233, 3120, 1912, 1786, 1282, 327, 492, 1757, 1668, 2376, 1984, 1079, 2467, 1876, 2603, 1746, 2988, 2556, 2304, 828, 1109, 3386, 2484, 1605, 520, 2430, 1835, 2339, 2532, 2659, 1352]"
42.0,378.8,"[2329, 2028, 3971, 2492, 1684, 1827, 2117, 2674, 1790, 2485, 1235, 1794, 1823, 390, 1549, 982, 2331, 1293, 2172, 2913, 2332, 1935, 2655, 1839, 1399, 186, 2326, 1551, 1644, 2201, 2339, 2683, 1835, 2867, 947, 2254, 2430, 931, 2511, 2642, 2532, 107]"
8.0,242.48,"[2329, 1827, 378, 2492, 1684, 1938, 2117, 2028]"
11.0,266.96,"[2329, 1827, 1809, 2492, 1938, 485, 1684, 2663, 3573, 2117, 2028]"
41.0,376.96,"[55, 3302, 3437, 193, 1102, 2864, 2187, 2384, 3111, 959, 1833, 2606, 576, 2956, 1352, 2504, 513, 2913, 738, 19, 1835, 2244, 2485, 2532, 3554, 1794, 1399, 1644, 2201, 1551, 1549, 2867, 2683, 2254, 2642, 390, 1912, 947, 2339, 107, 2511]"
32.0,355.1,"[2329, 378, 1296, 1827, 1586, 1790, 2674, 2485, 1684, 467, 1876, 2028, 1997, 1794, 1565, 2117, 1984, 3309, 1746, 3417, 2988, 2647, 3054, 916, 1707, 563, 1329, 1912, 1515, 2283, 2126, 2872]"
24.0,341.96,"[3456, 2492, 3742, 2111, 2038, 3828, 3172, 2233, 2606, 1126, 1550, 1028, 1352, 1827, 513, 1684, 1853, 2430, 2467, 372, 3419, 2375, 2956, 2504]"
25.0,352.54,"[3456, 2492, 2111, 3433, 3801, 1668, 2290, 2038, 2629, 3954, 2372, 2956, 1876, 2233, 1416, 1757, 740, 2647, 3054, 624, 1684, 403, 1746, 3417, 1352]"
21.0,339.74,"[3456, 2492, 3972, 2111, 1952, 2028, 461, 107, 2038, 2629, 1126, 2233, 2647, 3054, 1876, 1866, 1684, 403, 1352, 1746, 3417]"
9.0,261.92,"[3456, 2148, 1044, 2492, 1938, 1508, 3433, 2233, 107]"
23.0,341.34,"[3456, 2492, 4029, 1952, 3433, 1668, 2290, 2038, 2372, 576, 1835, 3954, 2629, 2233, 3148, 2126, 50, 1416, 1352, 3417, 2956, 1684, 1620]"
15.0,329.9,"[3456, 2492, 3828, 1804, 2600, 2316, 1693, 2204, 2372, 3365, 107, 1126, 1352, 1684, 2233]"
13.0,327.5,"[3456, 1431, 1302, 2111, 2600, 2384, 2233, 1352, 1804, 2037, 2742, 2324, 1684]"
