n_nodes,influence,communities,time,nodes,std
3.0,2108.0,5,19,"[3087, 3672, 1757]",201.65944460897435
40.0,2289.5,7,14,"[2436, 3677, 364, 3464, 3070, 3054, 283, 3278, 3926, 288, 705, 3479, 645, 3608, 82, 3155, 516, 1698, 1912, 616, 1477, 3947, 2889, 2531, 101, 1870, 447, 102, 293, 718, 198, 2885, 3528, 720, 2388, 3283, 730, 480, 236, 502]",45.907075707346024
15.0,2254.42,7,15,"[2436, 3213, 368, 3741, 3119, 1225, 702, 694, 3672, 3528, 720, 2889, 236, 3828, 82]",91.33713593057315
47.0,2295.6,7,14,"[2436, 3677, 346, 3054, 3464, 140, 322, 3672, 1731, 136, 27, 274, 871, 3479, 705, 706, 184, 444, 447, 3861, 1662, 84, 2531, 2889, 236, 502, 2699, 3776, 730, 832, 1477, 3097, 2885, 2399, 293, 1232, 3528, 198, 967, 720, 616, 3947, 82, 480, 3283, 3155, 1177]",41.29985956392588
4.0,2151.08,6,19,"[724, 3677, 2183, 3070]",88.24723451757568
8.0,2228.42,7,17,"[2436, 3677, 252, 1424, 3070, 3966, 2323, 694]",56.25822251013624
43.0,2292.14,7,14,"[2436, 3677, 364, 3070, 2039, 1762, 3485, 3464, 3278, 3471, 3783, 305, 170, 268, 1662, 84, 236, 705, 706, 2889, 616, 3947, 1477, 2531, 502, 2699, 3776, 730, 832, 3097, 2885, 2399, 293, 1232, 3528, 198, 967, 720, 82, 480, 3283, 3155, 1177]",51.251926793048476
51.0,2300.7,7,14,"[2436, 3677, 346, 3054, 140, 322, 3464, 3672, 3278, 3433, 24, 3926, 645, 3162, 3616, 3479, 705, 706, 2699, 718, 444, 101, 102, 1317, 3776, 502, 236, 2531, 184, 3010, 1698, 1772, 447, 2030, 2889, 2388, 288, 2848, 1477, 730, 2885, 967, 3528, 198, 720, 82, 616, 3947, 3155, 3283, 480]",44.218190826853146
2.0,2006.2,6,20,"[1447, 824]",254.7561508580313
82.0,2325.22,7,13,"[2436, 3677, 252, 1424, 2582, 3070, 3485, 3608, 3464, 3278, 1870, 3926, 663, 664, 288, 3947, 666, 3097, 795, 3155, 582, 286, 3368, 2531, 2207, 3241, 2859, 184, 236, 102, 1197, 1477, 502, 198, 480, 705, 1764, 706, 3236, 3111, 82, 3776, 616, 101, 3068, 3616, 468, 2860, 3551, 2399, 447, 2388, 3283, 2365, 1853, 2377, 1925, 3941, 2885, 720, 853, 2387, 3528, 1879, 202, 2912, 339, 3415, 487, 4021, 2920, 293, 444, 967, 858, 832, 1388, 3950, 2928, 3959, 3484, 425]",44.18389299280904
18.0,2260.68,7,15,"[2436, 3677, 236, 346, 40, 3054, 82, 3464, 140, 2501, 1892, 694, 2885, 3828, 3528, 1199, 2889, 3283]",59.66225272314146
2.0,2028.34,5,20,"[2436, 3926]",346.83861895700136
26.0,2277.98,7,16,"[2436, 1301, 252, 3741, 3448, 3033, 795, 3530, 694, 286, 2455, 732, 274, 871, 3915, 3162, 101, 2699, 705, 706, 616, 3947, 102, 2419, 1317, 184]",32.86751587814327
33.0,2280.2,7,16,"[2436, 3677, 364, 3407, 3419, 3672, 702, 3530, 2455, 625, 694, 705, 3992, 3950, 232, 795, 2636, 220, 286, 184, 616, 2207, 3947, 706, 157, 2889, 3236, 3111, 101, 2030, 718, 3528, 236]",120.09333203804448
35.0,2280.24,7,14,"[2436, 3677, 3070, 322, 3376, 1762, 3485, 3471, 3464, 3783, 3278, 2751, 854, 82, 663, 705, 664, 3097, 3528, 1491, 616, 795, 3947, 286, 2531, 236, 101, 339, 2207, 447, 582, 102, 3616, 3236, 1477]",39.259261327742784
