n_nodes,influence,time,nodes
1.0,1960.0,5,[1730]
65.0,2290.92,7,"[3074, 3459, 186, 1813, 152, 803, 3107, 3365, 3878, 168, 2862, 945, 692, 1208, 312, 1212, 3906, 2115, 2526, 453, 840, 2122, 3261, 3152, 2394, 3672, 1499, 92, 1504, 758, 3517, 1089, 3777, 1218, 708, 2558, 2887, 1350, 3531, 3791, 3920, 2898, 2006, 855, 2468, 2908, 1884, 1887, 2145, 3941, 488, 1513, 2920, 236, 621, 1520, 1137, 1138, 2291, 2290, 3313, 371, 2289, 882, 126]"
92.0,2309.32,7,"[3074, 161, 3015, 1813, 703, 152, 803, 3107, 3365, 3878, 168, 3249, 945, 2878, 1208, 312, 1212, 3906, 2115, 3396, 1591, 2472, 1800, 1946, 3437, 3179, 113, 1654, 636, 1665, 132, 3204, 3747, 675, 165, 3760, 1210, 699, 705, 3783, 2249, 3274, 3275, 2767, 734, 2782, 225, 742, 745, 1260, 2287, 2801, 1281, 257, 1289, 3339, 3343, 1812, 790, 1814, 2846, 3367, 317, 837, 1879, 3937, 363, 378, 2429, 3462, 2958, 1936, 2962, 2454, 1432, 2970, 1952, 3489, 2465, 1443, 1955, 1707, 429, 948, 4023, 3001, 1983, 1476, 4038, 2008, 485, 3573]"
4.0,2104.78,6,"[3096, 3971, 186, 2062]"
35.0,2260.2,7,"[250, 155, 3974, 343, 2910, 2678, 3804, 3753, 2526, 2510, 1654, 636, 1665, 132, 3204, 3747, 675, 165, 3760, 129, 699, 705, 3783, 2249, 3274, 3275, 3528, 3790, 2258, 3155, 3540, 468, 1878, 3906, 3415]"
69.0,2300.86,7,"[1871, 1890, 3087, 703, 1813, 152, 803, 3107, 3217, 3097, 666, 411, 3998, 3231, 3233, 3490, 1059, 3617, 2377, 2853, 166, 167, 2856, 810, 1964, 2224, 2993, 1572, 563, 54, 2358, 1089, 955, 3517, 3777, 1218, 708, 2558, 2887, 1350, 2122, 3531, 2388, 3011, 236, 1477, 198, 2885, 1480, 713, 3528, 3790, 2258, 3155, 3540, 468, 1878, 3415, 3673, 3802, 3804, 2171, 706, 2531, 101, 487, 3048, 2666, 3947]"
14.0,2230.3,7,"[809, 186, 3971, 3179, 1739, 2293, 2499, 2741, 1237, 2041, 1480, 713, 3528, 3790]"
26.0,2255.7,7,"[1730, 2761, 2762, 203, 3836, 2742, 221, 3268, 1740, 365, 2224, 3011, 3125, 1477, 713, 198, 3790, 2258, 3155, 3540, 468, 1878, 706, 1480, 3528, 3906]"
12.0,2225.9,7,"[663, 3971, 2062, 2916, 186, 201, 1237, 2041, 1480, 713, 3528, 3790]"
6.0,2163.1,6,"[1107, 3112, 2742, 703, 2510, 3437]"
56.0,2289.62,7,"[324, 3459, 901, 3464, 140, 3341, 1237, 2317, 3781, 31, 1627, 713, 2388, 3790, 2258, 3155, 3540, 468, 1878, 3528, 3415, 3787, 3802, 3804, 2531, 101, 487, 3048, 899, 3947, 2856, 810, 1964, 2224, 2993, 1200, 563, 310, 54, 2358, 2742, 955, 3517, 3268, 2761, 2762, 203, 1740, 365, 221, 1730, 2971, 3906, 706, 3011, 1477]"
11.0,2210.28,7,"[663, 3971, 2062, 2916, 201, 186, 1237, 2041, 1338, 713, 3528]"
33.0,2257.64,7,"[809, 186, 3971, 3179, 1739, 2293, 2499, 2741, 1237, 2317, 3274, 1480, 713, 3528, 3790, 2846, 449, 2258, 3155, 3540, 675, 165, 3760, 129, 1070, 705, 3783, 2249, 3275, 468, 1878, 929, 3415]"
24.0,2243.3,7,"[324, 3459, 901, 1788, 140, 1725, 1480, 26, 3165, 2917, 3287, 713, 198, 2681, 3790, 2258, 1904, 2751, 3540, 3415, 3673, 3802, 2171, 3804]"
23.0,2241.7,7,"[1337, 3971, 2062, 3242, 2263, 186, 221, 3011, 706, 1477, 713, 198, 2885, 2068, 3829, 3790, 2258, 3155, 3540, 468, 1878, 3415, 694]"
46.0,2275.18,7,"[324, 3459, 901, 3464, 140, 3341, 1237, 2317, 3781, 31, 1627, 713, 2388, 3790, 2258, 3155, 3540, 468, 1878, 3415, 3787, 3802, 3804, 2531, 101, 487, 3528, 3048, 899, 3947, 2856, 772, 2224, 2742, 1730, 3011, 3268, 1477, 706, 3906, 2761, 2762, 203, 1740, 221, 365]"
10.0,2208.96,7,"[1730, 3971, 2062, 2916, 201, 186, 1237, 149, 1480, 713]"
7.0,2206.12,7,"[809, 186, 2359, 3179, 758, 3672, 92]"
3.0,2039.76,6,"[809, 3033, 2468]"
91.0,2305.16,7,"[1871, 140, 3087, 1813, 3437, 703, 152, 803, 3107, 3365, 3878, 168, 3249, 945, 2878, 1208, 3982, 1212, 3906, 2115, 3396, 898, 2472, 1800, 1946, 3179, 113, 1654, 636, 1579, 132, 3204, 122, 675, 165, 3760, 1210, 699, 705, 3783, 2249, 3274, 3275, 2767, 734, 2782, 225, 817, 745, 1260, 2287, 2801, 1281, 257, 1289, 3339, 3343, 1812, 790, 1814, 1136, 3367, 317, 837, 1879, 3937, 363, 378, 3917, 3462, 2958, 1936, 2962, 2454, 1432, 2970, 1952, 3489, 2465, 1443, 1955, 1707, 429, 948, 2433, 3001, 1983, 2183, 4038, 2008, 3052]"
5.0,2137.06,6,"[3096, 3971, 186, 2062, 2547]"
51.0,2278.42,7,"[324, 186, 3971, 2002, 936, 2499, 2149, 3365, 647, 168, 2862, 945, 3787, 899, 3802, 3804, 2531, 101, 487, 2248, 2856, 2122, 3947, 3891, 1964, 2993, 708, 2558, 2887, 1350, 2224, 2885, 3983, 713, 3790, 2258, 3155, 3540, 468, 1878, 3415, 3673, 3528, 2171, 2666, 706, 3011, 3531, 1477, 198, 3517]"
32.0,2257.38,7,"[3096, 27, 186, 1647, 3540, 3621, 3205, 3412, 709, 2149, 3415, 3790, 713, 2531, 2258, 101, 3155, 3802, 3048, 2856, 3947, 810, 1964, 2224, 92, 2354, 758, 2885, 1480, 1878, 3906, 3528]"
38.0,2268.66,7,"[324, 3459, 901, 3464, 140, 3341, 1237, 31, 3781, 2317, 1627, 713, 2388, 3787, 3790, 2258, 3155, 468, 1878, 3415, 899, 3540, 3802, 3804, 2531, 2621, 487, 3048, 2856, 3947, 3891, 1964, 2993, 708, 2558, 2887, 1350, 2224]"
2.0,2012.78,5,"[2275, 3435]"
6.0,2159.18,7,"[324, 3112, 538, 703, 2510, 3437]"
29.0,2257.12,7,"[3827, 186, 2778, 3464, 248, 3081, 203, 1740, 921, 2742, 221, 198, 706, 1730, 3011, 1480, 2885, 713, 2258, 3155, 3540, 1477, 3528, 3906, 3531, 2224, 3790, 468, 1878]"
17.0,2235.5,7,"[250, 489, 3974, 343, 2910, 2678, 3804, 3753, 2526, 713, 2761, 203, 2056, 3528, 3155, 3540, 3790]"
40.0,2269.42,7,"[1107, 3112, 2742, 703, 2510, 3437, 3415, 3787, 3802, 2531, 101, 3946, 3048, 899, 3947, 2856, 810, 1964, 2224, 3541, 1200, 563, 310, 54, 2358, 955, 3517, 3268, 2761, 2762, 203, 1740, 365, 221, 1730, 2971, 3906, 706, 3011, 1477]"
42.0,2274.14,7,"[3074, 161, 3015, 1813, 703, 152, 803, 3107, 3365, 3878, 168, 3249, 945, 2878, 1208, 312, 1212, 3906, 2115, 3396, 1591, 2472, 1800, 1946, 3437, 3179, 113, 1386, 636, 1665, 132, 3204, 3747, 675, 165, 3760, 1210, 699, 705, 3783, 2249, 3274]"
