n_nodes,influence,time,nodes
9.0,37.0,7,"[1272, 2090, 1684, 2343, 2237, 1912, 1323, 3584, 1730]"
8.0,8.0,6,"[1282, 2247, 1967, 3313, 3857, 405, 633, 2555]"
1.0,1.0,1,[556]
19.0,46.0,6,"[2064, 2102, 4, 946, 1797, 2438, 2567, 900, 2958, 399, 2706, 3986, 2583, 1291, 2585, 540, 1322, 107, 1604]"
19.0,46.0,6,"[3514, 2102, 946, 2737, 3364, 1935, 1849, 2118, 2880, 1858, 3172, 2498, 2210, 2505, 3145, 972, 2226, 3087, 107]"
75.0,163.0,7,"[2, 2563, 2839, 2862, 2086, 2394, 414, 2144, 1730, 1959, 2500, 2753, 1267, 2928, 2139, 2604, 2669, 2149, 2607, 545, 2073, 1868, 2782, 1714, 1886, 2078, 91, 3025, 1669, 1598, 2184, 2218, 942, 1048, 1862, 2510, 2180, 3017, 1902, 1488, 2623, 3800, 2190, 2290, 2630, 2093, 2215, 526, 1402, 2742, 805, 2299, 107, 2302, 1019, 612, 2001, 1964, 1955, 3298, 2491, 2266, 1986, 3291, 1367, 2340, 2188, 1917, 3000, 1344, 2542, 1006, 1066, 484, 0]"
90.0,204.0,7,"[2077, 1044, 1316, 2347, 2862, 2839, 1912, 3344, 916, 713, 1396, 3172, 2086, 2414, 3656, 402, 2289, 1683, 2542, 2462, 1271, 3054, 1730, 1953, 3437, 2578, 1800, 2078, 2472, 0, 2510, 1017, 3025, 1669, 2471, 1598, 2184, 3615, 942, 1048, 1862, 2180, 3017, 1902, 1917, 1488, 2623, 3800, 2190, 2290, 2630, 2093, 2215, 526, 1402, 2742, 805, 2299, 107, 1019, 612, 2001, 1964, 1955, 3298, 2491, 2266, 1986, 3291, 1367, 2340, 2188, 3000, 1344, 1006, 1066, 484, 1915, 3734, 2666, 2271, 2247, 2582, 1622, 2353, 419, 2877, 2423, 2083, 2022]"
81.0,169.0,7,"[2, 2563, 2839, 2862, 2394, 2086, 91, 2144, 2877, 1730, 414, 2500, 1267, 2423, 2928, 1959, 2753, 2139, 2669, 1800, 2149, 2083, 2022, 2347, 0, 2604, 2180, 2782, 1868, 1886, 2607, 1669, 2184, 2188, 2190, 3025, 2889, 526, 545, 1048, 1902, 2073, 2078, 1598, 2290, 1955, 2510, 1862, 1402, 2340, 805, 1488, 3800, 2302, 3017, 1019, 2215, 942, 2218, 1066, 107, 2093, 1964, 2299, 2630, 612, 2623, 2742, 1917, 3000, 2491, 3298, 1344, 1986, 2001, 1367, 2266, 1006, 2542, 3291, 484]"
31.0,125.0,7,"[2046, 2060, 698, 174, 2727, 2472, 1912, 3116, 2516, 666, 2484, 1540, 9, 1126, 1655, 1623, 2189, 3366, 3412, 2542, 1683, 1591, 2475, 1800, 0, 1946, 3437, 2510, 3022, 2749, 2471]"
49.00000000000001,161.0,7,"[2154, 2165, 2609, 1483, 2086, 1912, 3216, 1323, 3656, 1380, 1730, 1020, 3062, 3581, 0, 2944, 1078, 916, 713, 2064, 3412, 3344, 2323, 2414, 412, 2462, 1271, 406, 2289, 1953, 2469, 2229, 3293, 1927, 2142, 6, 2123, 2602, 1918, 942, 2280, 2244, 136, 1746, 2294, 3437, 1273, 762, 1684]"
84.0,172.0,7,"[2077, 934, 1316, 2839, 2088, 2394, 414, 153, 1959, 2500, 2753, 2347, 1730, 1267, 2928, 2139, 2542, 2604, 2669, 2189, 3366, 3412, 1591, 2475, 1946, 0, 3437, 3022, 2749, 2600, 2398, 2123, 2323, 2229, 2602, 1918, 942, 2280, 2244, 412, 2064, 2469, 136, 1746, 2294, 1273, 762, 2299, 2484, 1616, 2811, 2813, 3837, 3839, 2313, 3159, 3345, 2834, 3348, 1818, 3359, 2852, 3370, 3885, 301, 1840, 3889, 2058, 2578, 1742, 484, 3252, 3750, 2151, 2322, 2042, 2765, 1287, 1242, 2787, 2329, 3971, 3983, 1823]"
85.0,201.0,7,"[2077, 934, 153, 1316, 2088, 2394, 2189, 3366, 2839, 3412, 2500, 1959, 2753, 1267, 414, 2928, 1730, 2139, 2542, 2347, 1591, 2669, 2475, 1946, 3437, 3022, 2604, 2749, 2600, 2398, 2323, 2229, 2390, 596, 2218, 942, 1048, 1862, 2180, 3017, 1902, 1488, 2623, 3800, 0, 2190, 2290, 2630, 1917, 2510, 2093, 2215, 526, 1402, 2742, 805, 2299, 107, 1019, 612, 2001, 1964, 1955, 3298, 2491, 2266, 1986, 3291, 3744, 2340, 2188, 3000, 1344, 3165, 1066, 484, 1491, 3734, 2666, 2271, 2247, 2582, 1622, 2353, 419]"
