n_nodes,influence,nodes
1.8568952711067097,56.13988611042336,"[0, 3456, 1666, 647, 3592, 3721, 3851, 3980, 1420, 1171, 1684, 21, 3861, 285, 414, 3877, 805, 3495, 3750, 169, 2347, 171, 3756, 686, 428, 304, 3633, 3501, 563, 1972, 308, 567, 56, 58, 698, 828, 1085, 315, 830, 322, 67, 2116, 3525, 324, 713, 719, 1361, 594, 339, 3540, 3797, 213, 3674, 860, 3677, 862, 3962, 3550, 348, 483, 3684, 3561, 745, 747, 3948, 3437, 2543, 3440, 3830, 119, 3577, 122, 635, 1405, 3454]"
1.7083436494181727,56.06041099282001,"[0, 3456, 1666, 3592, 3721, 3851, 1420, 3980, 3090, 1171, 1684, 3861, 21, 2839, 285, 3872, 3877, 3750, 3495, 805, 2347, 3756, 171, 686, 3501, 304, 3633, 56, 698, 58, 828, 1085, 315, 830, 322, 67, 3651, 3525, 713, 719, 1361, 594, 3540, 3797, 596, 213, 3674, 1371, 860, 3677, 862, 3962, 3550, 3684, 3561, 745, 747, 3948, 3437, 107, 2543, 3440, 3830, 119, 3577, 122, 1787, 1405, 3454]"
1.6093092349591485,56.09111166130231,"[0, 3456, 1666, 3592, 3851, 3980, 1420, 3090, 1171, 1684, 3861, 21, 2839, 3877, 805, 3495, 2347, 3756, 171, 686, 3501, 304, 3633, 1972, 56, 697, 58, 698, 828, 1085, 315, 830, 703, 322, 67, 2116, 3525, 713, 719, 1361, 594, 3797, 3674, 1371, 860, 3677, 862, 3962, 1505, 3454, 3684, 3561, 745, 747, 3948, 3437, 2543, 3440, 3830, 119, 3577, 122, 1787, 1405, 1534]"
1.559792027729636,55.995295865313196,"[0, 3456, 1666, 3592, 3851, 1420, 3980, 1171, 1684, 3861, 21, 803, 3877, 805, 3495, 3750, 2347, 3756, 171, 686, 3501, 304, 3633, 1972, 823, 56, 697, 698, 58, 828, 1085, 830, 315, 703, 322, 67, 2116, 3525, 713, 719, 1361, 594, 3540, 3797, 3674, 860, 3677, 862, 3684, 122, 745, 3561, 747, 3948, 3437, 2543, 3440, 3830, 119, 3577, 3962, 1405, 3454]"
1.5102748205001237,55.84055459272097,"[0, 3456, 1666, 3592, 3851, 1420, 1171, 1684, 3861, 21, 800, 803, 805, 3877, 3495, 810, 2347, 171, 3756, 686, 304, 3633, 1972, 1973, 823, 56, 697, 58, 698, 828, 1085, 830, 703, 2364, 315, 322, 67, 2116, 3525, 713, 719, 1361, 3674, 860, 3677, 862, 1505, 3454, 3684, 745, 3561, 747, 3948, 3437, 2543, 3830, 119, 3577, 122, 1405, 1534]"
1.4607576132706115,55.95667244367418,"[0, 3456, 1666, 3592, 3851, 3980, 1420, 3090, 1171, 1684, 3861, 21, 2839, 3877, 805, 3495, 1534, 2347, 3756, 171, 686, 3501, 304, 3633, 1972, 56, 58, 698, 828, 1085, 830, 315, 322, 67, 2116, 3525, 713, 719, 1361, 594, 3674, 860, 3677, 862, 1505, 3684, 3561, 745, 747, 3948, 3437, 2543, 3440, 3830, 119, 3577, 122, 1405, 3454]"
1.4112404060410992,55.900222827432536,"[0, 3456, 1666, 3592, 3851, 3980, 1420, 3090, 1171, 1684, 3861, 21, 2839, 3877, 805, 3495, 2347, 3756, 171, 686, 3501, 304, 3633, 56, 58, 698, 828, 1085, 830, 315, 322, 67, 3525, 713, 719, 1361, 594, 3674, 860, 3677, 862, 1505, 3454, 3684, 3561, 745, 747, 3948, 3437, 2543, 3440, 3830, 119, 3577, 122, 1405, 1534]"
1.361723198811587,55.705620203020544,"[0, 3456, 1666, 3851, 1420, 1419, 3090, 1171, 1684, 21, 2839, 285, 3363, 803, 3877, 805, 3495, 2347, 3756, 171, 686, 304, 3633, 823, 56, 697, 698, 58, 315, 1085, 828, 830, 703, 2754, 322, 67, 1352, 713, 719, 1361, 213, 860, 3677, 862, 3684, 3561, 745, 747, 3948, 3437, 2543, 3830, 119, 122, 1405]"
1.3122059915820747,55.842782867046296,"[0, 3456, 1666, 3592, 3851, 1420, 1165, 3090, 1171, 1684, 21, 3861, 1687, 2839, 3877, 805, 3495, 2347, 3756, 171, 686, 3501, 3633, 56, 58, 698, 828, 1085, 830, 322, 67, 3525, 713, 719, 1361, 3674, 1371, 860, 3677, 862, 3684, 745, 3561, 747, 3948, 3437, 2543, 3830, 119, 3577, 1787, 1405, 3454]"
1.2626887843525625,55.88809111166131,"[0, 3456, 1666, 3592, 3851, 1420, 3090, 1684, 21, 3861, 2839, 3877, 805, 3495, 1577, 171, 3756, 686, 304, 3633, 56, 58, 698, 828, 1085, 315, 322, 67, 713, 719, 596, 3674, 1371, 860, 3677, 862, 1505, 3684, 745, 3561, 107, 3948, 3437, 3830, 119, 1912, 3577, 122, 1787, 1405, 1534]"
