n_nodes,influence,communities,time,nodes,std
0.20120724346076457,4.7,1,5,[442],9.336267991012255
0.6036217303822935,10.74,5,7,"[168, 442, 145]",17.300820789777575
0.40241448692152915,6.62,4,6,"[145, 168]",18.18778711113587
0.6036217303822935,8.98,6,8,"[145, 245, 168]",20.87079059355443
0.20120724346076457,3.57,2,5,[83],11.839641041855957
1.6096579476861166,21.69,10,9,"[168, 442, 78, 83, 145, 23, 210, 487]",25.43069012040373
1.408450704225352,19.95,9,9,"[145, 24, 328, 210, 168, 442, 83]",23.12621023860157
0.8048289738430581,14.08,7,8,"[168, 442, 83, 216]",21.342680244055572
1.408450704225352,19.83,10,8,"[145, 24, 254, 328, 168, 442, 83]",25.17357940381145
2.2132796780684103,25.25,11,9,"[145, 328, 78, 23, 216, 442, 210, 83, 487, 276, 168]",24.970054064819326
2.414486921529175,25.66,12,8,"[168, 442, 78, 23, 83, 210, 145, 244, 328, 410, 399, 487]",22.788898613140564
0.40241448692152915,8.28,3,7,"[83, 442]",15.243001672898943
2.414486921529175,24.59,13,9,"[145, 23, 442, 254, 307, 210, 378, 395, 83, 487, 168, 394]",24.613004692641653
0.40241448692152915,6.62,4,7,"[168, 145]",17.635747786810743
1.8108651911468812,22.71,11,8,"[145, 23, 442, 489, 328, 216, 168, 210, 83]",23.303338816573042
1.2072434607645874,18.26,9,9,"[145, 210, 442, 39, 168, 83]",23.5616128480204
1.8108651911468812,23.14,10,9,"[145, 78, 442, 241, 210, 23, 487, 168, 83]",24.79811283142328
0.6036217303822935,10.74,5,8,"[145, 168, 442]",21.519505105833638
1.8108651911468812,21.98,12,8,"[168, 442, 29, 340, 145, 83, 210, 487, 395]",27.16648486646736
0.8048289738430581,14.19,6,8,"[168, 442, 210, 83]",20.957757513627264
1.6096579476861166,21.71,9,8,"[145, 328, 210, 113, 442, 168, 83, 23]",23.100413416214003
2.2132796780684103,22.92,13,9,"[145, 23, 442, 373, 210, 342, 397, 393, 487, 168, 83]",25.855310866435158
1.2072434607645874,18.3,8,8,"[145, 328, 442, 216, 168, 83]",23.182793188052212
2.414486921529175,25.91,11,8,"[145, 188, 328, 23, 487, 244, 410, 442, 168, 304, 210, 83]",24.86885602515725
0.6036217303822935,10.74,5,7,"[145, 442, 168]",16.90657860124277
2.0120724346076457,24.64,10,8,"[168, 442, 78, 185, 216, 487, 23, 145, 210, 83]",26.388578968940337
1.6096579476861166,20.59,11,9,"[168, 442, 78, 210, 23, 487, 340, 145]",23.281707411613947
2.2132796780684103,24.44,12,8,"[145, 23, 442, 245, 268, 328, 395, 210, 487, 168, 83]",23.490293740181283
2.0120724346076457,23.62,12,8,"[145, 23, 442, 254, 399, 340, 83, 210, 487, 168]",22.60066149474391
2.0120724346076457,23.86,11,9,"[145, 23, 442, 245, 78, 406, 328, 487, 168, 83]",21.173370067138578
1.0060362173038226,16.23,7,8,"[168, 442, 39, 83, 145]",21.9627206875651
1.0060362173038226,15.96,8,9,"[145, 210, 442, 83, 168]",23.478098304590173
