n_nodes,influence,time,nodes
12.0,1145.3,3,"[900, 1385, 320, 1522, 507, 731, 728, 1494, 1270, 892, 1250, 1162]"
10.0,828.46,5,"[384, 2049, 1384, 1833, 879, 18, 2614, 2583, 2107, 540]"
6.0,745.76,4,"[1602, 67, 106, 403, 952, 2047]"
49.00000000000001,1446.12,7,"[1793, 129, 1799, 2058, 2319, 1552, 399, 408, 2329, 1562, 1051, 1566, 2334, 1189, 806, 807, 2216, 2347, 683, 1070, 430, 822, 1080, 1469, 446, 1855, 835, 2627, 1866, 1483, 2125, 1870, 1358, 2137, 91, 1499, 605, 2654, 359, 2029, 1007, 1649, 115, 1780, 1652, 2037, 2039, 1912, 1535]"
9.0,696.86,5,"[2244, 1320, 1481, 2158, 240, 2545, 850, 2041, 1690]"
17.0,1059.24,6,"[224, 2305, 2146, 2306, 1924, 1607, 1735, 521, 1578, 1549, 2640, 2261, 2358, 567, 1077, 571, 1791]"
33.0,1323.2,7,"[341, 1545, 1504, 745, 807, 301, 1173, 1284, 1592, 1144, 617, 660, 500, 1122, 1755, 1628, 351, 2532, 101, 2663, 1896, 1641, 748, 1260, 2156, 113, 1138, 1905, 1860, 885, 760, 765, 2430]"
20.0,1145.12,6,"[579, 870, 906, 1106, 1250, 391, 860, 232, 2282, 1259, 2157, 1903, 2672, 47, 1778, 1424, 1910, 121, 1403, 1982]"
22.0,1201.34,7,"[1923, 1190, 2539, 1328, 1366, 2137, 1051, 699, 1919, 1912, 980, 855, 218, 238, 242, 500, 757, 1525, 2169, 2170, 1660, 2687]"
21.0,1270.78,5,"[364, 2049, 1384, 1833, 879, 18, 2614, 2583, 2107, 540, 1401, 500, 1189, 1855, 1676, 1575, 508, 254, 673, 1931, 802]"
13.0,1016.46,5,"[138, 2317, 400, 530, 1948, 544, 277, 1432, 536, 928, 1697, 2009, 1960]"
20.0,1230.76,5,"[579, 823, 937, 1106, 906, 2001, 471, 860, 1628, 1737, 769, 1641, 444, 47, 1778, 1424, 2334, 121, 1403, 1982]"
32.0,1368.54,5,"[679, 1477, 2488, 1318, 796, 1156, 524, 1111, 1783, 1922, 526, 1457, 289, 930, 807, 1323, 428, 1584, 1329, 1842, 689, 48, 53, 1970, 1595, 1212, 1215, 1472, 578, 458, 843, 846]"
26.0,1355.22,6,"[364, 2049, 1384, 1833, 1028, 18, 2614, 2583, 1569, 653, 1108, 2481, 1836, 474, 1759, 336, 304, 823, 254, 1602, 2117, 1122, 825, 1512, 583, 1456]"
18.0,1249.8,4,"[1357, 1602, 2156, 2481, 1836, 879, 474, 1759, 336, 304, 823, 2413, 1122, 825, 1512, 583, 254, 1456]"
47.0,1435.34,7,"[1412, 2447, 1820, 1950, 1698, 2218, 1453, 1456, 562, 1715, 1597, 1344, 2242, 1099, 1148, 78, 2384, 2386, 850, 2130, 339, 1501, 1383, 616, 1896, 1058, 238, 753, 755, 1268, 758, 887, 888, 101, 2663, 1641, 748, 2628, 2156, 113, 1138, 1905, 1908, 885, 760, 765, 2430]"
9.0,983.5,4,"[579, 823, 200, 1106, 906, 2001, 471, 860, 1628]"
11.0,999.84,5,"[1653, 2317, 400, 554, 1175, 881, 2642, 1588, 653, 1108, 1602]"
40.0,1418.38,6,"[640, 563, 1667, 390, 521, 1549, 910, 1167, 2125, 1561, 794, 2457, 1491, 920, 1062, 1203, 1513, 1407, 1401, 500, 1189, 1855, 1336, 699, 2137, 365, 1499, 605, 2654, 359, 2029, 1649, 115, 1780, 1652, 2037, 2039, 1912, 1535, 1007]"
32.0,1389.36,4,"[640, 563, 1667, 390, 521, 1549, 524, 1111, 1783, 1922, 526, 1457, 289, 930, 807, 1323, 944, 1584, 1329, 1842, 689, 48, 53, 1970, 1595, 1212, 1215, 1472, 578, 458, 843, 846]"
38.0,1381.86,6,"[364, 2049, 1384, 1833, 1028, 1549, 388, 1167, 2192, 1561, 794, 2457, 1491, 920, 1062, 78, 2384, 2386, 850, 2130, 339, 1501, 1383, 616, 1896, 1058, 238, 753, 755, 1268, 758, 887, 888, 2557, 2299, 2428, 2465, 2046]"
12.0,1074.1,4,"[1400, 966, 1829, 1628, 521, 1549, 910, 1167, 2192, 1561, 794, 2457]"
20.0,1261.36,4,"[900, 781, 2637, 1491, 920, 1062, 1203, 1513, 1407, 1401, 500, 1189, 1855, 1676, 1241, 508, 254, 673, 392, 802]"
57.0,1456.56,7,"[1653, 2317, 400, 554, 1948, 544, 722, 1337, 1932, 2318, 657, 658, 894, 1684, 277, 534, 1561, 1950, 1568, 1184, 1826, 2089, 2478, 2480, 2609, 1331, 94, 1077, 2103, 567, 512, 1336, 699, 2137, 91, 1499, 605, 2654, 359, 1896, 1649, 115, 1780, 1652, 2037, 2039, 1912, 1535, 1007, 2546, 2291, 381, 507, 2299, 2428, 1149, 2046]"
14.0,1083.48,5,"[515, 10, 736, 105, 1939, 2196, 277, 1432, 536, 928, 2334, 121, 1403, 1982]"
22.0,1259.3,6,"[679, 677, 1595, 523, 145, 731, 728, 1494, 1270, 892, 931, 980, 855, 218, 238, 242, 500, 757, 1525, 2170, 1660, 2687]"
40.0,1393.94,7,"[640, 563, 18, 1667, 390, 521, 2614, 2583, 1569, 653, 1108, 2481, 1836, 474, 1759, 336, 304, 529, 254, 1602, 2117, 1122, 825, 699, 2137, 365, 1499, 605, 2654, 359, 2029, 1649, 115, 1780, 1652, 2037, 588, 1912, 1535, 1007]"
32.0,1262.92,7,"[1653, 2317, 400, 554, 1175, 881, 2642, 1588, 653, 1108, 1602, 1483, 1052, 337, 689, 611, 1316, 1352, 1557, 334, 1874, 2259, 1618, 854, 215, 238, 242, 500, 757, 2170, 1148, 2687]"
11.0,1041.34,4,"[640, 563, 1667, 554, 1175, 881, 2642, 1588, 1602, 653, 1682]"
3.0,545.84,3,"[1142, 1895, 748]"
14.0,1038.2,6,"[1045, 185, 2156, 1632, 195, 1121, 362, 123, 236, 876, 2672, 1009, 250, 1147]"
45.0,1399.98,7,"[1653, 2317, 400, 554, 1948, 544, 722, 1337, 1932, 2318, 657, 658, 894, 1684, 277, 534, 1561, 1950, 1568, 1184, 1826, 2089, 2478, 2480, 2609, 1331, 1385, 1077, 2103, 567, 512, 1336, 699, 2137, 91, 1499, 605, 2654, 359, 1896, 1649, 115, 1780, 1652, 2037]"
