n_nodes,influence,nodes
1.0,842.68,[959]
7.0,1257.7,"[834, 869, 1353, 1198, 655, 1173, 439]"
5.0,1243.94,"[1408, 3, 380, 1283, 1310]"
37.0,1354.64,"[349, 33, 146, 1702, 112, 1963, 1779, 2014, 123, 1629, 1440, 549, 40, 940, 1582, 1970, 1974, 1848, 1270, 1725, 831, 404, 322, 1860, 1607, 840, 1737, 82, 731, 1896, 105, 234, 1515, 1137, 628, 374, 473]"
33.0,1343.08,"[97, 1218, 902, 1034, 17, 1298, 1559, 280, 412, 159, 1358, 549, 40, 940, 1582, 1970, 1974, 1848, 955, 1725, 831, 404, 322, 1860, 1607, 840, 1737, 82, 731, 1896, 105, 234, 1515]"
18.0,1319.38,"[1542, 3, 1796, 543, 1420, 142, 270, 1283, 16, 1942, 1302, 1974, 1476, 81, 729, 1886, 619, 1863]"
24.0,1335.24,"[833, 172, 1702, 1019, 1955, 112, 1779, 2014, 1727, 286, 1629, 91, 1910, 322, 1860, 1607, 840, 1737, 82, 731, 204, 105, 234, 1515]"
30.0,1335.88,"[1542, 3, 1796, 543, 1420, 142, 270, 1283, 16, 1942, 1302, 1974, 1476, 40, 940, 1582, 1970, 1848, 955, 1725, 1488, 404, 322, 1860, 1607, 840, 1737, 82, 731, 1896]"
21.0,1323.22,"[833, 33, 1702, 982, 1955, 112, 1779, 2014, 1727, 1629, 286, 322, 1860, 1607, 91, 844, 1910, 1737, 82, 731, 204]"
16.0,1316.68,"[1542, 3, 1796, 543, 1420, 142, 482, 1283, 16, 1942, 1302, 811, 31, 1907, 1199, 1748]"
14.0,1312.78,"[350, 482, 1437, 112, 61, 1759, 1955, 836, 1779, 1271, 286, 1748, 888, 31]"
11.0,1311.62,"[1313, 1998, 18, 1960, 1353, 1984, 1818, 482, 365, 129, 1779]"
