n_nodes,influence,time,nodes
3.0,19.78,1,"[723, 853, 812]"
5.0,34.18,2,"[759, 750, 367, 778, 801]"
5.0,32.66,3,"[365, 790, 533, 784, 810]"
17.0,73.78,2,"[295, 299, 852, 818, 697, 701, 805, 808, 123, 347, 855, 138, 758, 756, 684, 703, 220]"
25.0,90.8,3,"[723, 807, 789, 282, 793, 788, 126, 753, 484, 149, 528, 257, 717, 120, 785, 787, 784, 715, 336, 311, 347, 105, 330, 687, 88]"
8.0,51.42,2,"[733, 721, 704, 217, 183, 792, 690, 92]"
1.0,2.32,1,[470]
22.0,85.7,3,"[103, 596, 409, 609, 744, 700, 711, 725, 257, 783, 311, 709, 555, 672, 831, 822, 684, 771, 159, 837, 739, 316]"
2.0,5.6,2,"[256, 551]"
3.0,9.96,3,"[392, 910, 829]"
14.0,61.78,4,"[723, 853, 791, 948, 273, 683, 453, 344, 684, 818, 397, 341, 245, 707]"
3.0,16.98,2,"[507, 721, 812]"
8.0,21.72,6,"[906, 394, 14, 533, 658, 559, 700, 509]"
6.0,38.6,4,"[256, 1, 904, 684, 729, 835]"
5.0,20.96,4,"[298, 545, 818, 462, 911]"
6.0,32.88,5,"[627, 545, 904, 684, 729, 111]"
20.0,66.06,7,"[897, 610, 35, 578, 488, 315, 597, 534, 633, 826, 283, 479, 732, 869, 684, 251, 374, 840, 847, 408]"
16.0,69.76,4,"[256, 1, 904, 684, 729, 693, 295, 677, 169, 806, 831, 336, 752, 789, 172, 299]"
23.0,87.56,5,"[256, 1, 904, 684, 729, 835, 487, 741, 747, 438, 780, 767, 241, 750, 342, 751, 830, 346, 485, 424, 358, 829, 183]"
22.0,84.12,6,"[256, 1, 904, 684, 729, 752, 315, 88, 534, 633, 680, 783, 311, 709, 555, 831, 822, 316, 837, 771, 159, 739]"
16.0,63.64,6,"[256, 1, 640, 612, 935, 12, 109, 775, 755, 228, 194, 801, 752, 789, 172, 299]"
18.0,74.7,5,"[897, 610, 35, 976, 704, 684, 711, 141, 719, 295, 677, 169, 806, 831, 336, 789, 752, 111]"
7.0,36.74,5,"[798, 253, 35, 578, 704, 892, 756]"
19.0,77.9,5,"[749, 791, 685, 228, 719, 194, 935, 12, 179, 755, 109, 767, 241, 172, 789, 489, 336, 160, 111]"
21.0,77.54,7,"[256, 1, 904, 684, 518, 93, 664, 747, 679, 194, 767, 487, 241, 171, 342, 751, 974, 346, 871, 336, 752]"
20.0,81.92,5,"[897, 851, 35, 976, 684, 711, 704, 194, 767, 241, 750, 342, 855, 830, 346, 252, 424, 358, 829, 183]"
7.0,46.48,3,"[256, 1, 777, 684, 729, 693, 756]"
12.0,60.08,4,"[906, 738, 813, 684, 729, 693, 572, 779, 295, 828, 135, 806]"
23.0,85.42,6,"[256, 1, 904, 684, 729, 704, 711, 141, 657, 295, 677, 169, 806, 831, 336, 789, 883, 346, 485, 424, 358, 829, 183]"
9.0,45.74,6,"[967, 1, 640, 612, 746, 756, 704, 823, 141]"
9.0,50.4,5,"[504, 1, 680, 684, 729, 904, 747, 141, 823]"
17.0,71.28,5,"[256, 1, 704, 684, 729, 904, 747, 438, 974, 212, 749, 111, 71, 169, 336, 752, 831]"
12.0,55.46,5,"[504, 1, 835, 684, 729, 265, 674, 793, 904, 587, 362, 892]"
10.0,50.24,6,"[967, 1, 640, 612, 746, 756, 704, 823, 141, 674]"
16.0,67.84,5,"[256, 1, 863, 684, 729, 125, 804, 80, 123, 732, 683, 588, 220, 325, 741, 752]"
12.0,55.16,6,"[256, 1, 765, 684, 946, 729, 828, 752, 974, 438, 655, 122]"
13.0,58.24,6,"[256, 1, 765, 684, 729, 752, 655, 438, 974, 747, 590, 35, 711]"
15.0,69.1,3,"[256, 1, 122, 761, 684, 368, 756, 750, 855, 194, 767, 330, 252, 752, 111]"
19.0,73.44,6,"[256, 744, 640, 612, 746, 90, 900, 194, 767, 747, 241, 438, 342, 487, 171, 329, 60, 741, 847]"
18.0,76.94,4,"[256, 744, 57, 301, 570, 761, 756, 750, 855, 194, 767, 830, 806, 233, 336, 789, 752, 111]"
18.0,70.0,6,"[256, 744, 640, 612, 746, 711, 657, 295, 141, 368, 904, 11, 806, 831, 336, 789, 752, 567]"
17.0,65.12,6,"[256, 744, 640, 612, 746, 90, 900, 194, 767, 747, 241, 438, 684, 487, 171, 329, 60]"
15.0,64.48,5,"[440, 1, 904, 533, 743, 340, 750, 855, 194, 767, 330, 756, 252, 752, 111]"
21.0,80.32,6,"[372, 361, 904, 842, 251, 832, 436, 80, 588, 141, 123, 756, 645, 831, 806, 752, 677, 377, 219, 789, 336]"
10.0,53.16,4,"[256, 1, 533, 684, 847, 93, 265, 674, 793, 688]"
20.0,76.92,6,"[906, 738, 14, 634, 729, 231, 793, 587, 674, 704, 767, 353, 252, 356, 436, 358, 342, 240, 743, 346]"
11.0,55.18,5,"[854, 1, 104, 684, 892, 756, 550, 253, 767, 847, 688]"
