n_nodes,influence,time,nodes
1.0,187.36,2,[840]
13.0,441.64,4,"[91, 172, 701, 687, 467, 596, 240, 253, 733, 294, 195, 574, 119]"
2.0,196.42,2,"[686, 709]"
6.0,302.92,5,"[102, 231, 948, 803, 501, 778]"
11.0,366.76,6,"[390, 460, 172, 334, 814, 625, 850, 21, 919, 316, 159]"
10.0,399.88,4,"[471, 642, 744, 105, 107, 844, 205, 310, 406, 828]"
20.0,422.26,7,"[866, 356, 709, 294, 231, 487, 455, 906, 228, 14, 559, 80, 111, 658, 977, 593, 728, 91, 700, 61]"
8.0,316.34,6,"[871, 840, 296, 556, 269, 1005, 280, 442]"
17.0,450.84,5,"[149, 467, 414, 717, 140, 267, 774, 721, 111, 120, 673, 91, 759, 750, 393, 794, 801]"
15.0,441.92,6,"[365, 790, 533, 784, 810, 131, 299, 71, 392, 913, 244, 373, 438, 251, 60]"
14.0,442.56,5,"[338, 695, 806, 149, 131, 741, 190, 145, 530, 723, 86, 343, 822, 921]"
4.0,312.66,4,"[112, 150, 754, 616]"
13.0,409.78,5,"[805, 808, 948, 347, 820, 721, 228, 194, 245, 750, 116, 236, 830]"
7.0,305.24,5,"[295, 40, 100, 493, 910, 785, 790]"
14.0,415.9,6,"[257, 227, 676, 741, 236, 82, 786, 692, 594, 664, 922, 413, 147, 606]"
21.0,486.7,6,"[365, 790, 533, 592, 810, 131, 299, 71, 392, 913, 244, 373, 438, 251, 60, 147, 362, 372, 596, 764, 599]"
5.0,221.04,5,"[290, 709, 688, 561, 888]"
7.0,386.14,4,"[708, 806, 149, 131, 374, 294, 695]"
12.0,361.74,7,"[871, 840, 495, 493, 910, 587, 47, 227, 310, 753, 89, 318]"
23.0,427.62,7,"[871, 840, 200, 493, 910, 272, 47, 913, 672, 32, 678, 38, 159, 685, 690, 692, 955, 316, 572, 837, 336, 375, 255]"
10.0,339.34,6,"[295, 32, 458, 493, 910, 719, 214, 662, 289, 828]"
10.0,389.18,5,"[784, 806, 149, 131, 175, 757, 214, 662, 905, 860]"
3.0,249.18,4,"[784, 990, 149]"
9.0,322.52,6,"[708, 547, 823, 908, 313, 818, 242, 245, 22]"
9.0,357.72,5,"[257, 227, 676, 741, 236, 82, 786, 561, 733]"
18.0,454.78,6,"[871, 840, 142, 149, 109, 455, 755, 147, 92, 812, 721, 782, 671, 400, 596, 692, 175, 138]"
12.0,393.6,5,"[784, 990, 149, 690, 692, 955, 316, 572, 837, 336, 417, 255]"
5.0,343.96,4,"[708, 355, 374, 757, 695]"
11.0,327.58,7,"[871, 840, 495, 493, 910, 587, 47, 227, 722, 753, 89]"
6.0,371.12,4,"[387, 298, 778, 151, 501, 284]"
