n_nodes,influence,time,nodes
1.0,144.0,1,[744]
2.0,175.0,3,"[88, 783]"
5.0,52.0,6,"[912, 258, 741, 621, 53]"
3.0,29.0,4,"[871, 840, 273]"
18.0,309.0,7,"[866, 356, 691, 228, 231, 487, 455, 906, 394, 14, 235, 942, 336, 470, 89, 985, 93, 479]"
4.0,115.0,4,"[751, 782, 234, 706]"
18.0,314.0,6,"[871, 840, 926, 556, 269, 1005, 280, 438, 601, 408, 244, 942, 336, 470, 89, 985, 93, 479]"
18.0,501.0,5,"[416, 897, 610, 35, 578, 966, 935, 327, 786, 82, 594, 373, 694, 244, 124, 581, 805, 755]"
10.0,355.0,5,"[851, 788, 832, 536, 118, 795, 904, 1005, 742, 438]"
6.0,225.0,4,"[640, 785, 296, 556, 269, 810]"
6.0,192.0,5,"[513, 2, 7, 158, 280, 378]"
16.0,256.0,6,"[422, 69, 995, 501, 34, 408, 174, 329, 798, 751, 203, 687, 197, 703, 467, 344]"
10.0,215.0,6,"[688, 390, 832, 536, 118, 795, 904, 1005, 730, 438]"
7.0,153.0,6,"[871, 46, 805, 556, 34, 892, 174]"
5.0,215.0,4,"[871, 804, 805, 826, 102]"
14.0,227.0,7,"[871, 447, 805, 484, 34, 460, 172, 913, 747, 145, 850, 633, 826, 315]"
