n_nodes,influence,time,nodes
24.0,151.35,3,"[448, 560, 557, 452, 672, 593, 568, 457, 545, 372, 682, 559, 676, 684, 322, 521, 408, 442, 750, 330, 306, 264, 426, 275]"
9.0,67.29,6,"[859, 803, 464, 22, 983, 154, 247, 509, 126]"
7.0,54.4,4,"[315, 22, 983, 261, 247, 509, 126]"
1.0,11.09,1,[195]
22.0,147.77,4,"[317, 444, 377, 743, 341, 328, 368, 502, 493, 469, 497, 215, 640, 721, 526, 725, 979, 447, 729, 624, 476, 778]"
2.0,21.95,2,"[768, 337]"
4.0,30.79,4,"[553, 4, 274, 989]"
25.0,150.2,6,"[750, 80, 552, 430, 349, 343, 498, 781, 579, 287, 675, 931, 42, 55, 456, 332, 472, 859, 351, 482, 141, 233, 630, 507, 893]"
22.0,130.08,8,"[192, 111, 450, 355, 36, 581, 898, 519, 84, 467, 791, 190, 197, 591, 651, 593, 92, 349, 352, 228, 761, 636]"
5.0,39.74,5,"[750, 845, 912, 341, 500]"
23.0,145.34,5,"[431, 132, 374, 357, 513, 328, 271, 526, 688, 121, 338, 914, 819, 735, 884, 633, 573, 998, 609, 114, 586, 553, 437]"
5.0,48.4,3,"[471, 923, 229, 989, 274]"
4.0,41.25,3,"[768, 337, 624, 790]"
18.0,136.06,4,"[768, 439, 484, 682, 684, 594, 861, 722, 734, 248, 546, 115, 393, 134, 352, 604, 429, 530]"
5.0,45.98,4,"[768, 592, 140, 22, 161]"
6.0,48.72,5,"[768, 185, 990, 400, 11, 517]"
7.0,61.63,3,"[444, 337, 140, 192, 500, 559, 811]"
11.0,93.04,5,"[750, 80, 552, 430, 13, 140, 453, 559, 688, 921, 478]"
9.0,79.28,4,"[768, 337, 140, 192, 500, 265, 811, 27, 445]"
8.0,65.94,5,"[768, 337, 139, 46, 587, 247, 509, 93]"
9.0,74.41,5,"[768, 337, 140, 464, 973, 82, 375, 957, 465]"
16.0,122.34,6,"[750, 22, 983, 261, 500, 559, 811, 599, 134, 236, 562, 672, 681, 946, 312, 828]"
8.0,49.12,6,"[206, 876, 464, 22, 161, 247, 707, 93]"
17.0,128.4,4,"[768, 337, 140, 265, 500, 192, 811, 549, 807, 559, 134, 672, 762, 723, 276, 986, 609]"
6.0,55.39,3,"[768, 337, 140, 571, 500, 644]"
11.0,87.22,8,"[768, 87, 176, 192, 500, 559, 811, 134, 24, 921, 478]"
17.0,125.31,6,"[768, 417, 433, 500, 140, 811, 961, 48, 913, 134, 526, 672, 883, 470, 312, 828, 632]"
8.0,72.15,3,"[721, 140, 464, 232, 161, 131, 768, 539]"
3.0,35.65,3,"[768, 362, 583]"
11.0,91.87,6,"[768, 87, 176, 192, 500, 134, 559, 811, 533, 921, 478]"
16.0,120.58,8,"[768, 87, 229, 192, 500, 907, 13, 32, 447, 526, 134, 672, 861, 470, 828, 312]"
19.0,131.36,6,"[721, 802, 646, 146, 140, 844, 453, 114, 134, 672, 875, 811, 13, 883, 653, 312, 487, 512, 28]"
19.0,128.56,8,"[863, 87, 474, 413, 25, 955, 473, 293, 912, 134, 444, 115, 811, 393, 352, 986, 609, 159, 642]"
20.0,143.61,5,"[768, 485, 117, 413, 125, 609, 25, 955, 352, 161, 642, 545, 442, 912, 134, 393, 811, 115, 986, 632]"
8.0,71.91,4,"[315, 22, 425, 232, 590, 131, 768, 539]"
10.0,73.82,7,"[768, 87, 532, 176, 988, 500, 192, 549, 791, 860]"
17.0,125.7,5,"[278, 22, 946, 390, 500, 134, 559, 811, 24, 921, 230, 214, 762, 674, 723, 276, 986]"
20.0,140.83,7,"[768, 87, 255, 205, 811, 192, 500, 134, 24, 921, 506, 104, 161, 642, 609, 444, 293, 393, 912, 115]"
19.0,135.52,5,"[768, 370, 190, 274, 1001, 646, 161, 973, 875, 811, 453, 549, 13, 883, 653, 312, 487, 512, 28]"
18.0,126.78,6,"[768, 81, 590, 378, 471, 896, 858, 319, 982, 134, 811, 672, 312, 13, 653, 883, 487, 512]"
7.0,49.03,6,"[440, 87, 117, 176, 725, 765, 969]"
4.0,26.65,5,"[721, 87, 993, 117]"
7.0,50.37,5,"[863, 713, 590, 435, 617, 765, 969]"
10.0,81.88,6,"[85, 346, 176, 192, 485, 844, 645, 559, 941, 134]"
18.0,126.18,8,"[440, 87, 567, 907, 13, 807, 306, 768, 574, 25, 394, 828, 312, 985, 672, 590, 912, 322]"
11.0,96.0,4,"[768, 979, 255, 675, 211, 542, 811, 370, 532, 314, 531]"
13.0,116.11,8,"[440, 562, 87, 745, 318, 983, 141, 816, 163, 13, 435, 768, 134]"
13.0,118.24,6,"[440, 360, 983, 141, 768, 106, 472, 163, 811, 134, 13, 816, 562]"
12.0,116.76,6,"[440, 983, 163, 201, 141, 816, 562, 135, 989, 40, 134, 811]"
12.0,116.0,8,"[440, 693, 163, 201, 816, 178, 989, 87, 413, 134, 40, 811]"
12.0,103.95,9,"[440, 693, 531, 163, 201, 816, 989, 95, 134, 87, 40, 811]"
