n_nodes,influence,time,nodes
9.0,574.6,7,"[848, 1048, 1547, 361, 399, 1920, 1546, 1744, 135]"
4.0,518.64,6,"[1205, 1841, 614, 813]"
1.0,325.78,3,[1234]
16.0,599.96,7,"[80, 558, 614, 163, 1293, 29, 1604, 837, 1987, 1100, 1588, 1752, 1167, 929, 1815, 1824]"
12.0,590.12,7,"[848, 1048, 1547, 361, 399, 1546, 1933, 1744, 135, 92, 29, 76]"
47.0,634.44,7,"[848, 1048, 1754, 361, 1665, 1450, 1268, 1744, 933, 163, 166, 135, 1832, 69, 1470, 294, 1584, 1714, 967, 80, 1979, 193, 1856, 321, 323, 1094, 976, 612, 1972, 1741, 1162, 855, 1430, 476, 1372, 225, 1250, 1630, 1895, 1943, 1386, 1775, 1392, 374, 635, 1022, 1279]"
7.0,557.48,7,"[1205, 1518, 1841, 270, 513, 1815, 80]"
5.0,545.18,6,"[80, 963, 1751, 1735, 837]"
14.0,593.22,7,"[80, 558, 614, 163, 83, 1744, 244, 837, 468, 551, 1021, 929, 1385, 1167]"
3.0,456.62,6,"[1205, 1867, 1940]"
41.0,630.34,7,"[848, 1048, 1754, 361, 1665, 1978, 135, 1469, 367, 1065, 1051, 925, 672, 1735, 1570, 1189, 39, 940, 1840, 1969, 1972, 1338, 80, 443, 1858, 706, 708, 71, 1867, 1100, 459, 719, 83, 1494, 1753, 1755, 990, 355, 1269, 1654, 1404]"
24.0,608.86,7,"[848, 1048, 1754, 1435, 1268, 1744, 361, 933, 1665, 275, 1807, 918, 1256, 29, 441, 1987, 1100, 1588, 1752, 1815, 929, 80, 1824, 1167]"
15.0,594.62,7,"[848, 1048, 1754, 361, 1450, 1764, 1815, 936, 29, 76, 922, 135, 942, 1915, 415]"
2.0,322.58,5,"[994, 1944]"
34.0,621.12,7,"[848, 1048, 1754, 361, 1665, 1978, 135, 837, 367, 1065, 1021, 1915, 1862, 1609, 1225, 1870, 233, 1588, 1752, 979, 600, 1815, 80, 1402, 97, 929, 1763, 1167, 744, 1100, 459, 719, 83, 1494]"
27.0,614.7,7,"[848, 1048, 1754, 361, 1450, 1268, 1744, 1665, 933, 163, 166, 135, 1832, 69, 1470, 294, 1584, 1714, 600, 1979, 193, 80, 1856, 321, 323, 1094, 477]"
28.0,618.12,7,"[848, 1048, 1104, 389, 1789, 765, 135, 936, 29, 76, 922, 1915, 942, 415, 1627, 553, 106, 1647, 372, 1752, 979, 600, 892, 1815, 929, 97, 1763, 744]"
1.0,186.58,4,[1862]
2.0,376.8,4,"[1234, 198]"
6.0,552.72,6,"[848, 1048, 1754, 361, 1665, 425]"
45.0,633.18,7,"[848, 1048, 239, 1469, 1051, 1978, 925, 361, 672, 1665, 1735, 135, 367, 1570, 1189, 1065, 39, 940, 1840, 1969, 1338, 443, 1858, 1972, 706, 708, 80, 71, 1867, 1100, 459, 719, 83, 1494, 1753, 1755, 990, 355, 1269, 1654, 1404, 374, 635, 1392, 1279]"
26.0,611.7,7,"[848, 1048, 1104, 389, 1789, 765, 135, 936, 29, 76, 922, 1864, 942, 415, 1627, 553, 106, 1647, 372, 929, 1752, 979, 600, 97, 744, 1815]"
20.0,606.26,7,"[848, 893, 1754, 361, 1450, 1268, 1744, 1665, 933, 163, 166, 135, 1832, 69, 1470, 294, 1584, 1714, 600, 80]"
8.0,567.92,6,"[848, 1048, 1754, 361, 1450, 561, 1815, 936]"
37.0,626.24,7,"[848, 1048, 1754, 361, 1450, 1764, 1815, 936, 29, 1292, 1021, 135, 229, 741, 946, 1947, 929, 441, 1987, 1100, 1588, 1752, 1862, 1609, 1225, 1870, 719, 979, 600, 1627, 97, 1763, 744, 106, 1770, 372, 892]"
