n_nodes,influence,nodes
2.325983571119758,18.230609597924772,"[6656, 3587, 4, 5125, 10247, 8201, 6155, 4110, 10766, 6158, 8721, 2580, 4632, 3608, 2075, 6171, 11299, 9253, 8741, 6183, 8230, 10281, 8746, 5162, 10286, 7214, 3120, 9774, 7730, 2612, 565, 1078, 1588, 4662, 57, 9785, 1084, 11326, 8259, 9288, 5705, 11340, 10316, 6222, 2127, 3153, 8786, 85, 4182, 7255, 5208, 5209, 9310, 6239, 9312, 7265, 98, 100, 8293, 2663, 1127, 2156, 7789, 109, 1134, 3181, 1143, 3192, 2685, 4735, 1152, 9345, 5250, 3199, 9352, 10890, 9868, 10381, 3214, 5775, 9360, 9873, 5786, 11419, 3227, 8859, 7323, 4767, 2203, 10913, 10398, 6819, 1187, 2212, 4265, 171, 172, 11438, 1710, 5812, 7348, 7349, 8375, 2232, 4789, 700, 10429, 4284, 704, 1218, 4292, 6343, 4815, 1746, 8403, 9429, 9437, 9953, 11491, 7908, 10979, 10982, 231, 8935, 6889, 8936, 3307, 747, 237, 10989, 1265, 6898, 6901, 247, 1271, 3319, 2810, 6907, 5374, 4862, 255, 4865, 6401, 9985, 9478, 4359, 7948, 3341, 3856, 5392, 11538, 3867, 8988, 9500, 3359, 3873, 290, 11042, 11557, 1829, 3367, 7464, 3879, 8488, 6438, 1837, 4400, 2352, 306, 1843, 7476, 5425, 7990, 7481, 7482, 11070, 6978, 1352, 7498, 1867, 6474, 9036, 1358, 3406, 8530, 4438, 8030, 11102, 2914, 5475, 356, 10599, 1897, 5993, 11115, 10094, 370, 884, 7029, 377, 4473, 381, 1405, 8064, 10115, 392, 3464, 8073, 10125, 1934, 9104, 2449, 5523, 4499, 4501, 2964, 7572, 10650, 8605, 1949, 9120, 5027, 7589, 8613, 2473, 426, 4011, 7084, 7597, 7082, 940, 2480, 6065, 7089, 11185, 7096, 5051, 1468, 6081, 6086, 455, 454, 6090, 4043, 459, 4556, 3026, 984, 7130, 4060, 5086, 479, 5600, 481, 10211, 995, 8678, 10215, 2535, 8169, 8173, 4078, 6125, 1006, 8689, 1011, 7158, 1529, 9214]"
2.204928664072633,18.065196714223948,"[2, 3587, 4, 6149, 10247, 8201, 6155, 4110, 6158, 10766, 8721, 2580, 4632, 3608, 2075, 6171, 11299, 9253, 8741, 6183, 8230, 10281, 5162, 8746, 10286, 7214, 3120, 9774, 7730, 2612, 1588, 1078, 565, 4662, 57, 9785, 1084, 11326, 8259, 2635, 11340, 6222, 2127, 8786, 85, 4182, 7255, 10839, 5209, 5208, 9310, 6239, 9312, 7265, 98, 2663, 1127, 2156, 7789, 3181, 109, 1134, 1143, 3192, 2685, 4735, 1152, 9345, 3199, 5250, 1156, 9352, 9868, 1677, 3214, 9360, 9873, 9364, 5786, 11419, 3227, 8859, 7323, 4767, 2203, 10913, 10398, 6819, 1187, 4265, 171, 172, 1710, 7348, 5812, 7349, 8375, 4789, 2232, 700, 10429, 4284, 1218, 4292, 6343, 1746, 8403, 9429, 9437, 9953, 11491, 7908, 8935, 8936, 6889, 231, 3307, 9959, 10989, 237, 1265, 6898, 6901, 247, 3319, 1271, 2810, 6907, 4862, 5374, 255, 6401, 9985, 4865, 7940, 9478, 4359, 8969, 7948, 3341, 5392, 3856, 11538, 3867, 9500, 3359, 3873, 290, 11042, 11557, 1829, 3367, 7464, 8488, 6438, 7977, 1837, 4400, 2352, 306, 1843, 7476, 7990, 7481, 7482, 11070, 6978, 1352, 7498, 1867, 6474, 9036, 1358, 3406, 11102, 8030, 2914, 10599, 1897, 5993, 11115, 10094, 370, 7029, 4473, 377, 381, 1405, 383, 8064, 10115, 392, 3464, 8585, 8073, 10125, 1934, 9104, 2449, 5523, 4499, 4501, 2964, 7572, 10650, 1949, 9120, 5027, 7589, 8613, 2473, 426, 4011, 7597, 5549, 6065, 11185, 7089, 7096, 5051, 1468, 6081, 1986, 6086, 455, 454, 6090, 4043, 459, 3026, 981, 5079, 984, 7130, 9690, 4060, 5086, 479, 5600, 481, 10211, 995, 2534, 10215, 2535, 8169, 8173, 1006, 4078, 8689, 1011, 7158, 1529, 4093, 9214]"
2.1703415477734542,17.961175961954172,"[2, 3587, 4, 6149, 10247, 8201, 6155, 4110, 6158, 10766, 8721, 2580, 4632, 3608, 6171, 2075, 11299, 9253, 8741, 8230, 6183, 10281, 5162, 8746, 10286, 7214, 3120, 9774, 7730, 1588, 565, 1078, 2612, 57, 9785, 1084, 11326, 8259, 2635, 11340, 6222, 2127, 8786, 85, 4182, 7255, 10839, 5209, 6749, 9310, 6239, 9312, 7265, 98, 2663, 1127, 2156, 7789, 3181, 1134, 109, 1143, 3192, 2685, 3199, 1152, 9345, 4735, 5250, 1156, 9352, 9868, 1677, 3214, 5775, 9360, 9873, 9364, 5786, 11419, 3227, 8859, 7323, 4767, 2203, 10913, 10398, 6819, 4265, 171, 172, 1710, 7348, 5812, 7349, 8375, 4789, 700, 10429, 1218, 4292, 6343, 4815, 1746, 8403, 9429, 9437, 9953, 11491, 7908, 10979, 10982, 8935, 8936, 6889, 231, 3307, 9959, 10989, 237, 1265, 6898, 6901, 247, 3319, 1271, 2810, 6907, 4862, 5374, 6401, 4865, 7940, 9478, 4359, 8969, 7948, 3341, 3856, 5392, 11538, 8980, 3867, 9500, 3359, 3873, 290, 11042, 1829, 11557, 3367, 7464, 7977, 1837, 4400, 306, 1843, 7476, 7990, 7481, 7482, 11070, 6978, 1352, 7498, 1867, 6474, 1358, 4438, 11102, 8030, 2914, 356, 10599, 11115, 10094, 5998, 370, 7029, 377, 4473, 381, 1405, 383, 8064, 10115, 3464, 8585, 392, 8073, 10125, 1934, 9104, 2449, 9618, 5523, 2964, 4499, 10650, 1949, 8605, 9120, 5027, 7589, 8613, 2473, 426, 4011, 7082, 7597, 5549, 2480, 6065, 11185, 7089, 5051, 1468, 6081, 1986, 6086, 455, 6090, 4043, 459, 4556, 3026, 981, 5079, 984, 7130, 4060, 5086, 479, 5600, 481, 10211, 995, 2534, 10215, 2535, 8169, 7657, 8173, 4078, 1006, 8689, 1011, 7158, 1529, 4093, 9214]"
2.127107652399481,17.928664072632944,"[2, 3587, 4, 6149, 10247, 8201, 6155, 4110, 6158, 10766, 8721, 2580, 4632, 3608, 2075, 6171, 11299, 9253, 8741, 8230, 6183, 10281, 5162, 8746, 10286, 9774, 3120, 7214, 7730, 2612, 565, 1078, 1588, 57, 9785, 1084, 11326, 8259, 5705, 2635, 11340, 6222, 2127, 8786, 4182, 7255, 10839, 5209, 6749, 9310, 6239, 9312, 7265, 98, 100, 2663, 1127, 2156, 7789, 1134, 109, 1143, 3192, 2685, 3199, 1152, 9345, 4735, 1156, 9352, 9868, 1677, 3214, 7823, 9360, 9873, 9364, 5786, 11419, 3227, 8859, 7323, 4767, 10913, 6819, 3751, 4265, 171, 172, 7348, 5812, 7349, 4789, 8375, 700, 10429, 1218, 4292, 6343, 4297, 4815, 1746, 8403, 9429, 9437, 9953, 10979, 7908, 10982, 231, 8936, 6889, 8935, 3307, 237, 10989, 6898, 6901, 247, 3319, 1271, 2810, 6907, 7929, 7933, 5374, 4862, 6401, 4865, 7940, 9478, 4359, 8969, 7948, 3341, 5392, 3856, 1810, 8980, 3867, 9500, 3359, 3873, 290, 11042, 11557, 1829, 3367, 7464, 8488, 1837, 4400, 2352, 306, 1843, 7476, 7990, 7481, 11070, 6978, 1352, 7498, 6474, 1867, 1358, 4438, 11102, 8030, 9569, 2914, 5475, 10599, 1897, 11115, 10094, 5998, 370, 7029, 377, 4473, 381, 1405, 6015, 383, 8064, 10115, 392, 3464, 8585, 8073, 1934, 9104, 2449, 9618, 5523, 4499, 4501, 2964, 7577, 10650, 8605, 9120, 5027, 8613, 7589, 2473, 426, 4011, 7597, 6065, 11185, 7089, 5051, 1468, 6081, 1986, 6086, 455, 6090, 4043, 459, 4556, 3026, 984, 7130, 9690, 4060, 5086, 479, 5600, 481, 10211, 995, 2534, 10215, 2535, 8169, 7657, 8173, 4078, 1006, 1011, 7158, 1529, 4093, 9214]"
2.0838737570255077,18.010808473843493,"[6656, 2, 3587, 4, 6149, 10247, 4110, 10766, 6158, 8721, 2580, 4632, 3608, 2075, 6171, 11299, 9253, 8741, 6183, 10281, 5162, 8746, 10286, 7214, 3120, 9774, 7730, 1588, 2612, 1078, 565, 9785, 57, 1084, 11326, 8259, 2635, 11340, 6222, 2127, 8786, 4182, 7255, 5208, 5209, 9310, 6239, 9312, 7265, 98, 8293, 2663, 1127, 6251, 2156, 7789, 3181, 109, 1143, 3192, 2685, 3199, 1152, 9345, 4735, 5250, 1156, 9352, 9868, 10381, 3214, 9360, 9873, 5786, 11419, 8859, 3227, 7323, 4767, 2203, 10913, 6819, 3751, 4265, 171, 172, 11438, 1710, 5812, 7348, 7349, 4789, 8375, 700, 10429, 4284, 704, 1218, 4292, 6343, 4297, 1746, 8403, 9429, 9437, 9953, 11491, 7908, 231, 8936, 6889, 8935, 3307, 10989, 237, 1265, 6898, 6901, 247, 3319, 1271, 2810, 6907, 4862, 5374, 255, 6401, 4865, 9478, 4359, 8969, 7948, 3341, 5392, 3856, 11538, 3867, 9500, 3359, 3873, 290, 11042, 10532, 11557, 1829, 3367, 8488, 7464, 6438, 7977, 1837, 4400, 2352, 306, 1843, 7476, 7990, 7481, 7482, 11070, 6978, 1352, 7498, 6474, 1867, 9036, 1358, 2907, 11102, 8030, 9569, 2914, 10599, 1897, 5993, 11115, 370, 7029, 377, 4473, 381, 383, 8064, 10115, 3464, 392, 8585, 8073, 1934, 9104, 5523, 4499, 4501, 2964, 7572, 7577, 10650, 10653, 9120, 7589, 8613, 2473, 426, 4011, 5549, 6065, 11185, 7096, 5051, 6081, 1986, 6086, 455, 454, 6090, 4043, 459, 3026, 981, 5079, 984, 7130, 9690, 4060, 5086, 479, 5600, 481, 10211, 10215, 2535, 8169, 8173, 4078, 1006, 8689, 1011, 7158, 1529, 4093, 9214]"
2.0492866407263293,17.85153480328578,"[0, 6656, 2, 3587, 4, 6149, 10247, 8201, 6155, 4110, 10766, 6158, 8721, 2580, 3608, 4632, 2075, 6171, 11299, 8741, 9253, 6183, 8230, 10281, 5162, 8746, 10286, 9774, 3120, 7214, 7730, 2612, 565, 1078, 57, 9785, 1084, 11326, 8259, 2635, 11340, 6222, 2127, 8786, 7255, 5208, 5209, 9310, 6239, 9312, 7265, 98, 8293, 2663, 1127, 2156, 7789, 109, 1143, 3192, 2685, 3199, 1152, 4735, 9345, 5250, 1156, 9352, 9868, 10381, 3214, 9360, 9873, 5786, 11419, 3227, 8859, 7323, 4767, 2203, 10913, 5793, 6819, 4265, 171, 172, 9389, 11438, 5812, 7349, 7348, 8375, 4789, 700, 10429, 4284, 704, 1218, 4292, 6343, 1746, 8403, 9429, 9437, 9953, 11491, 7908, 231, 8936, 6889, 8935, 3307, 237, 10989, 6901, 247, 3319, 1271, 2810, 6907, 5374, 255, 6401, 4865, 9478, 4359, 8969, 7948, 3341, 5392, 3856, 11538, 3867, 9500, 3359, 3873, 290, 11557, 1829, 3367, 6438, 7464, 294, 8488, 1837, 4400, 2352, 306, 1843, 7476, 7990, 7481, 7482, 11070, 6978, 1352, 4426, 7498, 9036, 6474, 1867, 8030, 11102, 2914, 10599, 5993, 1897, 11115, 370, 7029, 377, 4473, 381, 1405, 383, 8064, 10115, 3464, 392, 8073, 8585, 9104, 3984, 2449, 5523, 4499, 4501, 2964, 7572, 10650, 9120, 5027, 7589, 8613, 2473, 426, 4011, 7597, 11185, 6065, 7089, 7096, 5051, 1468, 6081, 1986, 6086, 454, 455, 9672, 6090, 4043, 459, 8655, 3026, 984, 7130, 9690, 4060, 5086, 479, 5600, 481, 10211, 995, 10215, 2535, 8169, 8173, 4078, 1006, 8689, 1011, 7158, 1529, 4093, 9214]"
1.9714656290531776,17.754172070903586,"[2, 4, 6149, 5638, 10247, 8201, 6155, 4110, 10766, 6158, 8721, 2580, 4632, 3608, 2075, 6171, 11299, 9253, 8741, 6183, 10281, 8746, 5162, 10286, 7214, 3120, 9774, 7730, 2612, 565, 4662, 1588, 57, 9785, 1084, 11326, 8259, 2635, 11340, 6222, 2127, 8786, 4182, 7255, 5209, 9310, 6239, 9312, 7265, 98, 2156, 7789, 109, 1143, 3192, 2685, 4735, 1152, 9345, 3199, 1156, 9352, 9868, 1677, 3214, 7823, 9360, 9873, 9364, 5786, 11419, 3227, 8859, 7323, 4767, 10913, 6819, 1187, 4265, 171, 172, 5812, 7348, 7349, 4789, 2232, 8375, 700, 10429, 1218, 4292, 6343, 4815, 1746, 8403, 9429, 9437, 9953, 10979, 7908, 10982, 8935, 8936, 6889, 231, 3307, 237, 10989, 6898, 6901, 1271, 3319, 247, 2810, 6907, 7929, 7933, 5374, 4862, 6400, 9985, 4865, 7940, 4359, 8969, 6411, 7948, 3341, 3856, 5392, 1810, 9500, 3359, 3873, 290, 11042, 11557, 1829, 3367, 7464, 8488, 1837, 2352, 4400, 306, 1843, 7476, 7990, 7481, 11070, 6978, 1352, 7498, 6474, 3403, 1867, 1358, 3406, 4438, 8030, 11102, 2914, 10599, 1897, 11115, 370, 7029, 377, 4473, 381, 1405, 6015, 383, 10115, 392, 3464, 8585, 1934, 9104, 2449, 4499, 5523, 4501, 2964, 10650, 8605, 9120, 5027, 8613, 7589, 2473, 426, 4011, 7597, 6065, 11185, 7089, 5051, 1468, 6081, 1986, 6086, 455, 6090, 4043, 459, 4556, 3026, 984, 9690, 7130, 4060, 5086, 479, 5600, 481, 10211, 995, 2534, 2535, 8169, 8173, 4078, 1011, 7158, 1529, 4093, 9214]"
1.9282317336792045,17.72935581495893,"[6656, 2, 3587, 4, 6149, 10247, 4110, 10766, 6158, 8721, 2580, 4632, 3608, 6171, 2075, 11299, 8741, 9253, 6183, 8230, 10281, 8746, 5162, 10286, 9774, 3120, 7214, 7730, 1588, 2612, 565, 9785, 57, 1084, 11326, 1598, 8259, 9288, 2635, 10316, 11340, 6222, 2127, 8786, 4182, 7255, 10839, 9310, 6239, 7265, 98, 8293, 2156, 109, 3181, 7789, 1134, 1143, 3192, 2685, 4735, 3199, 9345, 1152, 1156, 9352, 10890, 9868, 10381, 3214, 9360, 9873, 5786, 3227, 11419, 8859, 7323, 4767, 2203, 10913, 6819, 4265, 171, 172, 11438, 1710, 5812, 7348, 7349, 8375, 4789, 1204, 700, 704, 1218, 4292, 6343, 1746, 8403, 9429, 9437, 9953, 11491, 7908, 9447, 8936, 6889, 8935, 9959, 3307, 10989, 237, 1265, 6898, 6901, 247, 1271, 3319, 2810, 6907, 4862, 4865, 6401, 4867, 4359, 8969, 7948, 3341, 5392, 3856, 11538, 8988, 3359, 3873, 290, 11042, 11557, 1829, 3879, 7464, 8488, 3367, 7977, 1837, 4400, 2352, 306, 1843, 7481, 11070, 6978, 8003, 6474, 7498, 1867, 1358, 8030, 2914, 10599, 1897, 11115, 10094, 7029, 4473, 377, 381, 383, 8064, 10115, 392, 8585, 3464, 8073, 1934, 9104, 4499, 5523, 4501, 2964, 10650, 9120, 8613, 7589, 2473, 426, 4011, 7084, 5549, 6065, 11185, 5051, 1468, 6081, 1986, 6086, 455, 6090, 4043, 459, 3026, 981, 5079, 984, 7130, 9690, 4060, 5086, 5600, 481, 10211, 8678, 2535, 8169, 6125, 4078, 7662, 8173, 1006, 1011, 7158, 1529, 4093, 9214]"
1.8071768266320798,17.672632944228276,"[6656, 3587, 4, 6149, 10247, 8201, 6155, 4110, 10766, 6158, 8721, 2580, 4632, 3608, 2075, 6171, 11299, 9253, 8741, 6183, 10281, 5162, 8746, 10286, 7214, 3120, 9774, 7730, 1588, 565, 1078, 2612, 9785, 57, 1084, 11326, 8259, 9288, 11340, 6222, 2127, 8786, 7255, 5209, 9310, 6239, 9312, 7265, 98, 8293, 2663, 1127, 2156, 7789, 109, 1143, 3192, 2685, 4735, 1152, 9345, 3199, 1156, 9352, 9868, 10381, 3214, 9360, 5786, 11419, 3227, 8859, 7323, 4767, 10913, 6819, 4265, 171, 172, 11438, 5812, 7348, 7349, 4789, 8375, 700, 10429, 4284, 704, 1218, 4292, 6343, 1746, 8403, 9429, 9437, 9953, 7908, 8935, 8936, 6889, 231, 3307, 237, 10989, 6898, 6901, 247, 1271, 3319, 2810, 6907, 5374, 6401, 4865, 9478, 4359, 7948, 3341, 5392, 3856, 3867, 9500, 3359, 3873, 290, 11042, 1829, 11557, 3879, 3367, 7464, 8488, 1837, 4400, 2352, 306, 1843, 7476, 7990, 7481, 7482, 11070, 6978, 1352, 7498, 6474, 1867, 1358, 8030, 11102, 2914, 10599, 1897, 11115, 370, 7029, 377, 4473, 381, 1405, 383, 10115, 3464, 8585, 392, 8073, 1934, 9104, 5523, 2964, 4501, 10650, 9120, 7589, 2473, 426, 4011, 7084, 7597, 6065, 11185, 6081, 1986, 6086, 455, 6090, 4043, 459, 3026, 984, 7130, 4060, 5086, 479, 5600, 481, 10211, 8678, 10215, 2535, 8169, 8173, 4078, 1006, 1011, 7158, 1529, 9214]"
1.772589710332901,17.587635105923045,"[2, 4, 5125, 6149, 10247, 8201, 6155, 4110, 10766, 6158, 8721, 2580, 4632, 3608, 2075, 6171, 11299, 9253, 8741, 6183, 8230, 10281, 5162, 8746, 10286, 9774, 3120, 7214, 7730, 2612, 565, 1078, 4662, 57, 9785, 1084, 11326, 8259, 2635, 11340, 6222, 2127, 8786, 7255, 5209, 9310, 6239, 9312, 7265, 98, 2663, 2156, 7789, 1143, 3192, 2685, 1150, 4735, 1152, 9345, 3199, 1156, 9352, 9868, 3214, 9360, 9873, 5786, 11419, 3227, 8859, 7323, 4767, 10913, 6819, 1187, 4265, 171, 172, 5812, 7348, 4789, 7349, 2232, 8375, 700, 10429, 1218, 4292, 6343, 1746, 8403, 9429, 9437, 9953, 7908, 231, 8936, 6889, 9450, 3307, 8935, 10989, 237, 6898, 6901, 247, 3319, 1271, 2810, 6907, 5374, 9985, 9478, 4359, 8969, 7948, 3341, 5392, 3856, 3867, 9500, 3359, 3873, 290, 11557, 1829, 3367, 7464, 8488, 1837, 4400, 2352, 306, 1843, 7476, 7990, 7481, 7482, 11070, 6978, 1352, 7498, 6474, 1867, 3406, 11102, 2914, 10599, 1897, 11115, 370, 7029, 377, 4473, 381, 1405, 383, 1408, 8064, 10115, 392, 3464, 8585, 9104, 5523, 4499, 4501, 2964, 10650, 9120, 7589, 8613, 2473, 426, 4011, 7597, 6065, 11185, 5051, 6081, 1986, 6086, 455, 6090, 4043, 459, 3026, 984, 7130, 4060, 5086, 479, 5600, 481, 10211, 10215, 2535, 8169, 8173, 1011, 7158, 1529, 4093, 9214]"
