n_nodes,influence,nodes
2.0,596.74,"[1072, 661]"
6.0,854.38,"[1174, 1098, 1344, 669, 1045, 712]"
12.0,923.38,"[1245, 110, 1214, 1161, 643, 386, 1248, 1085, 1028, 1321, 1391, 575]"
92.0,1170.26,"[2049, 2051, 1540, 11, 524, 1046, 1560, 1051, 1567, 1571, 549, 561, 56, 589, 1617, 88, 601, 90, 91, 1637, 103, 1129, 112, 1147, 1165, 657, 1682, 1685, 150, 1686, 1178, 673, 1185, 1703, 1716, 182, 1719, 697, 1722, 1211, 1730, 198, 1737, 1231, 1235, 1245, 225, 744, 246, 1789, 774, 1804, 1293, 790, 1827, 1325, 305, 1335, 1338, 1340, 325, 326, 1865, 1868, 336, 337, 344, 352, 357, 360, 1905, 1397, 1398, 890, 1916, 1918, 1924, 1937, 420, 1962, 433, 1464, 1979, 1992, 974, 1491, 980, 985, 2027, 1515, 497, 502]"
10.0,892.28,"[608, 553, 28, 1295, 1348, 1901, 539, 675, 984, 1344]"
59.0,1094.72,"[1924, 136, 528, 149, 1048, 1563, 1770, 1300, 415, 1318, 1832, 42, 300, 558, 310, 1078, 1594, 1211, 60, 63, 1986, 1861, 323, 450, 69, 1096, 1993, 585, 465, 847, 840, 337, 339, 357, 369, 1906, 1912, 888, 1400, 379, 377, 890, 1406, 1919, 1926, 1446, 430, 433, 445, 969, 1488, 468, 1498, 1510, 2027, 499, 501, 1527, 2045]"
18.0,949.88,"[608, 553, 28, 1295, 1348, 1901, 539, 675, 984, 1344, 225, 1763, 869, 1771, 1777, 1271, 766, 1255]"
86.0,1150.96,"[1072, 1411, 1796, 2053, 390, 516, 648, 1800, 1289, 8, 651, 397, 2062, 1933, 1676, 1549, 274, 1555, 1740, 278, 1177, 2074, 923, 795, 796, 153, 1439, 162, 420, 1194, 931, 1964, 557, 174, 939, 815, 1456, 301, 1459, 52, 54, 445, 1854, 317, 1341, 1601, 1474, 67, 1092, 1991, 1865, 1354, 204, 1870, 1358, 1488, 1620, 1876, 85, 1625, 731, 348, 358, 1388, 369, 1403, 914, 922, 1953, 1954, 422, 1446, 1455, 1970, 946, 1975, 672, 966, 1485, 465, 978, 979, 2005, 2007, 1511, 1514]"
77.0,1143.1,"[1244, 386, 657, 1810, 1940, 34, 1827, 419, 1448, 1709, 942, 1711, 1589, 1207, 697, 1082, 1850, 1597, 1861, 1862, 1230, 346, 988, 1758, 225, 1763, 869, 1255, 1777, 1771, 1396, 766, 1493, 1417, 344, 1117, 1631, 867, 1765, 1385, 1388, 1132, 1775, 246, 1275, 763, 1284, 261, 1935, 1302, 281, 1819, 303, 816, 827, 1343, 337, 339, 357, 840, 369, 1906, 1912, 888, 1400, 379, 377, 890, 1406, 353, 1926, 1446, 577, 987, 1399, 468, 501]"
67.0,1122.06,"[1244, 386, 657, 149, 1048, 1563, 1770, 1300, 415, 1318, 1832, 42, 300, 558, 310, 1078, 1594, 1211, 1861, 60, 63, 1986, 323, 450, 69, 1096, 1993, 585, 465, 847, 840, 337, 339, 357, 369, 1906, 1912, 888, 1400, 1867, 1388, 1485, 1870, 591, 1487, 1749, 2006, 473, 1371, 476, 93, 1757, 468, 1247, 1498, 96, 2020, 2028, 236, 883, 706, 1397, 1399, 249, 1916, 1021, 254]"
36.0,1066.4,"[1996, 386, 1410, 1925, 1160, 1806, 1300, 415, 418, 1318, 1832, 42, 300, 558, 310, 1078, 1594, 1211, 110, 369, 1906, 1912, 888, 1400, 379, 377, 890, 1406, 353, 1926, 1446, 577, 987, 1399, 468, 501]"
32.0,1049.38,"[1025, 386, 1410, 1925, 1160, 1806, 1300, 415, 1469, 124, 418, 1318, 1832, 42, 300, 558, 346, 66, 1211, 1803, 1378, 1986, 450, 69, 323, 1993, 1587, 1255, 1868, 847, 766, 1414]"
43.0,1067.3,"[216, 1098, 19, 2068, 114, 1059, 1578, 1070, 51, 1318, 42, 300, 1832, 773, 371, 163, 420, 1078, 1594, 1211, 1651, 108, 122, 638, 642, 675, 150, 1175, 156, 1709, 1200, 1732, 1232, 723, 212, 726, 728, 1759, 1774, 1777, 243, 370, 380]"
46.0,1073.8,"[1409, 2, 1096, 262, 1045, 2009, 888, 1400, 379, 377, 1603, 1093, 67, 71, 1108, 1637, 102, 860, 115, 1318, 939, 1836, 1255, 1868, 450, 766, 323, 1861, 1986, 706, 1993, 847, 991, 96, 2020, 69, 2028, 1247, 236, 1498, 883, 1397, 232, 249, 1916, 1021]"
57.0,1086.34,"[1174, 1098, 19, 1925, 1160, 1806, 1770, 415, 1300, 1078, 585, 1318, 42, 310, 1832, 558, 96, 1594, 60, 63, 1211, 1096, 300, 465, 450, 840, 323, 69, 1861, 1993, 1986, 337, 847, 339, 357, 369, 1906, 1912, 888, 1400, 1867, 1388, 1485, 1870, 591, 1487, 1749, 2006, 473, 1371, 476, 93, 1757, 468, 1247, 751, 2020]"
50.0,1080.28,"[216, 413, 1712, 456, 673, 1806, 1300, 415, 1469, 124, 418, 339, 1276, 1832, 1632, 1179, 132, 633, 357, 1353, 369, 1906, 888, 1146, 379, 620, 377, 1406, 890, 1518, 1861, 1651, 122, 1574, 661, 225, 1096, 1993, 1926, 642, 1446, 450, 847, 337, 1912, 1400, 1919, 430, 433, 445]"
21.0,971.08,"[1174, 1098, 1340, 1564, 574, 1047, 1598, 65, 51, 1091, 890, 773, 371, 310, 1838, 60, 63, 658, 1682, 1211, 323]"
44.0,1071.28,"[935, 2073, 2077, 2048, 307, 589, 51, 125, 36, 186, 23, 1578, 1059, 349, 1070, 1836, 1762, 633, 1179, 132, 1096, 1832, 1587, 1993, 542, 1200, 1732, 1986, 323, 1861, 1868, 1255, 1232, 1345, 212, 726, 728, 117, 468, 387, 499, 474, 380, 1527]"
24.0,1038.16,"[24, 542, 115, 413, 1886, 2073, 1318, 921, 1845, 183, 313, 451, 1155, 1378, 63, 42, 2059, 428, 114, 143, 300, 974, 177, 371]"
