n_nodes,influence,communities,time,nodes,std
7.0,344.14,5,19,"[873, 936, 808, 918, 970, 208, 880]",82.44106743607824
8.0,369.78,5,20,"[234, 831, 844, 862, 268, 286, 310, 888]",58.08303022398194
2.0,308.44,4,20,"[272, 842]",103.48410505966606
23.0,430.7,6,14,"[2, 773, 5, 783, 145, 158, 291, 552, 687, 563, 564, 187, 961, 70, 583, 330, 608, 481, 865, 871, 231, 1005, 629]",40.02007496244853
20.0,421.82,7,16,"[0, 545, 739, 644, 453, 36, 519, 841, 201, 333, 143, 623, 49, 307, 884, 373, 277, 919, 219, 990]",48.31682522682963
13.0,422.76,5,18,"[704, 771, 196, 451, 903, 776, 554, 627, 339, 661, 537, 122, 542]",73.91325997410748
12.0,405.24,6,17,"[194, 676, 71, 328, 395, 587, 943, 944, 310, 824, 697, 446]",52.30284504689969
48.0,483.64,7,13,"[768, 389, 1029, 525, 142, 17, 786, 407, 152, 666, 30, 927, 802, 421, 680, 430, 306, 693, 565, 695, 182, 56, 826, 699, 698, 949, 829, 65, 327, 328, 844, 716, 205, 595, 342, 859, 607, 224, 736, 361, 619, 235, 109, 110, 1010, 498, 248, 126]",33.388986208029735
10.0,366.46,6,19,"[480, 865, 326, 234, 919, 914, 311, 346, 1019, 479]",61.3303481157575
24.0,443.4,7,17,"[384, 1025, 5, 779, 12, 526, 17, 660, 663, 792, 409, 136, 161, 295, 553, 811, 441, 866, 997, 880, 625, 114, 499, 249]",46.150553626148415
11.0,394.74,6,18,"[1026, 645, 139, 275, 280, 552, 29, 416, 36, 953, 175]",84.10122710163033
3.0,339.4,5,20,"[141, 936, 234]",88.48687134258957
34.0,469.62,6,16,"[268, 859, 645, 647, 392, 521, 17, 437, 791, 25, 539, 923, 33, 545, 42, 48, 945, 562, 444, 574, 577, 706, 712, 847, 980, 598, 216, 99, 376, 104, 876, 369, 504, 509]",37.5366540863727
1.0,45.16,1,6,[81],72.45357410093722
34.0,463.22,7,16,"[384, 1025, 5, 779, 12, 526, 17, 660, 663, 25, 539, 923, 33, 545, 42, 48, 945, 562, 444, 574, 577, 706, 712, 847, 980, 598, 216, 242, 376, 104, 876, 369, 504, 509]",44.55982046642468
40.0,479.92,7,15,"[515, 774, 780, 270, 913, 277, 40, 168, 41, 42, 299, 303, 560, 700, 561, 434, 819, 692, 441, 442, 447, 193, 200, 586, 291, 335, 729, 605, 862, 221, 98, 356, 357, 745, 233, 105, 236, 1008, 1015, 636]",33.299273265343196
49.00000000000001,489.62,7,13,"[1024, 578, 132, 41, 557, 817, 5, 390, 6, 264, 273, 532, 406, 27, 287, 289, 931, 803, 551, 944, 307, 567, 439, 698, 443, 814, 192, 326, 70, 331, 463, 85, 342, 726, 854, 599, 606, 97, 482, 867, 999, 746, 235, 748, 114, 627, 757, 886, 382]",35.46054145102694
32.0,447.96,6,15,"[647, 775, 779, 268, 527, 16, 919, 669, 542, 287, 289, 802, 420, 805, 39, 426, 172, 301, 949, 56, 827, 958, 64, 582, 712, 713, 586, 336, 818, 217, 604, 995]",38.07331874160696
23.0,423.82,7,17,"[261, 134, 263, 774, 647, 61, 390, 6, 264, 273, 532, 187, 961, 583, 330, 608, 481, 865, 871, 231, 1005, 629, 70]",49.60304829342649
