n_nodes,influence,communities,time,nodes,std
4.0,40.14,3,7,"[70, 123, 324, 68]",22.540816311748785
3.0,32.3,3,6,"[32, 161, 347]",15.534851141868081
13.0,100.26,6,11,"[71, 492, 327, 55, 103, 326, 351, 236, 253, 108, 187, 133, 405]",28.348044024235605
4.0,39.96,4,9,"[32, 161, 282, 378]",24.162582643417903
1.0,12.7,1,4,[188],10.976994124076045
15.0,104.74,7,10,"[152, 414, 318, 272, 346, 206, 68, 443, 282, 170, 326, 494, 202, 227, 428]",25.06436514256844
2.0,21.6,2,6,"[32, 396]",18.237335331676064
5.0,48.88,4,8,"[204, 421, 318, 253, 33]",26.69864416033144
8.0,71.22,6,9,"[70, 173, 505, 407, 253, 93, 360, 428]",22.628088739440635
5.0,48.74,5,8,"[70, 213, 478, 363, 253]",28.12859043748904
12.0,96.64,6,10,"[204, 492, 326, 253, 55, 103, 327, 282, 236, 187, 133, 108]",27.059312629850744
6.0,50.18,6,8,"[204, 492, 1, 253, 407, 223]",22.920349037481955
21.0,129.34,7,10,"[71, 492, 345, 55, 327, 351, 236, 362, 125, 187, 253, 103, 428, 264, 108, 282, 197, 74, 347, 227, 30]",31.75532081399903
6.0,53.24,4,9,"[70, 471, 478, 363, 153, 103]",19.474588570750345
14.0,103.62,7,10,"[473, 492, 272, 55, 253, 379, 326, 351, 103, 216, 133, 108, 236, 187]",26.837853863526423
19.0,122.6,7,11,"[70, 213, 432, 272, 346, 206, 80, 338, 171, 87, 181, 8, 443, 217, 216, 428, 496, 49, 362]",28.0865519421662
11.0,89.16,5,9,"[70, 213, 29, 55, 103, 253, 471, 351, 187, 326, 272]",22.60109731849319
16.0,110.78,7,10,"[473, 492, 272, 55, 253, 319, 379, 351, 216, 326, 133, 236, 187, 144, 108, 510]",28.10506004263289
12.0,93.88,7,9,"[473, 492, 103, 55, 253, 327, 474, 133, 326, 108, 236, 187]",27.874719729532707
7.0,63.28,6,10,"[452, 492, 181, 326, 55, 118, 253]",30.70077523451159
13.0,99.28,7,10,"[473, 492, 272, 55, 253, 319, 379, 351, 57, 326, 133, 236, 187]",27.060118255469618
20.0,126.7,7,10,"[71, 492, 345, 55, 327, 351, 236, 362, 168, 187, 103, 253, 428, 264, 108, 282, 197, 74, 347, 227]",19.52361646826735
9.0,77.04,5,10,"[452, 492, 181, 103, 55, 471, 460, 253, 108]",25.184916120567088
9.0,72.08,7,9,"[204, 492, 1, 253, 407, 223, 351, 428, 173]",26.927376403949943
18.0,116.96,7,11,"[70, 173, 505, 407, 465, 103, 253, 471, 108, 187, 326, 174, 217, 216, 428, 496, 324, 425]",34.672617437972576
24.0,137.58,6,10,"[70, 213, 478, 407, 253, 93, 326, 351, 282, 299, 108, 193, 59, 227, 428, 95, 49, 81, 30, 458, 424, 162, 362, 264]",29.664288294176217
15.0,106.58,6,10,"[204, 327, 492, 253, 282, 55, 326, 471, 151, 103, 278, 428, 264, 133, 108]",28.260106156913142
10.0,83.4,7,10,"[108, 492, 272, 55, 253, 379, 234, 351, 428, 187]",24.744971206287552
11.0,89.04,7,10,"[71, 492, 327, 55, 243, 471, 351, 326, 199, 253, 187]",30.639066565416123
22.0,131.04,6,10,"[75, 327, 282, 492, 326, 253, 55, 471, 116, 215, 363, 171, 350, 150, 93, 87, 160, 443, 418, 458, 424, 162]",27.606549947430956
6.0,53.12,5,8,"[452, 492, 181, 326, 55, 214]",19.165061961809567
23.0,136.18,7,10,"[71, 492, 282, 55, 327, 471, 116, 215, 253, 326, 363, 171, 350, 150, 93, 87, 160, 348, 81, 458, 424, 162, 225]",30.09185936428655
8.0,68.5,7,8,"[108, 492, 396, 55, 379, 253, 234, 428]",23.94661562726558
