n_nodes,influence,communities,time,nodes,std
2.0,31.8,2,4,"[83, 378]",9.239047569960878
4.0,52.5,4,9,"[188, 328, 29, 171]",22.047448832007753
18.0,119.7,6,9,"[438, 66, 33, 247, 201, 268, 270, 271, 498, 210, 74, 403, 372, 472, 441, 56, 187, 316]",42.145106477502225
7.0,70.8,4,9,"[188, 328, 29, 171, 76, 412, 447]",25.98634256681767
7.0,69.9,5,8,"[33, 396, 363, 237, 188, 434, 152]",19.987245933344592
9.0,78.0,5,7,"[353, 435, 33, 247, 270, 201, 199, 85, 271]",22.62056586383285
11.0,96.3,5,9,"[59, 328, 205, 171, 265, 363, 376, 442, 157, 350, 447]",27.532526219001408
16.0,111.2,7,8,"[33, 71, 237, 363, 304, 434, 51, 171, 492, 428, 334, 390, 401, 85, 408, 282]",17.273100474437125
12.0,97.9,6,10,"[33, 71, 363, 375, 440, 390, 482, 271, 498, 210, 358, 42]",12.221292893961751
18.0,115.4,7,9,"[32, 260, 33, 294, 189, 434, 241, 271, 498, 210, 74, 403, 239, 472, 441, 56, 187, 89]",24.51713686383465
16.0,117.7,5,10,"[438, 66, 33, 247, 442, 417, 190, 171, 15, 428, 334, 390, 401, 85, 408, 282]",29.955967685921948
10.0,85.9,5,9,"[33, 71, 363, 331, 442, 417, 190, 171, 492, 22]",21.438516739737384
6.0,59.4,4,8,"[33, 148, 110, 177, 151, 349]",27.2609610982445
20.0,128.2,7,11,"[32, 224, 324, 30, 265, 363, 225, 427, 364, 493, 113, 473, 304, 337, 178, 467, 150, 331, 379, 173]",29.748277261044883
16.0,115.7,6,11,"[32, 224, 324, 30, 265, 363, 205, 147, 373, 428, 334, 390, 401, 85, 408, 282]",34.029986776371224
19.0,124.9,7,9,"[32, 224, 324, 33, 247, 270, 201, 516, 369, 381, 495, 35, 67, 1, 337, 178, 488, 373, 167]",32.93994535514593
6.0,59.3,5,8,"[33, 271, 165, 177, 500, 412]",30.26565710504234
11.0,82.2,7,11,"[32, 224, 324, 30, 265, 363, 205, 326, 500, 59, 447]",21.758906222510358
10.0,85.9,5,10,"[378, 435, 33, 331, 442, 417, 190, 171, 492, 22]",22.11696181666913
7.0,51.3,6,9,"[98, 135, 237, 363, 304, 434, 272]",20.598300900802474
15.0,103.4,7,10,"[32, 260, 33, 294, 189, 434, 241, 349, 498, 210, 190, 397, 327, 316, 187]",30.545212390815028
13.0,101.1,7,9,"[353, 332, 469, 294, 33, 189, 241, 271, 498, 210, 74, 403, 173]",19.345283662949996
1.0,16.6,1,4,[354],8.371977066380438
10.0,83.7,6,12,"[32, 363, 33, 231, 442, 417, 190, 171, 492, 22]",22.457960726655482
15.0,110.1,5,12,"[33, 205, 171, 363, 376, 442, 265, 157, 313, 59, 75, 401, 85, 408, 282]",24.234066930666014
24.0,136.4,7,10,"[33, 71, 363, 327, 304, 434, 487, 169, 208, 381, 364, 495, 35, 67, 1, 269, 178, 201, 488, 357, 167, 102, 367, 241]",29.32251694517372
11.0,95.4,6,8,"[353, 29, 33, 294, 189, 363, 205, 326, 500, 59, 447]",19.511278789459187
15.0,108.6,6,10,"[33, 71, 363, 237, 304, 57, 176, 394, 420, 372, 472, 415, 56, 187, 316]",19.782820830205182
8.0,76.5,6,8,"[353, 435, 33, 247, 80, 400, 152, 217]",31.38295715830489
13.0,101.2,6,9,"[487, 29, 33, 294, 363, 189, 205, 326, 500, 59, 447, 316, 187]",30.01399673485689
10.0,90.0,4,10,"[33, 71, 112, 363, 304, 57, 176, 394, 420, 372]",23.281752511355325
3.0,20.5,3,7,"[391, 237, 89]",18.13945974939717
12.0,87.2,7,8,"[33, 515, 274, 237, 37, 134, 487, 169, 402, 210, 358, 42]",19.601020381602584
