n_nodes,influence,communities,time,nodes,std
1.0,81.26,1,10,[202],44.701391477223616
14.0,196.98,6,13,"[206, 56, 52, 207, 345, 275, 335, 38, 15, 438, 116, 253, 476, 364]",27.255597590219885
9.0,182.9,5,14,"[206, 56, 292, 255, 213, 364, 219, 339, 19]",44.691726303645964
6.0,163.48,5,14,"[362, 111, 70, 46, 477, 364]",42.73501608751306
11.0,188.12,5,14,"[252, 163, 255, 56, 292, 207, 15, 438, 86, 364, 26]",38.630557852560194
6.0,149.06,6,14,"[206, 56, 292, 236, 477, 415]",54.010461949514934
5.0,160.22,4,14,"[206, 56, 301, 255, 55]",54.273636325567864
14.0,197.8,5,13,"[206, 52, 56, 255, 335, 345, 275, 38, 15, 438, 210, 253, 364, 361]",29.03145879903385
7.0,171.1,5,13,"[514, 340, 283, 180, 52, 364, 15]",40.965351212945805
8.0,173.54,5,13,"[206, 56, 292, 467, 213, 364, 219, 339]",37.98833505169712
11.0,183.9,7,13,"[94, 111, 437, 237, 144, 477, 328, 86, 19, 495, 364]",38.95330537964654
19.0,210.18,7,12,"[514, 422, 255, 437, 14, 54, 103, 364, 58, 475, 232, 231, 205, 348, 433, 363, 57, 178, 361]",40.771112322329394
7.0,146.68,7,14,"[514, 483, 56, 255, 426, 152, 363]",46.80325202376433
9.0,176.26,7,13,"[514, 483, 56, 302, 426, 152, 363, 217, 19]",43.28957842252567
17.0,206.42,7,13,"[514, 56, 36, 255, 177, 112, 364, 232, 205, 433, 103, 58, 462, 475, 348, 57, 361]",31.737983552834606
14.0,196.2,7,13,"[514, 56, 233, 255, 120, 361, 177, 364, 112, 433, 57, 237, 475, 348]",40.701592106452054
13.0,193.92,5,12,"[290, 111, 56, 255, 262, 361, 364, 54, 476, 205, 484, 58, 57]",31.40591664002183
21.0,215.3,6,11,"[189, 56, 283, 255, 32, 433, 364, 205, 58, 112, 332, 79, 232, 104, 247, 201, 354, 464, 481, 97, 100]",22.922478051031046
22.0,218.22,7,13,"[514, 56, 36, 255, 177, 112, 205, 364, 433, 103, 232, 58, 462, 475, 348, 92, 361, 97, 100, 401, 237, 198]",28.016430893316873
18.0,207.86,7,13,"[514, 21, 14, 255, 262, 102, 54, 103, 15, 361, 433, 58, 133, 364, 475, 348, 362, 205]",41.61084474028375
15.0,201.92,7,12,"[514, 108, 52, 255, 335, 67, 116, 364, 361, 433, 58, 33, 254, 475, 348]",28.149067480113796
16.0,202.9,7,12,"[514, 485, 292, 255, 72, 438, 364, 262, 54, 183, 125, 361, 85, 273, 18, 70]",36.58961601328989
3.0,134.26,4,15,"[290, 111, 94]",49.57517120494895
16.0,205.44,6,13,"[514, 56, 36, 255, 177, 112, 232, 364, 205, 389, 103, 85, 273, 18, 70, 361]",30.49803272343972
23.0,219.92,7,12,"[514, 60, 52, 255, 361, 433, 335, 116, 58, 67, 438, 364, 85, 201, 55, 464, 15, 481, 97, 100, 232, 401, 237]",30.50833328780843
8.0,170.32,6,13,"[514, 108, 292, 255, 72, 364, 116, 429]",39.42182136837414
8.0,164.06,7,14,"[514, 485, 292, 145, 72, 438, 364, 262]",54.71853799216496
12.0,192.62,6,13,"[431, 111, 70, 46, 477, 183, 364, 125, 361, 85, 273, 18]",35.583569241997075
11.0,186.6,6,13,"[206, 53, 144, 255, 292, 477, 15, 364, 438, 26, 86]",32.40948009456492
19.0,212.02,6,12,"[514, 108, 14, 255, 262, 361, 54, 183, 273, 348, 441, 433, 58, 275, 57, 231, 232, 363, 178]",34.8403272085668
10.0,185.4,6,14,"[514, 108, 292, 255, 72, 116, 429, 364, 375, 86]",34.087352493263545
23.0,221.6,6,13,"[318, 283, 255, 32, 62, 433, 332, 364, 58, 205, 54, 94, 375, 434, 41, 247, 481, 232, 104, 354, 464, 100, 201]",28.252865341412722
4.0,150.94,4,13,"[206, 52, 349, 380]",42.149073536674564
20.0,212.84,7,12,"[514, 108, 14, 255, 91, 361, 456, 79, 85, 364, 205, 433, 247, 58, 112, 17, 354, 462, 237, 232]",33.47168355490951
12.0,187.54,7,13,"[514, 108, 52, 255, 477, 183, 459, 364, 361, 85, 273, 18]",36.37902692486428
2.0,121.78,3,13,"[369, 111]",50.65838923613739
7.0,171.48,4,14,"[290, 111, 56, 180, 52, 15, 297]",47.98506434298073
21.0,215.26,7,13,"[514, 108, 283, 255, 32, 433, 205, 58, 364, 112, 332, 79, 232, 104, 247, 103, 354, 464, 481, 97, 100]",29.327229668006485
4.0,138.54,5,14,"[290, 111, 484, 18]",49.190848742423626
5.0,153.26,5,13,"[514, 108, 52, 116, 335]",48.63130267636267
6.0,165.5,4,13,"[290, 329, 56, 180, 52, 15]",39.66681736666051
9.0,178.54,6,14,"[514, 111, 255, 56, 11, 479, 363, 185, 364]",37.56939712052883
1.0,75.0,2,11,[164],43.119318176427605
7.0,167.58,6,14,"[514, 111, 255, 11, 421, 56, 363]",41.109264162716414
24.0,223.96,6,12,"[431, 111, 70, 46, 477, 67, 364, 54, 104, 438, 222, 433, 247, 58, 201, 321, 464, 232, 481, 363, 375, 434, 100, 41]",28.809720581775867
13.0,192.4,7,13,"[514, 108, 56, 255, 87, 386, 15, 438, 116, 253, 476, 364, 363]",32.93700654279317
24.0,223.6,7,13,"[514, 21, 14, 255, 262, 102, 103, 54, 15, 361, 247, 201, 58, 433, 321, 464, 232, 364, 481, 375, 377, 205, 100, 41]",27.962145840403593
