n_nodes,influence,communities,time,nodes,std
0.3891050583657589,9.04,1,6,[244],17.67766952966369
1.1673151750972763,18.87,3,9,"[216, 69, 183]",21.848899285776387
0.7782101167315176,15.74,2,8,"[162, 216]",22.146882399109813
2.3346303501945527,23.03,6,9,"[244, 39, 92, 143, 31, 183]",23.28248053794956
2.3346303501945527,24.7,5,9,"[244, 39, 200, 31, 143, 183]",21.674971741619412
1.945525291828794,23.63,3,9,"[244, 39, 216, 152, 183]",18.991521792631573
1.5564202334630353,21.73,3,9,"[244, 155, 61, 183]",21.564173992991243
1.945525291828794,23.01,4,10,"[249, 69, 183, 31, 223]",21.90829979710886
1.5564202334630353,20.84,4,8,"[244, 39, 155, 31]",24.812647984445352
0.7782101167315176,15.74,2,9,"[216, 162]",22.40592778708349
1.945525291828794,22.25,5,9,"[244, 39, 136, 183, 16]",21.706552006249176
2.3346303501945527,25.24,4,9,"[244, 218, 39, 183, 198, 31]",19.543029447861965
2.3346303501945527,24.7,5,9,"[244, 200, 39, 143, 183, 31]",19.15441463475196
1.5564202334630353,20.84,4,9,"[244, 155, 39, 31]",25.266331352216532
1.5564202334630353,21.73,3,9,"[244, 61, 155, 183]",21.73996090152878
