n_nodes,influence,time,nodes
25.0,744.12,7,"[768, 1153, 891, 263, 777, 523, 139, 397, 1422, 782, 660, 1429, 720, 83, 597, 1111, 1243, 861, 868, 1002, 1519, 240, 1064, 1533, 123]"
62.0,862.36,7,"[1024, 1412, 1211, 367, 1386, 155, 1230, 591, 83, 1496, 218, 1371, 476, 231, 793, 29, 1378, 673, 1442, 806, 166, 552, 424, 294, 172, 685, 1070, 1329, 1205, 950, 1335, 183, 441, 1208, 1467, 60, 1471, 319, 833, 1350, 714, 715, 716, 719, 463, 1360, 211, 1364, 852, 600, 345, 474, 217, 94, 606, 1251, 1255, 1001, 691, 1262, 369, 1266]"
16.0,699.52,6,"[465, 1027, 84, 609, 144, 1396, 706, 161, 692, 170, 1497, 492, 414, 859, 1117, 990]"
40.0,807.2,6,"[768, 1153, 891, 263, 777, 523, 139, 397, 1422, 797, 660, 1429, 720, 83, 597, 1111, 944, 725, 540, 313, 176, 47, 49, 984, 731, 853, 691, 179, 183, 1244, 1465, 443, 102, 445, 446, 831, 319, 1276, 125, 993]"
8.0,653.16,5,"[987, 525, 505, 1111, 588, 1549, 79, 1044]"
15.0,700.02,5,"[768, 1153, 891, 263, 777, 523, 139, 1044, 151, 692, 218, 69, 603, 564, 1137]"
5.0,586.92,4,"[987, 525, 401, 1111, 667]"
13.0,686.54,6,"[640, 525, 1549, 1111, 76, 113, 493, 208, 979, 940, 972, 915, 120]"
68.0,863.86,7,"[390, 1543, 902, 1542, 1287, 11, 1036, 1426, 1299, 789, 1303, 281, 154, 411, 793, 29, 159, 673, 1442, 806, 166, 552, 424, 294, 172, 685, 1070, 1329, 1205, 950, 1335, 183, 441, 1208, 1467, 60, 1471, 319, 833, 1350, 714, 1282, 716, 719, 463, 1360, 211, 1364, 852, 600, 345, 474, 217, 94, 606, 1251, 1255, 1001, 508, 1262, 369, 1266, 1138, 628, 114, 1012, 886, 250]"
17.0,689.08,7,"[931, 1394, 1549, 1111, 144, 475, 1236, 1044, 692, 151, 1276, 125, 603, 993, 687, 564, 1137]"
36.0,797.26,5,"[768, 1153, 891, 263, 777, 523, 139, 397, 1422, 797, 660, 1429, 720, 83, 597, 1111, 944, 725, 540, 313, 176, 47, 49, 984, 731, 853, 691, 179, 183, 1019, 1465, 443, 102, 445, 446, 831]"
19.0,726.58,7,"[1139, 390, 776, 1549, 1040, 286, 557, 1199, 945, 694, 673, 188, 1470, 63, 575, 833, 326, 1101, 592]"
8.0,533.54,6,"[393, 1394, 1549, 1111, 144, 588, 79, 1044]"
18.0,741.06,6,"[640, 525, 1549, 1111, 76, 113, 493, 208, 979, 940, 186, 100, 89, 1057, 540, 1115, 600, 719]"
40.0,799.58,7,"[67, 390, 891, 1111, 263, 777, 523, 139, 397, 1422, 797, 660, 1429, 720, 83, 597, 944, 725, 540, 1483, 176, 47, 49, 984, 731, 853, 691, 179, 183, 1244, 1465, 992, 102, 445, 446, 831, 319, 1276, 125, 993]"
15.0,679.76,7,"[987, 401, 525, 588, 1111, 1549, 974, 633, 1406, 1285, 1169, 993, 603, 564, 1137]"
5.0,554.56,5,"[987, 401, 525, 1272, 1111]"
24.0,736.32,7,"[768, 937, 891, 263, 777, 523, 139, 397, 1422, 782, 660, 1429, 861, 1002, 720, 1111, 1243, 597, 83, 1519, 1064, 1533, 123, 635]"
49.00000000000001,838.96,6,"[465, 1027, 84, 609, 144, 1396, 706, 161, 1424, 1296, 1170, 281, 154, 411, 793, 29, 159, 673, 1442, 806, 166, 1222, 294, 172, 424, 685, 1070, 1329, 1205, 950, 1335, 183, 441, 1115, 671, 60, 1471, 319, 833, 1350, 714, 715, 716, 852, 719, 463, 1360, 211, 1364]"
7.0,515.42,6,"[768, 470, 891, 1352, 561, 1396, 549]"
33.0,780.92,7,"[640, 525, 1224, 1111, 1549, 552, 950, 775, 1289, 1424, 1296, 1170, 281, 154, 411, 1433, 29, 179, 375, 300, 793, 1442, 166, 806, 424, 294, 172, 685, 1070, 1205, 1329, 1335, 183]"
33.0,788.36,6,"[768, 1153, 891, 263, 777, 523, 139, 267, 1424, 1296, 1170, 281, 154, 411, 793, 29, 159, 300, 1442, 166, 806, 552, 424, 294, 172, 685, 1070, 1329, 1205, 950, 1335, 786, 441]"
11.0,608.84,7,"[393, 1394, 1549, 1111, 144, 1156, 1257, 633, 1109, 382, 704]"
30.0,779.78,5,"[768, 1153, 891, 797, 263, 777, 523, 139, 397, 725, 1422, 944, 922, 1429, 635, 540, 731, 597, 1111, 853, 691, 313, 179, 83, 704, 720, 1019, 47, 176, 49]"
9.0,542.06,7,"[1139, 390, 776, 1549, 1040, 286, 633, 1406, 1374]"
9.0,629.46,6,"[640, 525, 1224, 1111, 1549, 1101, 79, 633, 880]"
15.0,697.42,6,"[393, 1394, 1549, 1111, 144, 274, 952, 625, 557, 1285, 218, 993, 603, 564, 1137]"
30.0,773.86,7,"[570, 1412, 1211, 367, 144, 114, 1236, 1044, 692, 151, 1497, 91, 765, 414, 1118, 1467, 29, 1491, 673, 214, 732, 47, 49, 984, 731, 853, 691, 179, 704, 1019]"
47.0,828.74,7,"[640, 525, 1549, 1111, 76, 113, 493, 591, 1092, 1496, 218, 1371, 476, 231, 793, 29, 1378, 719, 673, 1442, 806, 166, 552, 424, 294, 172, 685, 1070, 1329, 1205, 950, 1335, 183, 997, 1208, 1467, 60, 817, 833, 319, 1350, 714, 715, 716, 463, 1360, 211]"
17.0,729.02,5,"[465, 1027, 84, 1111, 186, 100, 47, 89, 76, 737, 208, 940, 1057, 493, 540, 1115, 600]"
49.00000000000001,838.62,7,"[1139, 390, 776, 1549, 1040, 286, 1311, 1199, 1424, 1296, 673, 1170, 281, 154, 411, 793, 833, 29, 159, 1442, 806, 166, 1222, 294, 172, 424, 685, 1070, 1329, 1205, 950, 1335, 183, 441, 1115, 671, 60, 1471, 319, 1350, 714, 715, 716, 852, 719, 463, 1360, 211, 1364]"
41.0,800.82,7,"[768, 1153, 1211, 367, 144, 114, 1236, 1044, 692, 151, 660, 1429, 1085, 311, 313, 1111, 1243, 954, 720, 186, 597, 701, 191, 83, 575, 197, 94, 843, 335, 340, 1113, 967, 604, 1501, 240, 868, 352, 738, 1507, 1012, 715]"
11.0,639.62,6,"[768, 1153, 891, 1515, 777, 931, 166, 424, 553, 490, 1256]"
26.0,756.16,5,"[768, 1153, 891, 797, 263, 777, 523, 139, 397, 1422, 944, 660, 1006, 725, 540, 597, 1111, 720, 83, 313, 176, 47, 49, 984, 731, 853]"
71.0,889.1,6,"[768, 937, 891, 609, 144, 1396, 706, 161, 1424, 1296, 1170, 281, 154, 411, 793, 29, 159, 673, 1442, 710, 166, 1222, 123, 294, 172, 424, 685, 1070, 1329, 1205, 950, 1335, 183, 441, 1115, 671, 60, 1471, 833, 319, 1350, 715, 716, 959, 852, 719, 463, 1360, 211, 1364, 1244, 350, 993, 102, 998, 1000, 744, 105, 749, 1393, 882, 115, 1011, 888, 1142, 1399, 504, 121, 246, 1276, 125]"
43.0,817.94,7,"[768, 1153, 5, 263, 777, 523, 139, 397, 1422, 797, 660, 161, 1244, 725, 540, 1111, 998, 816, 744, 105, 1185, 597, 47, 984, 731, 749, 83, 1393, 1483, 853, 115, 1011, 888, 1142, 1399, 504, 121, 246, 102, 123, 1276, 1033, 993]"
46.0,819.1,7,"[390, 1543, 902, 1542, 1287, 11, 1036, 1426, 1299, 789, 1303, 281, 154, 411, 793, 29, 159, 673, 1442, 806, 166, 552, 424, 294, 172, 685, 1070, 1329, 1205, 950, 907, 183, 441, 1208, 1467, 60, 1471, 319, 833, 1350, 714, 1282, 716, 114, 1012, 94]"
6.0,453.18,6,"[1139, 390, 776, 1549, 1118, 1396]"
10.0,559.58,7,"[768, 1153, 891, 1192, 1396, 549, 83, 1496, 893, 470]"
17.0,712.0,6,"[640, 732, 1549, 1111, 113, 76, 737, 1057, 208, 493, 186, 100, 940, 89, 540, 600, 1115]"
36.0,796.26,7,"[768, 1153, 5, 263, 777, 523, 139, 397, 1422, 797, 660, 161, 1244, 725, 540, 1111, 998, 816, 744, 105, 1185, 597, 47, 1303, 731, 749, 83, 1393, 1483, 950, 1335, 183, 441, 1115, 1467, 94]"
58.0,850.76,7,"[987, 401, 995, 367, 144, 114, 1236, 1044, 692, 151, 1497, 656, 765, 414, 1118, 1467, 29, 159, 673, 1442, 806, 166, 552, 424, 294, 172, 685, 1070, 241, 1205, 950, 1335, 183, 441, 1208, 60, 1471, 492, 833, 1350, 714, 715, 716, 719, 463, 1360, 211, 1364, 1164, 600, 345, 474, 217, 94, 606, 1251, 1255, 1001]"
70.0,869.26,7,"[987, 401, 995, 720, 270, 114, 1396, 706, 161, 692, 170, 1497, 154, 411, 793, 1329, 1115, 1467, 319, 852, 29, 159, 673, 1442, 806, 166, 552, 424, 294, 172, 685, 1070, 1205, 950, 1335, 183, 441, 60, 492, 1471, 508, 833, 1350, 714, 715, 716, 719, 463, 1360, 211, 1364, 1262, 345, 474, 217, 94, 606, 1251, 1255, 1001, 600, 369, 1266, 1138, 628, 1012, 886, 250, 124, 1151]"
28.0,770.6,6,"[987, 525, 456, 1111, 667, 281, 154, 411, 793, 29, 159, 673, 1442, 806, 166, 552, 294, 172, 180, 685, 1070, 1329, 1205, 950, 1335, 183, 441, 1115]"
12.0,621.24,7,"[640, 525, 1224, 1111, 552, 1549, 864, 775, 1289, 1424, 1296, 1170]"
5.0,312.86,6,"[568, 1394, 1549, 1111, 1272]"
27.0,760.36,7,"[768, 1153, 891, 267, 263, 777, 523, 139, 1424, 1296, 1170, 261, 154, 411, 793, 29, 159, 720, 1111, 1243, 1519, 868, 94, 597, 123, 815, 83]"
18.0,698.52,7,"[931, 1394, 1549, 1111, 144, 475, 1236, 1044, 692, 151, 1276, 125, 1046, 1057, 540, 1115, 600, 719]"
7.0,586.98,5,"[881, 401, 525, 1272, 1111, 441, 1115]"
46.0,824.78,6,"[465, 1027, 84, 609, 1287, 11, 1036, 1426, 1299, 789, 1303, 281, 154, 411, 552, 29, 159, 673, 1442, 806, 166, 907, 294, 172, 793, 639, 1070, 1329, 1205, 950, 1208, 183, 441, 424, 1467, 60, 1471, 319, 833, 1350, 714, 1282, 716, 114, 1012, 94]"
