n_nodes,influence,nodes
14.0,242.58,"[178, 345, 206, 245, 273, 77, 281, 475, 369, 220, 72, 7, 29, 382]"
4.0,191.62,"[175, 130, 289, 345]"
1.0,2.82,[363]
2.0,106.64,"[186, 256]"
1.0,2.82,[461]
6.0,200.08,"[175, 130, 250, 345, 333, 195]"
23.0,264.74,"[83, 270, 20, 335, 213, 341, 266, 170, 248, 455, 51, 33, 420, 422, 74, 65, 196, 98, 486, 108, 120, 122, 379]"
24.0,268.38,"[93, 383, 3, 312, 259, 352, 427, 178, 273, 32, 159, 33, 420, 270, 319, 65, 196, 98, 486, 492, 120, 122, 379, 511]"
13.0,238.76,"[111, 175, 406, 420, 143, 320, 200, 59, 46, 3, 77, 283, 273]"
18.0,255.4,"[93, 332, 3, 67, 259, 409, 12, 427, 273, 32, 175, 176, 290, 98, 486, 108, 120, 379]"
10.0,236.78,"[83, 270, 312, 3, 167, 168, 85, 408, 280, 163]"
7.0,221.66,"[205, 71, 176, 113, 336, 32, 339]"
