node,page_rank,overall_rank,comm,rank_comm
478,285,1,12,1
308,264,2,6,1
271,244,3,5,1
336,219,4,6,2
198,218,5,4,1
331,208,6,6,3
311,196,7,6,4
298,188,8,6,5
251,180,9,5,2
147,177,10,3,1
108,176,11,2,1
317,175,12,6,6
376,175,13,7,1
157,173,14,3,2
329,168,15,6,7
318,166,16,6,8
473,165,17,12,2
309,164,18,6,9
294,163,19,6,10
88,163,20,2,2
325,162,21,6,11
292,159,22,6,12
301,159,23,6,13
86,157,24,2,3
303,153,25,6,14
334,153,26,6,15
291,152,27,6,16
134,149,28,3,3
216,149,29,4,2
486,148,30,14,1
288,146,31,6,17
304,144,32,6,18
296,144,33,6,19
284,144,34,5,3
154,143,35,3,4
323,141,36,6,20
141,140,37,3,5
241,140,38,5,4
135,140,39,3,6
282,139,40,5,5
242,138,41,5,6
250,138,42,5,7
324,137,43,6,21
138,137,44,3,7
240,137,45,5,8
273,136,46,5,9
332,136,47,6,22
83,135,48,2,4
27,134,49,1,1
146,133,50,3,8
254,133,51,5,10
283,133,52,5,11
173,132,53,3,9
153,132,54,3,10
91,132,55,2,5
143,131,56,3,11
126,130,57,2,6
232,130,58,4,3
167,127,59,3,12
177,127,60,3,13
272,127,61,5,12
279,126,62,5,13
261,125,63,5,14
285,124,64,5,15
145,123,65,3,14
263,123,66,5,16
290,123,67,6,23
233,123,68,4,4
247,123,69,5,17
260,122,70,5,18
253,121,71,5,19
239,121,72,5,20
78,121,73,2,7
238,121,74,4,5
328,121,75,6,24
326,121,76,6,25
71,120,77,2,8
327,120,78,6,26
258,119,79,5,21
262,119,80,5,22
174,119,81,3,15
144,118,82,3,16
1,118,83,1,2
306,118,84,6,27
123,118,85,2,9
300,117,86,6,28
265,117,87,5,23
293,116,88,6,29
287,116,89,5,24
76,115,90,2,10
166,115,91,3,17
268,115,92,5,25
125,115,93,2,11
168,114,94,3,18
420,114,95,9,1
164,114,96,3,19
244,114,97,5,26
119,113,98,2,12
99,113,99,2,13
136,113,100,3,20
302,112,101,6,30
165,112,102,3,21
299,111,103,6,31
252,109,104,5,27
169,108,105,3,22
366,107,106,7,2
155,107,107,3,23
140,107,108,3,24
182,107,109,3,25
213,106,110,4,6
277,105,111,5,28
96,105,112,2,14
84,104,113,2,15
257,104,114,5,29
124,102,115,2,16
269,101,116,5,30
281,101,117,5,31
333,100,118,6,32
202,100,119,4,7
149,100,120,3,26
104,100,121,2,17
185,99,122,3,27
270,99,123,5,32
245,99,124,5,33
192,99,125,4,8
236,99,126,4,9
313,98,127,6,33
322,98,128,6,34
110,98,129,2,18
204,98,130,4,10
205,98,131,4,11
248,98,132,5,34
224,98,133,4,12
189,98,134,4,13
218,98,135,4,14
476,97,136,12,3
231,97,137,4,15
237,97,138,4,16
234,97,139,4,17
203,97,140,4,18
212,97,141,4,19
230,97,142,4,20
207,96,143,4,21
214,96,144,4,22
74,96,145,2,19
228,96,146,4,23
225,96,147,4,24
194,96,148,4,25
120,96,149,2,20
221,95,150,4,26
246,95,151,5,35
235,95,152,4,27
226,95,153,4,28
178,95,154,3,28
206,95,155,4,29
314,95,156,6,35
286,95,157,5,36
256,95,158,5,37
432,95,159,9,2
249,95,160,5,38
415,94,161,9,3
81,94,162,2,21
199,94,163,4,30
128,94,164,2,22
197,94,165,4,31
427,94,166,9,4
259,94,167,5,39
133,94,168,2,23
187,94,169,4,32
201,94,170,4,33
431,94,171,9,5
217,93,172,4,34
222,93,173,4,35
211,93,174,4,36
195,93,175,4,37
100,93,176,2,24
139,93,177,3,29
94,92,178,2,25
131,92,179,2,26
289,92,180,6,36
390,92,181,8,1
117,91,182,2,27
470,91,183,11,1
190,91,184,4,38
392,91,185,8,2
219,91,186,4,39
319,91,187,6,37
467,91,188,11,2
428,91,189,9,6
193,90,190,4,40
156,90,191,3,30
402,90,192,8,3
69,90,193,2,28
264,90,194,5,40
80,90,195,2,29
387,90,196,8,4
404,90,197,8,5
229,89,198,4,41
391,89,199,8,6
398,89,200,8,7
487,89,201,14,2
400,89,202,8,8
55,88,203,1,3
477,88,204,12,4
215,88,205,4,42
183,87,206,3,31
227,87,207,4,43
142,87,208,3,32
70,87,209,2,30
85,87,210,2,31
77,87,211,2,32
399,87,212,8,9
466,87,213,11,3
54,86,214,1,4
179,86,215,3,33
321,86,216,6,38
393,86,217,8,10
112,85,218,2,33
116,85,219,2,34
101,85,220,2,35
496,85,221,17,1
79,85,222,2,36
406,85,223,8,11
475,85,224,12,5
98,84,225,2,37
386,84,226,8,12
105,84,227,2,38
394,84,228,8,13
312,84,229,6,39
397,84,230,8,14
388,83,231,8,15
305,83,232,6,40
383,83,233,8,16
107,83,234,2,39
382,82,235,8,17
396,82,236,8,18
384,82,237,8,19
130,82,238,2,40
408,82,239,8,20
401,82,240,8,21
395,82,241,8,22
385,82,242,8,23
407,82,243,8,24
403,82,244,8,25
129,82,245,2,41
220,81,246,4,44
409,81,247,8,26
75,81,248,2,42
