node,page_rank,overall_rank,comm,rank_comm
460,0.06554220334208383,1,1,1
234,0.06119766980698577,2,1,2
563,0.05123563254380512,3,2,1
161,0.04866767155310291,4,1,3
605,0.04524974633309859,5,2,2
1760,0.03893175207625583,6,7,1
1115,0.036303872311820494,7,4,1
1323,0.032902515795444745,8,5,1
1871,0.03187420895499004,9,7,2
312,0.030716548866303747,10,1,4
1496,0.030510238714312132,11,5,2
1373,0.029696258588168843,12,5,3
1089,0.02936695792898853,13,4,2
20,0.02820385742681225,14,1,5
366,0.025709902241002267,15,1,6
1588,0.023622424519099412,16,6,1
310,0.02147144196337929,17,1,7
1469,0.021331603550988024,18,5,4
1083,0.020341949629815323,19,4,3
1272,0.019459976350813583,20,5,5
2043,0.0191955900955188,21,9,1
3,0.018947937937909616,22,1,8
691,0.017951288116759175,23,2,3
1305,0.017410478045565808,24,5,6
54,0.016413553313421102,25,1,9
1574,0.0152212825097963,26,6,2
1437,0.014707067386734166,27,5,7
2052,0.014361377590956433,28,9,2
358,0.014354995448158192,29,1,10
690,0.014329269432198862,30,2,4
594,0.013674039551856372,31,2,5
453,0.013464759881705094,32,1,11
2154,0.012480316265381911,33,10,1
1918,0.012090640838471698,34,8,1
1535,0.012053010125444219,35,6,3
819,0.011624663564014062,36,3,1
782,0.011553464600184062,37,3,2
2376,0.010995569882414891,38,12,1
2445,0.010660064210562776,39,13,1
1510,0.010479175923591594,40,6,4
723,0.01028281363300277,41,2,6
2447,0.010210928857002331,42,13,2
1705,0.01012779365640875,43,6,5
1178,0.01001865466494705,44,4,4
2402,0.009933950228082288,45,12,2
521,0.0095582442266373,46,2,7
2191,0.009345350739227834,47,10,2
1931,0.00924203724349849,48,8,2
2609,0.008830400461630576,49,15,1
2018,0.008817392741364125,50,8,3
1965,0.0086525534891307,51,8,4
1035,0.00856341820243495,52,4,5
1012,0.008503219810224814,53,3,3
868,0.008492451094541248,54,3,4
2583,0.008486731112945975,55,15,2
1528,0.008378870338251087,56,6,6
2318,0.008353787351132975,57,11,1
2635,0.00827536500823475,58,16,1
1069,0.008195017421778656,59,4,6
922,0.008133572971094552,60,3,5
1439,0.008092137827542367,61,5,8
1463,0.007909987578413066,62,5,9
278,0.007876441078093342,63,1,12
2223,0.007864388437794526,64,10,3
886,0.007795869940632867,65,3,6
2167,0.007760235857351736,66,10,4
2199,0.007745705023329979,67,10,5
820,0.007571463477165183,68,3,7
219,0.007472987875573382,69,1,13
811,0.0072856019416270195,70,3,8
1028,0.007158727309961227,71,3,9
2149,0.007121770130847962,72,10,6
1443,0.006966352755445204,73,5,10
27,0.006965983589504072,74,1,14
581,0.006950680825966225,75,2,8
497,0.006912903866568388,76,2,9
769,0.006887915723248584,77,3,10
2023,0.006882025993705833,78,8,5
2302,0.006876635582270251,79,11,2
701,0.006819757989438375,80,2,10
823,0.00676244274275834,81,3,11
1191,0.006728722674280588,82,4,7
2260,0.006656138731998933,83,11,3
1682,0.006650190995593811,84,6,7
1792,0.0066297738480556945,85,7,3
1091,0.006603743068452681,86,4,8
909,0.0064778364220906244,87,3,12
75,0.0064144044687752585,88,1,15
1043,0.006339395654124759,89,4,9
1464,0.006292961119612508,90,5,11
1023,0.006136539256972103,91,3,13
925,0.0058522954594325835,92,3,14
1078,0.005849760816940443,93,4,10
1264,0.005838156775121127,94,4,11
1557,0.005818521108288067,95,6,8
2038,0.005795227999132877,96,9,3
992,0.005790661897971046,97,3,15
314,0.005609376865988575,98,1,16
